model_name,AIC,BIC,LL,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Root_033,271.8211205866319,287.7869787750638,-131.91056029331594,4,True,0.0,0.03689245042240103,0.03689245042240103
CubeRoot,271.82135405000054,287.78721223843246,-131.91067702500027,4,True,0.00023346336865870398,0.03688814415586795,0.07378059457826898
FourthRoot,271.84363745234623,287.80949564077815,-131.92181872617311,4,True,0.022516865714351297,0.036479428598235025,0.110260023176504
LogLog,271.98309855949947,287.9489567479314,-131.99154927974973,4,True,0.16197797286758941,0.034022359746919306,0.14428238292342332
PowerLaw_04,272.01425047580096,287.9801086642329,-132.00712523790048,4,True,0.1931298891690858,0.033496534641079954,0.17777891756450329
PowerLaw_05,272.02841461274375,287.99427280117567,-132.01420730637187,4,True,0.20729402611186742,0.03326014793064283,0.21103906549514612
PowerLaw_03,272.0354718743324,288.00133006276434,-132.0177359371662,4,True,0.2143512877005378,0.0331429919700571,0.24418205746520322
PowerLaw_06,272.07557753122865,288.04143571966057,-132.03778876561432,4,True,0.25445694459676815,0.0324850005809676,0.2766670580461708
PowerLaw_02,272.0939150992981,288.05977328773,-132.04695754964905,4,True,0.27279451266622345,0.03218851391442931,0.3088555719606001
PowerLaw_07,272.15291363537654,288.11877182380846,-132.07645681768827,4,True,0.3317930487446574,0.03125284494075113,0.34010841690135124
PowerLaw_01,272.19077284057994,288.15663102901186,-132.09538642028997,4,True,0.3696522539480611,0.030666805254556142,0.37077522215590736
SquareRoot,272.23752866788027,288.2033868563122,-132.11876433394013,4,True,0.4164080812483917,0.029958194522249536,0.4007334166781569
Exp_slow,272.23752866788027,288.2033868563122,-132.11876433394013,4,True,0.4164080812483917,0.029958194522249536,0.4306916112004064
PowerLaw_08,272.25727971120887,288.2231378996408,-132.12863985560443,4,True,0.4361591245769887,0.029663797776547596,0.460355408976954
Log2,272.32652768095795,288.2923858693899,-132.16326384047898,4,True,0.505407094326074,0.02865429622316878,0.48900970520012277
Log10,272.32652768095886,288.2923858693908,-132.16326384047943,4,True,0.5054070943269835,0.028654296223155747,0.5176640014232785
Log,272.32652768095886,288.2923858693908,-132.16326384047943,4,True,0.5054070943269835,0.028654296223155747,0.5463182976464342
PowerLaw_09,272.38533716602933,288.35119535446125,-132.19266858301467,4,True,0.5642165793974527,0.027823991296776727,0.574142288943211
Reciprocal,272.53366782421017,288.4995260126421,-132.26683391210508,4,True,0.712547237578292,0.025835081483376564,0.5999773704265875
PowerLaw_10,272.53366782421017,288.4995260126421,-132.26683391210508,4,True,0.712547237578292,0.025835081483376564,0.625812451909964
Root_067,273.1252381213276,289.0910963097595,-132.5626190606638,4,True,1.3041175346957061,0.019219937796974295,0.6450323897069383
CubeRoot+Log,273.78176632142595,293.73908905696584,-131.89088316071297,5,True,1.9606457347940704,0.013841676359806165,0.6588740660667445
Root_Multi,273.81366710807697,293.77098984361686,-131.90683355403849,5,True,1.9925465214450924,0.013622647618533549,0.6724967136852781
Exp+Recip,273.82254908218056,293.77987181772045,-131.91127454109028,5,True,2.00142849554868,0.013562283753629528,0.6860589974389076
Recip+Lin,273.82254908218056,293.77987181772045,-131.91127454109028,5,True,2.00142849554868,0.013562283753629528,0.6996212811925372
SquareRoot+Recip,273.85549784165323,293.8128205771931,-131.92774892082662,5,True,2.0343772550213544,0.013340683912866262,0.7129619651054034
SquareRoot+Lin,273.9073978376264,293.86472057316627,-131.9536989188132,5,True,2.086277250994499,0.012998946412927915,0.7259609115183313
SquareRoot+PowerLaw,273.94845187033116,293.90577460587104,-131.97422593516558,5,True,2.1273312836992773,0.012734836792265804,0.7386957483105971
Log+LogLog,273.9540450364552,293.9113677719951,-131.9770225182276,5,True,2.1329244498233493,0.012699272515799997,0.7513950208263971
Recip+Log,273.9551540356115,293.9124767711514,-131.97757701780574,5,True,2.134033448979608,0.012692232726507912,0.764087253552905
Log+Recip,273.95515403561194,293.91247677115183,-131.97757701780597,5,True,2.1340334489800625,0.012692232726505026,0.77677948627941
PowerLaw_Lin,273.9626810984573,293.9200038339972,-131.98134054922866,5,True,2.141560511825446,0.012644554884619163,0.7894240411640291
Exp+PowerLaw,273.9626810984578,293.92000383399767,-131.9813405492289,5,True,2.141560511825901,0.012644554884616287,0.8020685960486453
Log+PowerLaw05,274.00307950532124,293.96040224086113,-132.00153975266062,5,True,2.181958918689361,0.01239170720597468,0.81446030325462
PowerLaw_Log,274.0030795053217,293.9604022408616,-132.00153975266085,5,True,2.1819589186898156,0.012391707205971863,0.8268520104605919
Recip+PowerLaw,274.02364387524176,293.98096661078165,-132.01182193762088,5,True,2.202523288609882,0.012264946187426443,0.8391169566480183
Recip+PowerLaw05,274.02364387524176,293.98096661078165,-132.01182193762088,5,True,2.202523288609882,0.012264946187426443,0.8513819028354448
Tanh+Log,274.09604516942954,294.05336790496943,-132.04802258471477,5,True,2.2749245827976665,0.011828887619741841,0.8632107904551867
Exp+Log,274.1626495250971,294.119972260637,-132.08132476254855,5,True,2.341528938465217,0.011441447015051152,0.8746522374702378
Lin+Log,274.1626495250971,294.119972260637,-132.08132476254855,5,True,2.341528938465217,0.011441447015051152,0.8860936844852889
SquareRoot+Log,274.22154574079786,294.17886847633775,-132.11077287039893,5,True,2.400425154165987,0.011109430669089803,0.8972031151543787
Log+SquareRoot,274.22154574079786,294.17886847633775,-132.11077287039893,5,True,2.400425154165987,0.011109430669089803,0.9083125458234684
Sin+Log,274.25879823004607,294.21612096558596,-132.12939911502303,5,True,2.4376776434141902,0.01090441892243045,0.9192169647458989
Recip_sq,274.4797102831549,290.4455684715868,-133.23985514157744,4,True,2.658589696522995,0.009764096993351635,0.9289810617392505
Tanh,274.7574808862637,290.7233390746956,-133.37874044313185,4,True,2.936360299631815,0.008497965523739439,0.93747902726299
Quadratic,275.35879014477405,295.31611288031394,-132.67939507238702,5,True,3.53766955814217,0.006291327863102801,0.9437703551260929
Linear,275.4572195601231,291.42307774855504,-133.72860978006156,4,True,3.6360989734912437,0.005989197607243268,0.9497595527333361
Exponential_proxy,275.4572195601231,291.42307774855504,-133.72860978006156,4,True,3.6360989734912437,0.005989197607243268,0.9557487503405794
PowerLaw+Recip+Log,275.64163659564747,299.5904238782954,-131.82081829782373,6,True,3.8205160090155914,0.005461639011721843,0.9612103893523012
Lin+Log+PowerLaw,275.6605398731185,299.60932715576644,-131.83026993655926,6,True,3.8394192864866454,0.005410260759700252,0.9666206501120015
Recip+Quad,275.70886460633346,299.6576518889814,-131.85443230316673,6,True,3.887744019701586,0.00528110272141035,0.9719017528334118
Lin+Quad+Log,275.83405161506926,299.78283889771717,-131.91702580753463,6,True,4.012931028437379,0.004960673016271528,0.9768624258496834
Quad+Log,275.83405161506926,299.78283889771717,-131.91702580753463,6,True,4.012931028437379,0.004960673016271528,0.981823098865955
Sinh,275.90688800492626,291.8727461933582,-133.95344400246313,4,True,4.085767418294381,0.0047832643190863725,0.9866063631850414
Cubic,276.54729329492966,300.4960805775776,-132.27364664746483,6,True,4.726172708297781,0.0034726589910791805,0.9900790221761205
Cos,277.3510136074933,293.31687179592524,-134.67550680374666,4,True,5.5298930208614365,0.0023234669009128024,0.9924024890770333
Quad+Log+SquareRoot,277.7028568029514,305.64310863270725,-131.8514284014757,7,True,5.881736216319496,0.0019486538996960577,0.9943511429767293
Quartic,277.91493580695897,305.85518763671485,-131.95746790347948,7,True,6.0938152203270874,0.0017525981154510922,0.9961037410921805
Arctanh,278.6508417641612,294.61669995259314,-135.3254208820806,4,True,6.829721177529336,0.0012130603067505095,0.997316801398931
Ultimate,278.84254845176747,314.7657293757393,-130.42127422588374,9,True,7.021427865135593,0.0011021832681581468,0.9984189846670891
Sin+Cos,279.3157687959101,299.27309153145,-134.65788439795506,5,True,7.494648209278239,0.0008699520618929926,0.9992889367289821
Exp_fast,281.2327184144224,297.1985766028543,-136.6163592072112,4,True,9.411597827790501,0.00033360688194453305,0.9996225436109266
Quadratic_pure,281.2327184144224,297.1985766028543,-136.6163592072112,4,True,9.411597827790501,0.00033360688194453305,0.9999561504928711
Cubic_pure,285.2957360821474,301.26159427057934,-138.6478680410737,4,True,13.474615495515536,4.374837484612647e-05,0.9999998988677172
Sin,297.43529679678295,313.4011549852149,-144.71764839839147,4,True,25.614176210151072,1.0113228247825223e-07,0.9999999999999997
