UID,TEST,composite_ID,n_ratings,mean_rating,sd_rating,full_scale_usage,extremes_only,pct_extremes,restricted_range,scale_type
A010,T1,A010_T1,105,0.7523809523809524,0.290187209883629,True,False,53.333333333333336,False,0-1
A010,T2,A010_T2,105,0.6342857142857143,0.30669624228870757,True,False,33.33333333333333,False,0-1
A010,T3,A010_T3,105,0.5504761904761906,0.3400626859646432,True,False,30.476190476190478,False,0-1
A010,T4,A010_T4,105,0.5752380952380952,0.3297274350215579,True,False,30.476190476190478,False,0-1
A011,T1,A011_T1,105,0.859047619047619,0.24366066884491247,True,False,70.47619047619048,False,0-1
A011,T2,A011_T2,105,0.7466666666666667,0.2665714115585493,True,False,41.904761904761905,False,0-1
A011,T3,A011_T3,105,0.6742857142857144,0.2791239940987386,True,False,29.523809523809526,False,0-1
A011,T4,A011_T4,105,0.5771428571428572,0.2885950013945702,True,False,19.047619047619047,False,0-1
A012,T1,A012_T1,105,0.779047619047619,0.2660809894947806,True,False,51.42857142857142,False,0-1
A012,T2,A012_T2,105,0.6247619047619049,0.3007232400732963,True,False,31.428571428571427,False,0-1
A012,T3,A012_T3,105,0.641904761904762,0.2890974303985398,True,False,32.38095238095238,False,0-1
A012,T4,A012_T4,105,0.6361904761904763,0.3020954782921041,True,False,28.57142857142857,False,0-1
A013,T1,A013_T1,105,0.6304761904761904,0.33441457291207227,True,False,37.142857142857146,False,0-1
A013,T2,A013_T2,105,0.5409523809523811,0.3035332375603286,True,False,18.095238095238095,False,0-1
A013,T3,A013_T3,105,0.6038095238095239,0.3122647867630197,True,False,27.61904761904762,False,0-1
A013,T4,A013_T4,105,0.4742857142857143,0.24104082698188048,True,False,8.571428571428571,False,0-1
A014,T1,A014_T1,105,0.8323809523809523,0.24552964638966887,True,False,58.0952380952381,False,0-1
A014,T2,A014_T2,105,0.7961904761904761,0.22590508311227467,True,False,46.666666666666664,False,0-1
A014,T3,A014_T3,105,0.7485714285714286,0.27048960395981975,True,False,43.80952380952381,False,0-1
A014,T4,A014_T4,105,0.6895238095238094,0.2732254640311026,True,False,31.428571428571427,False,0-1
A015,T1,A015_T1,105,0.7942857142857142,0.3224396795352202,True,False,68.57142857142857,False,0-1
A015,T2,A015_T2,105,0.6838095238095238,0.3649197718804738,True,False,54.285714285714285,False,0-1
A015,T3,A015_T3,105,0.6609523809523808,0.35896550785230663,True,False,47.61904761904761,False,0-1
