UID,TEST,TSVR_hours,ITEM,Accuracy,Confidence
A010,T1,1.0,IFR-N-i1,1,1.0
A010,T1,1.0,IFR-N-i2,1,0.2
A010,T1,1.0,IFR-N-i3,1,1.0
A010,T1,1.0,IFR-N-i4,1,1.0
A010,T1,1.0,IFR-N-i5,1,1.0
A010,T1,1.0,IFR-N-i6,0,0.2
A010,T1,1.0,IFR-U-i1,1,1.0
A010,T1,1.0,IFR-U-i2,1,0.4
A010,T1,1.0,IFR-U-i3,1,1.0
A010,T1,1.0,IFR-U-i4,1,1.0
A010,T1,1.0,IFR-U-i5,1,1.0
A010,T1,1.0,IFR-U-i6,0,0.2
A010,T1,1.0,IFR-D-i1,1,0.4
A010,T1,1.0,IFR-D-i2,0,0.2
A010,T1,1.0,IFR-D-i3,1,1.0
A010,T1,1.0,IFR-D-i4,0,0.4
A010,T1,1.0,IFR-D-i5,1,1.0
A010,T1,1.0,IFR-D-i6,0,0.2
A010,T1,1.0,IFR-O-i1,0,0.4
A010,T1,1.0,IFR-O-i2,1,0.2
A010,T1,1.0,IFR-O-i3,1,1.0
A010,T1,1.0,IFR-O-i4,0,0.4
A010,T1,1.0,IFR-O-i5,1,0.4
A010,T1,1.0,IFR-O-i6,1,0.2
A010,T1,1.0,ICR-N-i1,1,1.0
A010,T1,1.0,ICR-N-i2,1,0.8
A010,T1,1.0,ICR-N-i3,1,1.0
A010,T1,1.0,ICR-N-i4,1,1.0
A010,T1,1.0,ICR-N-i5,1,1.0
A010,T1,1.0,ICR-N-i6,1,1.0
A010,T1,1.0,ICR-U-i1,1,1.0
A010,T1,1.0,ICR-U-i2,1,0.8
A010,T1,1.0,ICR-U-i3,1,1.0
A010,T1,1.0,ICR-U-i4,1,1.0
A010,T1,1.0,ICR-U-i5,1,1.0
A010,T1,1.0,ICR-U-i6,1,0.4
A010,T1,1.0,ICR-D-i1,1,0.4
A010,T1,1.0,ICR-D-i2,1,0.4
A010,T1,1.0,ICR-D-i3,1,1.0
A010,T1,1.0,ICR-D-i4,1,0.4
A010,T1,1.0,ICR-D-i5,1,1.0
A010,T1,1.0,ICR-D-i6,1,0.4
A010,T1,1.0,ICR-O-i1,0,0.6
A010,T1,1.0,ICR-O-i2,1,0.4
A010,T1,1.0,ICR-O-i3,1,1.0
A010,T1,1.0,ICR-O-i4,1,0.4
A010,T1,1.0,ICR-O-i5,1,0.6
A010,T1,1.0,ICR-O-i6,0,0.2
A010,T1,1.0,IRE-N-i1,1,1.0
A010,T1,1.0,IRE-N-i2,1,1.0
A010,T1,1.0,IRE-N-i3,1,1.0
A010,T1,1.0,IRE-N-i4,1,1.0
A010,T1,1.0,IRE-N-i5,1,1.0
A010,T1,1.0,IRE-N-i6,1,1.0
A010,T1,1.0,IRE-U-i1,1,1.0
A010,T1,1.0,IRE-U-i2,1,0.6
A010,T1,1.0,IRE-U-i3,1,1.0
A010,T1,1.0,IRE-U-i4,1,1.0
A010,T1,1.0,IRE-U-i5,1,1.0
A010,T1,1.0,IRE-U-i6,1,0.6
A010,T1,1.0,IRE-D-i1,1,0.6
A010,T1,1.0,IRE-D-i2,1,0.6
A010,T1,1.0,IRE-D-i3,1,1.0
A010,T1,1.0,IRE-D-i4,1,0.6
A010,T1,1.0,IRE-D-i5,1,1.0
A010,T1,1.0,IRE-D-i6,1,0.4
A010,T1,1.0,IRE-O-i1,0,0.4
A010,T1,1.0,IRE-O-i2,1,0.6
A010,T1,1.0,IRE-O-i3,1,1.0
A010,T1,1.0,IRE-O-i4,0,0.6
A010,T1,1.0,IRE-O-i5,1,0.6
A010,T1,1.0,IRE-O-i6,0,0.4
A010,T2,21.9,IFR-N-i1,1,1.0
A010,T2,21.9,IFR-N-i2,0,0.2
A010,T2,21.9,IFR-N-i3,0,0.6
A010,T2,21.9,IFR-N-i4,1,1.0
A010,T2,21.9,IFR-N-i5,0,0.2
A010,T2,21.9,IFR-N-i6,0,0.2
A010,T2,21.9,IFR-U-i1,1,0.8
A010,T2,21.9,IFR-U-i2,0,1.0
A010,T2,21.9,IFR-U-i3,0,0.6
A010,T2,21.9,IFR-U-i4,1,0.2
A010,T2,21.9,IFR-U-i5,1,0.2
A010,T2,21.9,IFR-U-i6,0,0.2
A010,T2,21.9,IFR-D-i1,1,1.0
A010,T2,21.9,IFR-D-i2,0,0.4
A010,T2,21.9,IFR-D-i3,0,0.4
A010,T2,21.9,IFR-D-i4,0,0.2
A010,T2,21.9,IFR-D-i5,0,0.2
A010,T2,21.9,IFR-D-i6,0,0.2
A010,T2,21.9,IFR-O-i1,0,0.4
A010,T2,21.9,IFR-O-i2,0,0.4
A010,T2,21.9,IFR-O-i3,0,0.2
A010,T2,21.9,IFR-O-i4,0,0.2
A010,T2,21.9,IFR-O-i5,0,0.2
A010,T2,21.9,IFR-O-i6,1,0.2
A010,T2,21.9,ICR-N-i1,1,1.0
A010,T2,21.9,ICR-N-i2,1,1.0
A010,T2,21.9,ICR-N-i3,1,1.0
A010,T2,21.9,ICR-N-i4,1,1.0
A010,T2,21.9,ICR-N-i5,1,0.8
A010,T2,21.9,ICR-N-i6,1,1.0
A010,T2,21.9,ICR-U-i1,1,1.0
A010,T2,21.9,ICR-U-i2,0,0.6
A010,T2,21.9,ICR-U-i3,1,1.0
A010,T2,21.9,ICR-U-i4,1,1.0
A010,T2,21.9,ICR-U-i5,1,0.6
A010,T2,21.9,ICR-U-i6,0,0.4
