UID,TEST,gamma,n_items,TSVR_hours
A010,T1,0.8643533123028391,72,1.0
A010,T2,0.836947094535993,72,21.9
A010,T3,0.7838899803536346,72,80.88
A010,T4,0.75,72,145.31
A011,T1,0.8113695090439277,72,1.0
A011,T2,0.6712598425196851,72,24.57
A011,T3,0.7705779334500875,72,72.55
A011,T4,0.6761363636363636,72,148.85
A012,T1,0.7670682730923695,72,1.0
A012,T2,0.4689265536723164,72,25.6
A012,T3,0.8754152823920266,72,166.33
A012,T4,0.5241935483870968,72,166.87
A013,T1,0.6555661274976213,72,1.0
A013,T2,0.3326551373346897,72,24.77
A013,T3,0.6897810218978102,72,79.66
A013,T4,0.6792828685258964,72,147.13
A014,T1,0.7738446411012783,72,1.0
A014,T2,0.7339712918660287,72,25.66
A014,T3,0.8250428816466552,72,70.56
A014,T4,0.6766698935140368,72,148.87
A015,T1,0.7436548223350253,72,1.0
A015,T2,0.9470068694798822,72,23.69
A015,T3,0.8585635359116022,72,70.59
A015,T4,0.7152542372881356,72,146.54
A016,T1,0.7159880834160874,72,1.0
A016,T2,0.7688172043010753,72,32.85
A016,T3,0.45419103313840153,72,80.64
A016,T4,0.6708860759493671,72,150.8
A017,T1,0.7087378640776699,72,1.0
A017,T2,0.8452200303490136,72,20.61
A017,T3,0.7864406779661017,72,61.28
A017,T4,0.8354114713216958,72,140.49
A018,T1,0.8427672955974843,72,1.0
A018,T2,0.8124341412012644,72,34.03
A018,T3,0.6742934051144011,72,83.64
A018,T4,0.9670468948035488,72,150.87
A019,T1,0.6673866090712743,72,1.0
A019,T2,0.5261707988980716,72,28.69
A019,T3,0.6701570680628273,72,83.68
A019,T4,0.09358288770053476,72,154.76
A020,T1,0.7621832358674464,72,1.0
A020,T2,0.7917860553963706,72,26.85
A020,T3,0.6356275303643725,72,78.25
A020,T4,0.589171974522293,72,145.78
A021,T1,0.6532333645735707,72,1.0
A021,T2,0.6,72,30.21
A021,T3,0.779185520361991,72,74.19
A021,T4,0.9087719298245615,72,140.39
A022,T1,0.9354838709677419,72,1.0
A022,T2,0.689795918367347,72,24.15
A022,T3,0.9848053181386515,72,74.46
A022,T4,0.876577840112202,72,141.71
A023,T1,0.7785714285714286,72,1.0
A023,T2,0.6971279373368147,72,25.63
A023,T3,0.5727788279773157,72,72.2
A023,T4,0.7690288713910761,72,145.07
A024,T1,0.6303939962476548,72,1.0
A024,T2,0.8355674709562109,72,29.57
A024,T3,0.7529953917050691,72,91.47
A024,T4,0.2545045045045045,72,145.65
A025,T1,0.49391727493917276,72,1.0
A025,T2,0.8653136531365314,72,23.33
A025,T3,0.7208872458410351,72,72.94
A025,T4,0.9355704697986578,72,137.74
A026,T1,0.5507692307692308,72,1.0
A026,T2,0.8434476693051891,72,26.48
A026,T3,0.8581560283687943,72,75.46
A026,T4,0.7486238532110092,72,147.65
A027,T1,0.5485961123110151,72,1.0
A027,T2,0.7039848197343453,72,28.26
A027,T3,0.6764132553606238,72,74.58
A027,T4,0.8098098098098098,72,145.92
A028,T1,0.854066985645933,72,1.0
A028,T2,0.5955284552845529,72,22.82
A028,T3,0.6521739130434783,72,72.26
A028,T4,0.7945066124109867,72,138.91
A029,T1,0.850356294536817,72,1.0
A029,T2,0.5968289920724802,72,28.43
A029,T3,0.8358531317494601,72,93.26
A029,T4,0.8825622775800712,72,143.14
A030,T1,0.8031358885017421,72,1.0
A030,T2,0.800383877159309,72,32.95
A030,T3,0.6669750231267345,72,71.93
A030,T4,0.8044444444444444,72,150.46
A031,T1,0.7526080476900149,72,1.0
A031,T2,0.8084210526315789,72,32.41
A031,T3,0.6360189573459716,72,71.56
A031,T4,0.664804469273743,72,143.85
A032,T1,0.8120672601384767,72,1.0
A032,T2,0.8730904817861339,72,57.18
A032,T3,0.7674418604651163,72,80.16
A032,T4,0.7551420176297747,72,144.51
A033,T1,0.7934782608695652,72,1.0
A033,T2,0.5411423039690223,72,29.16
A033,T3,0.905090595340811,72,72.6
A033,T4,0.6061269146608315,72,168.33
A034,T1,0.6840490797546013,72,1.0
A034,T2,0.7862767154105736,72,26.08
A034,T3,0.47474747474747475,72,74.28
A034,T4,0.7363636363636363,72,145.38
A035,T1,0.7248201438848921,72,1.0
A035,T2,0.8337850045167118,72,44.76
A035,T3,0.7391304347826086,72,79.98
A035,T4,0.5967741935483871,72,152.47
A036,T1,0.8076062639821029,72,1.0
A036,T2,0.8350515463917526,72,21.63
A036,T3,0.7442116868798236,72,71.47
A036,T4,0.7835051546391752,72,143.85
A037,T1,0.7595959595959596,72,1.0
A037,T2,0.676266137040715,72,23.7
A037,T3,0.5372972972972972,72,72.08
A037,T4,0.8723849372384938,72,143.66
A038,T1,0.6871945259042033,72,1.0
A038,T2,0.7238095238095238,72,71.85
A038,T3,0.5858930602957907,72,72.86
A038,T4,0.5080321285140562,72,152.89
A039,T1,0.9466666666666667,72,1.0
A039,T2,0.8716452742123687,72,28.65
A039,T3,0.7862068965517242,72,98.84
A039,T4,0.7537117903930131,72,246.24
A040,T1,0.7164339419978518,72,1.0
A040,T2,0.5927505330490405,72,26.26
A040,T3,0.35901926444833626,72,71.28
A040,T4,0.9569471624266145,72,143.53
A041,T1,0.8187565858798735,72,1.0
A041,T2,0.8186528497409327,72,31.78
A041,T3,0.7820636451301832,72,75.74
A041,T4,0.9422382671480144,72,141.84
A042,T1,0.828819068255688,72,1.0
A042,T2,0.7042716319824753,72,28.93
A042,T3,0.6613756613756614,72,72.17
A042,T4,0.6117381489841986,72,146.02
A043,T1,0.8062678062678063,72,1.0
A043,T2,0.4657142857142857,72,25.62
A043,T3,0.6108597285067874,72,64.94
A043,T4,0.5026232948583421,72,149.33
A044,T1,0.806640625,72,1.0
A044,T2,0.8181818181818182,72,47.66
A044,T3,0.7567221510883483,72,91.63
A044,T4,0.593094944512947,72,155.27
A045,T1,0.7870182555780934,72,1.0
A045,T2,0.4186284544524053,72,24.66
A045,T3,0.36648648648648646,72,72.23
A045,T4,0.6354916067146283,72,151.52
A046,T1,0.5984848484848485,72,1.0
A046,T2,0.0944206008583691,72,24.32
A046,T3,0.10091743119266056,72,73.05
A046,T4,0.6316440049443758,72,147.94
A047,T1,0.706959706959707,72,1.0
A047,T2,0.42748815165876775,72,23.46
A047,T3,0.38626609442060084,72,76.85
A047,T4,0.45062429057888764,72,144.22
A048,T1,0.8176691729323309,72,1.0
A048,T2,0.5875875875875876,72,23.91
A048,T3,0.6532567049808429,72,81.15
A048,T4,0.45918367346938777,72,146.3
A049,T1,0.837696335078534,72,1.0
A049,T2,0.7852882703777336,72,27.12
A049,T3,0.8145315487571702,72,111.38
A049,T4,0.7083333333333334,72,168.86
A050,T1,0.7298969072164948,72,1.0
A050,T2,0.6709511568123393,72,24.73
A050,T3,0.8895463510848126,72,93.39
A050,T4,0.7237237237237237,72,148.69
A051,T1,0.8442367601246106,72,1.0
A051,T2,0.7379454926624738,72,17.16
A051,T3,0.7671111111111111,72,65.63
A051,T4,0.6192139737991267,72,146.99
A052,T1,0.7045244690674054,72,1.0
A052,T2,0.7568331762488218,72,31.76
A052,T3,0.6801470588235294,72,80.98
A052,T4,0.7196652719665272,72,153.27
A053,T1,0.8235294117647058,72,1.0
A053,T2,0.22029372496662217,72,32.71
A053,T3,1.0,72,78.28
A053,T4,0.7584541062801933,72,148.9
A054,T1,0.6021080368906456,72,1.0
A054,T2,0.8201438848920863,72,16.9
A054,T3,0.8065661047027507,72,72.83
A054,T4,0.8605577689243028,72,136.83
A055,T1,0.7059360730593607,72,1.0
A055,T2,0.6577114427860696,72,23.24
A055,T3,0.7286432160804021,72,74.48
A055,T4,0.8554216867469879,72,149.21
A056,T1,0.7666034155597723,72,1.0
A056,T2,0.7404129793510325,72,33.61
A056,T3,0.435847208619001,72,71.46
A056,T4,0.6774193548387096,72,147.84
A057,T1,0.7760279965004374,72,1.0
A057,T2,0.7420634920634921,72,24.78
A057,T3,0.896414342629482,72,73.83
A057,T4,0.8186666666666667,72,145.06
A058,T1,0.7818181818181819,72,1.0
A058,T2,0.7610389610389611,72,22.96
A058,T3,0.8274428274428275,72,66.28
A058,T4,0.9617224880382775,72,143.48
A059,T1,0.7827004219409283,72,1.0
A059,T2,0.7208053691275168,72,30.4
A059,T3,0.8013698630136986,72,79.78
A059,T4,0.7718631178707225,72,151.93
A060,T1,0.6225234619395204,72,1.0
A060,T2,0.6631578947368421,72,24.87
A060,T3,0.5035897435897436,72,94.68
A060,T4,0.6199524940617577,72,143.91
A061,T1,0.43243243243243246,72,1.0
A061,T2,0.7091906721536351,72,35.16
A061,T3,0.8151750972762646,72,82.55
A061,T4,0.47440273037542663,72,146.56
A062,T1,0.7816091954022989,72,1.0
A062,T2,0.7675312199807877,72,44.69
A062,T3,0.7419354838709677,72,92.72
A062,T4,0.6563380281690141,72,149.18
A063,T1,0.9452054794520548,72,1.0
A063,T2,0.732749178532311,72,21.98
