UID,baseline_accuracy,tertile_label,tertile_numeric
A010,2.7277744,High,3
A011,0.99576205,Med,2
A012,1.5109797,High,3
A013,0.2579466,Low,1
A014,0.9670465,Med,2
A015,1.7906865,High,3
A016,1.3865802,High,3
A017,-0.12061626,Low,1
A018,0.34396127,Med,2
A019,-0.44238952,Low,1
A020,-0.036810145,Low,1
A021,1.366235,High,3
A022,0.1020859,Low,1
A023,0.8812526,Med,2
A024,0.33348504,Low,1
A025,0.99917114,Med,2
A026,1.0569059,High,3
A027,0.9770042,Med,2
A028,1.5710772,High,3
A029,1.7016916,High,3
A030,0.33380765,Low,1
A031,2.2557483,High,3
A032,0.8067235,Med,2
A033,0.43369794,Med,2
A034,2.0359054,High,3
A035,-0.06479133,Low,1
A036,1.3283472,High,3
A037,1.1801162,High,3
A038,1.2059275,High,3
A039,2.174663,High,3
A040,-0.5069201,Low,1
A041,1.1962991,High,3
A042,-0.8806226,Low,1
A043,1.0349586,Med,2
A044,-0.0888245,Low,1
A045,-0.9017756,Low,1
A046,-0.7687857,Low,1
A047,-0.7466336,Low,1
A048,1.0764405,High,3
A049,2.1010969,High,3
A050,-0.39878848,Low,1
A051,1.5230782,High,3
A052,0.58457315,Med,2
A053,1.401935,High,3
A054,0.52522403,Med,2
A055,0.28537354,Low,1
A056,0.5282342,Med,2
A057,0.4946756,Med,2
A058,1.0215306,Med,2
A059,0.99710035,Med,2
A060,-0.051358394,Low,1
A061,2.529091,High,3
A062,1.5359104,High,3
A063,0.86206603,Med,2
A064,0.83211017,Med,2
A065,-2.2385516,Low,1
A066,0.46571386,Med,2
A067,0.6627066,Med,2
A068,1.3038205,High,3
A069,-0.7867887,Low,1
A070,0.5967721,Med,2
A071,1.1001538,High,3
A072,0.9622242,Med,2
A073,0.8751058,Med,2
A074,1.1391835,High,3
A075,0.4822121,Med,2
A076,-0.39436588,Low,1
A077,1.257486,High,3
A078,0.05510661,Low,1
A079,0.49688977,Med,2
A080,0.35685366,Med,2
A081,0.56923956,Med,2
A082,0.47511065,Med,2
A083,1.9135383,High,3
A084,0.37614724,Med,2
A085,0.29977113,Low,1
A086,0.9054527,Med,2
A087,1.164813,High,3
A088,2.00997,High,3
A089,1.6034564,High,3
A090,0.20163605,Low,1
A091,0.64397514,Med,2
A092,-0.28513366,Low,1
A093,0.56161565,Med,2
A094,-0.70889944,Low,1
A095,1.5409168,High,3
A096,-0.45961466,Low,1
A097,0.24293853,Low,1
A098,0.6008492,Med,2
A099,1.1219946,High,3
A100,-0.06985861,Low,1
A101,-1.0356112,Low,1
A102,-0.044223346,Low,1
A103,1.7611793,High,3
A104,1.7474676,High,3
A105,0.61165696,Med,2
A106,1.1972102,High,3
A107,-0.71622896,Low,1
A108,-0.4913459,Low,1
A109,-0.25337747,Low,1
