age_tertile,test,TSVR_hours,mean_calibration,CI_lower,CI_upper,N
Middle,T1,1.0,0.15758699406087,-0.1089874400694037,0.4241614281911437,34
Middle,T2,30.19794117647059,0.004103160383904579,-0.2751996368348032,0.28340595760261234,34
Middle,T3,78.21823529411765,-0.021263665501206504,-0.2934310171145458,0.25090368611213276,34
Middle,T4,150.68088235294118,-0.0642078547672915,-0.31836634203943237,0.18995063250484934,34
Older,T1,1.0,-0.024750129986778682,-0.37307331585945097,0.32357305588589363,33
Older,T2,26.406363636363636,-0.06574259092724177,-0.3689957973135609,0.23751061545907737,33
Older,T3,77.23575757575757,0.0832558123959175,-0.1906621501726995,0.3571737749645345,33
Older,T4,152.58666666666664,0.033674099277636,-0.26404263386005306,0.331390832415325,33
Young,T1,1.0,-0.1622877782049269,-0.4176661301830094,0.0930905737731556,33
Young,T2,29.661515151515154,0.028810166721161556,-0.2562653810969972,0.3138857145393203,33
Young,T3,80.56393939393939,-0.017057090000411723,-0.2847056931657289,0.25059151316490547,33
Young,T4,150.8790909090909,0.045569220967267954,-0.25196613765830156,0.34310457959283747,33
