item_name,dimension,domain
TC_RFR-N-OBJ1,1,What
TC_RFR-N-OBJ2,1,What
TC_RFR-N-OBJ3,1,What
TC_RFR-N-OBJ4,1,What
TC_RFR-N-STRA,1,What
TC_RFR-N-PORT,1,What
TC_RFR-N-LAND,1,What
TC_IFR-N-i1,1,What
TC_IFR-N-i2,1,What
TC_IFR-N-i3,1,What
TC_IFR-N-i4,1,What
TC_IFR-N-i5,1,What
TC_IFR-N-i6,1,What
TC_RFR-O-RORD,3,When
TC_RFR-O-TMOD,3,When
TC_RFR-N-WEAT,1,What
TC_RFR-L-OBJ1,2,Where
TC_RFR-L-OBJ2,2,Where
TC_RFR-L-OBJ3,2,Where
TC_RFR-L-OBJ4,2,Where
TC_RFR-L-DOOR,2,Where
TC_RFR-L-WIND,2,Where
TC_RFR-L-PORT,2,Where
TC_RFR-L-LAND,2,Where
TC_RFR-L-STRA,2,Where
TC_IFR-U-i1,2,Where
TC_IFR-U-i2,2,Where
TC_IFR-U-i3,2,Where
TC_IFR-U-i4,2,Where
TC_IFR-U-i5,2,Where
TC_IFR-U-i6,2,Where
TC_IFR-D-i1,2,Where
TC_IFR-D-i2,2,Where
TC_IFR-D-i3,2,Where
TC_IFR-D-i4,2,Where
TC_IFR-D-i5,2,Where
TC_IFR-D-i6,2,Where
TC_IFR-O-i1,3,When
TC_IFR-O-i2,3,When
TC_IFR-O-i3,3,When
TC_IFR-O-i4,3,When
TC_IFR-O-i5,3,When
TC_IFR-O-i6,3,When
TC_TCR-O-TSK1,3,When
TC_TCR-O-TSK2,3,When
TC_TCR-O-TSK3,3,When
TC_TCR-O-TSK4,3,When
TC_TCR-O-TSK5,3,When
TC_TCR-O-TSK6,3,When
TC_ICR-N-i1,1,What
TC_ICR-N-i2,1,What
TC_ICR-N-i3,1,What
TC_ICR-N-i4,1,What
TC_ICR-N-i5,1,What
TC_ICR-N-i6,1,What
TC_ICR-U-i1,2,Where
TC_ICR-U-i2,2,Where
TC_ICR-U-i3,2,Where
TC_ICR-U-i4,2,Where
TC_ICR-U-i5,2,Where
TC_ICR-U-i6,2,Where
TC_ICR-D-i1,2,Where
TC_ICR-D-i2,2,Where
TC_ICR-D-i3,2,Where
TC_ICR-D-i4,2,Where
TC_ICR-D-i5,2,Where
TC_ICR-D-i6,2,Where
TC_ICR-O-i1,3,When
TC_ICR-O-i2,3,When
TC_ICR-O-i3,3,When
TC_ICR-O-i4,3,When
TC_ICR-O-i5,3,When
TC_ICR-O-i6,3,When
TC_RRE-L-DOOR,2,Where
TC_RRE-L-WIND,2,Where
TC_RRE-N-LAND,1,What
TC_RRE-L-LAND,2,Where
TC_RRE-N-PORT,1,What
TC_RRE-L-PORT,2,Where
TC_RRE-N-STRA,1,What
TC_RRE-L-STRA,2,Where
TC_IRE-N-i1,1,What
TC_IRE-N-i2,1,What
TC_IRE-N-i3,1,What
TC_IRE-N-i4,1,What
TC_IRE-N-i5,1,What
TC_IRE-N-i6,1,What
TC_IRE-U-i1,2,Where
TC_IRE-U-i2,2,Where
TC_IRE-U-i3,2,Where
TC_IRE-U-i4,2,Where
TC_IRE-U-i5,2,Where
TC_IRE-U-i6,2,Where
TC_IRE-D-i1,2,Where
TC_IRE-D-i2,2,Where
TC_IRE-D-i3,2,Where
TC_IRE-D-i4,2,Where
TC_IRE-D-i5,2,Where
TC_IRE-D-i6,2,Where
TC_IRE-O-i1,3,When
TC_IRE-O-i2,3,When
TC_IRE-O-i3,3,When
TC_IRE-O-i4,3,When
TC_IRE-O-i5,3,When
TC_IRE-O-i6,3,When
