item_name,Difficulty,Overall_Discrimination,Discrim_What,Discrim_Where,Discrim_When
TC_ICR-D-i1,0.6389939785003662,1.2726966,0.0,1.2726966,0.0
TC_ICR-D-i2,0.7380316257476807,1.5606033,0.0,1.5606033,0.0
TC_ICR-D-i3,0.35460859537124634,1.2206371,0.0,1.2206371,0.0
TC_ICR-D-i4,0.47905370593070984,1.6863897,0.0,1.6863897,0.0
TC_ICR-D-i5,0.9200505018234253,1.3757386,0.0,1.3757386,0.0
TC_ICR-D-i6,0.615434467792511,1.3545704,0.0,1.3545704,0.0
TC_ICR-N-i1,-0.894603967666626,1.863696,1.863696,0.0,0.0
TC_ICR-N-i2,-1.0229105949401855,1.7660779,1.7660779,0.0,0.0
TC_ICR-N-i3,-1.282751441001892,1.9795177,1.9795177,0.0,0.0
TC_ICR-N-i4,-1.2493882179260254,2.0030196,2.0030196,0.0,0.0
TC_ICR-N-i5,-0.989886462688446,1.9513661,1.9513661,0.0,0.0
TC_ICR-N-i6,-1.096440315246582,1.6292125,1.6292125,0.0,0.0
TC_ICR-O-i1,1.3622996807098389,1.9103591,0.0,0.0,1.9103591
TC_ICR-O-i2,1.2627145051956177,2.0853286,0.0,0.0,2.0853286
TC_ICR-O-i3,0.8924722671508789,1.8447891,0.0,0.0,1.8447891
TC_ICR-O-i4,1.0967652797698975,1.6592166,0.0,0.0,1.6592166
TC_ICR-O-i5,1.223658561706543,2.084255,0.0,0.0,2.084255
TC_ICR-O-i6,1.2797085046768188,2.555007,0.0,0.0,2.555007
TC_ICR-U-i1,-0.10690063238143921,1.7420659,0.0,1.7420659,0.0
TC_ICR-U-i2,-0.37440288066864014,1.5090139,0.0,1.5090139,0.0
TC_ICR-U-i3,-0.37373170256614685,1.7195339,0.0,1.7195339,0.0
TC_ICR-U-i4,-0.3964311480522156,1.6609592,0.0,1.6609592,0.0
TC_ICR-U-i5,-0.09256282448768616,1.6705736,0.0,1.6705736,0.0
TC_ICR-U-i6,-0.016290634870529175,1.3523469,0.0,1.3523469,0.0
TC_IFR-D-i1,0.6218550205230713,1.0776827,0.0,1.0776827,0.0
TC_IFR-D-i2,0.6886656284332275,1.34343,0.0,1.34343,0.0
TC_IFR-D-i3,0.6727045774459839,1.3450177,0.0,1.3450177,0.0
TC_IFR-D-i4,0.9671298265457153,1.2887944,0.0,1.2887944,0.0
TC_IFR-D-i5,1.3372904062271118,1.2516286,0.0,1.2516286,0.0
TC_IFR-D-i6,1.8141498565673828,1.0568174,0.0,1.0568174,0.0
TC_IFR-N-i1,-0.07386745512485504,1.1835004,1.1835004,0.0,0.0
TC_IFR-N-i2,0.3167089819908142,0.9515646,0.9515646,0.0,0.0
TC_IFR-N-i3,-0.37956714630126953,1.0057157,1.0057157,0.0,0.0
TC_IFR-N-i4,-0.45094847679138184,0.7970887,0.7970887,0.0,0.0
TC_IFR-N-i5,0.553297758102417,0.92659664,0.92659664,0.0,0.0
TC_IFR-N-i6,0.40688973665237427,1.1175116,1.1175116,0.0,0.0
TC_IFR-O-i1,1.0146180391311646,1.7600229,0.0,0.0,1.7600229
TC_IFR-O-i2,1.3681646585464478,1.8541381,0.0,0.0,1.8541381
TC_IFR-O-i3,1.0982096195220947,1.5797209,0.0,0.0,1.5797209
TC_IFR-O-i4,1.5812656879425049,2.1371567,0.0,0.0,2.1371567
TC_IFR-O-i5,1.8338702917099,1.9198836,0.0,0.0,1.9198836
TC_IFR-O-i6,1.9742717742919922,1.7491128,0.0,0.0,1.7491128
TC_IFR-U-i1,-0.5500693321228027,1.4206637,0.0,1.4206637,0.0
TC_IFR-U-i2,0.0657404363155365,1.2993749,0.0,1.2993749,0.0
TC_IFR-U-i3,-0.1043640747666359,1.4451878,0.0,1.4451878,0.0
TC_IFR-U-i4,0.6278301477432251,1.3355906,0.0,1.3355906,0.0
TC_IFR-U-i5,0.7804393768310547,1.3197314,0.0,1.3197314,0.0
TC_IFR-U-i6,1.8106179237365723,1.0686079,0.0,1.0686079,0.0
TC_IRE-D-i1,0.3874969780445099,1.1164535,0.0,1.1164535,0.0
TC_IRE-D-i2,0.6131837368011475,1.4577707,0.0,1.4577707,0.0
TC_IRE-D-i3,0.1621261090040207,1.226448,0.0,1.226448,0.0
TC_IRE-D-i4,0.3453497886657715,1.5312343,0.0,1.5312343,0.0
TC_IRE-D-i5,0.6581584215164185,1.1777328,0.0,1.1777328,0.0
TC_IRE-D-i6,0.4216272234916687,1.2575346,0.0,1.2575346,0.0
TC_IRE-N-i1,-2.012014865875244,1.7144912,1.7144912,0.0,0.0
TC_IRE-N-i2,-2.0999643802642822,1.8096949,1.8096949,0.0,0.0
TC_IRE-N-i3,-1.8933074474334717,1.4578565,1.4578565,0.0,0.0
TC_IRE-N-i4,-2.009644031524658,1.7378563,1.7378563,0.0,0.0
TC_IRE-N-i5,-2.2386953830718994,1.3177698,1.3177698,0.0,0.0
TC_IRE-N-i6,-2.17020320892334,1.4296798,1.4296798,0.0,0.0
TC_IRE-O-i1,1.4019439220428467,1.6942871,0.0,0.0,1.6942871
TC_IRE-O-i2,1.2880499362945557,2.0467653,0.0,0.0,2.0467653
TC_IRE-O-i3,0.8439209461212158,1.7980288,0.0,0.0,1.7980288
