composite_ID,theta_What,theta_Where,theta_When
A010_T1,0.9574892,1.0582864,0.6843331
A010_T2,0.3051116,0.14236234,0.04920309
A010_T3,0.24341309,-0.28443214,-1.2336698
A010_T4,0.097634345,-0.3665375,-0.553423
A011_T1,1.2740244,1.6372268,2.1477714
A011_T2,0.33301648,0.68844736,0.9190094
A011_T3,0.23276249,0.35027522,0.5020368
A011_T4,-0.25871035,-0.051228613,-0.15174149
A012_T1,0.46595508,1.223369,0.85198486
A012_T2,0.36647165,0.33583283,0.07328644
A012_T3,0.003625743,0.3431864,0.43918395
A012_T4,-0.037431166,0.286974,0.2255037
A013_T1,0.038230855,0.1390358,0.19716126
A013_T2,-0.9537568,-0.6328045,0.2252158
A013_T3,-0.27404815,-0.12445309,0.52124023
A013_T4,-0.7562145,-0.8001406,-0.11051158
A014_T1,1.0838312,1.5067604,1.5081489
A014_T2,0.83930707,1.133995,1.293407
A014_T3,0.69645554,0.9810025,1.2365584
A014_T4,0.07775027,0.47329876,0.92774373
A015_T1,2.0453994,1.7871646,-0.33699626
A015_T2,1.0473443,0.59645605,-0.9266464
A015_T3,0.7883081,0.239011,-0.5037929
A015_T4,0.8520241,0.37343708,-0.3099045
A016_T1,0.47435132,0.68998146,0.5559741
A016_T2,0.09368637,0.37823388,-0.16743954
A016_T3,0.0022958624,0.062397853,-0.56707025
A016_T4,-0.62857366,-0.3272747,-0.44807374
A017_T1,0.8444402,1.0758655,1.263787
A017_T2,1.8306377,2.2833946,1.8227495
A017_T3,2.7579954,2.655567,-0.075564
A017_T4,1.7799792,1.470657,-0.305412
A018_T1,0.740165,0.677512,-0.80040354
A018_T2,-0.46948445,-0.5211342,-0.5926572
A018_T3,-0.8404581,-1.0654113,-0.6190659
A018_T4,-0.80296415,-1.562596,-1.5201461
A019_T1,-0.5934746,-0.24653171,0.7777096
A019_T2,-0.8797258,-0.50942194,0.7934763
A019_T3,-0.74518675,-0.26367125,1.0472339
A019_T4,-1.403838,-0.42552426,0.8126172
A020_T1,0.44244793,0.49534675,0.04386607
A020_T2,0.19658397,0.33012143,-0.79734415
A020_T3,-0.43745208,-0.598049,-1.0033259
A020_T4,-0.80302966,-1.0498065,-1.5237758
A021_T1,1.2255077,1.130487,1.2181268
A021_T2,0.46683547,0.7561524,1.2070261
A021_T3,0.9292421,0.62077326,0.5759871
A021_T4,0.93902206,0.73527586,0.02961667
A022_T1,-0.74236226,-1.0975171,-1.1825922
A022_T2,-1.5088893,-1.4083,-1.6460222
A022_T3,-1.2904202,-1.3355396,-1.4239421
A022_T4,-2.1705308,-2.008058,-1.794352
A023_T1,0.4889568,0.8757254,0.86843705
A023_T2,0.62230754,0.73573285,0.6701323
A023_T3,0.5061447,0.54705065,0.83180267
A023_T4,0.59204227,0.7769371,0.4447778
A024_T1,0.10522226,0.5343039,0.5424378
A024_T2,0.09003705,0.17860685,0.25335455
A024_T3,0.41760215,0.27955183,0.22104225
A024_T4,0.0076708565,0.011573885,-0.24457644
