composite_ID,theta_What,theta_Where,theta_When
A010_T1,-0.26977536,-0.35840303,0.2531799
A010_T2,-0.5346923,-0.60747373,-0.58785975
A010_T3,-0.7171626,-0.6976981,-0.9595362
A010_T4,-0.6071539,-0.8171049,-0.72395766
A011_T1,-0.30443364,0.1822105,0.3756417
A011_T2,-0.4066074,-0.41067916,-0.13075611
A011_T3,-0.5674898,-0.40114135,-1.1300645
A011_T4,-0.9975038,-0.8926102,-1.1402402
A012_T1,-0.33598834,-0.13544692,-0.25392818
A012_T2,-0.56394285,-0.6886631,-0.67918605
A012_T3,-0.29332557,-0.65423065,-0.27526832
A012_T4,-0.94255686,-0.75222445,-0.5091232
A013_T1,-0.49705088,-0.69894737,-0.6384713
A013_T2,-0.97502846,-0.72977465,-0.16366316
A013_T3,-0.58987004,-0.72450304,-0.08454856
A013_T4,-1.2679931,-1.3667862,-1.0340359
A014_T1,-0.5086821,-0.26887542,-0.025188105
A014_T2,-0.2328896,-0.3245419,-0.1459619
A014_T3,-0.53111595,-0.5947845,-0.27133006
A014_T4,-0.9879353,-0.8250754,-0.75024897
A015_T1,-0.14761224,0.1364241,-0.38100857
A015_T2,-0.2955845,-0.3898742,-0.17876375
A015_T3,-0.26376593,-0.3012806,-0.62155294
A015_T4,-0.48598427,-0.62505066,-0.36283612
A016_T1,-0.29475248,-0.35686523,-0.48393413
A016_T2,-0.67557615,-0.5745343,-0.5529809
A016_T3,-0.6243887,-0.94173694,-0.9073644
A016_T4,-1.6620972,-0.9995266,-1.488098
A017_T1,-0.36066896,-0.04159507,0.01883186
A017_T2,-0.07389383,0.13028155,0.1813509
A017_T3,0.34846318,0.20525199,-0.13713914
A017_T4,0.0537432,-0.077853166,-0.20532954
A018_T1,-0.3622402,-0.17650345,-0.46659443
A018_T2,-0.5451845,-0.3196287,-0.5171451
A018_T3,-0.8140488,-0.8628611,-0.45024264
A018_T4,-0.70174134,-1.062314,-0.95619863
A019_T1,-1.7392304,-2.5336318,-2.1217449
A019_T2,-2.012755,-2.4748008,-2.2057974
A019_T3,-1.9219693,-2.7013297,-1.9657898
A019_T4,-2.2403193,-2.283211,-2.0905952
A020_T1,-0.42148626,-0.37285313,0.023764621
A020_T2,-0.37508157,-0.5112881,-0.4758664
A020_T3,-1.0575523,-0.89992255,-1.1435447
A020_T4,-1.3997948,-1.3165435,-1.5056263
A021_T1,-0.58914065,-0.41147396,0.04435199
A021_T2,-0.54050285,-0.558847,-0.0008776629
A021_T3,-0.5408941,-0.3880754,-0.9314569
A021_T4,-0.15621644,-0.43092597,-0.42469922
A022_T1,-0.8681633,-1.1627107,-0.43350235
A022_T2,-1.4832864,-1.805651,-1.4277006
A022_T3,-1.0958583,-0.5665401,-0.47263387
A022_T4,-2.051999,-1.8017873,-1.7234702
A023_T1,-0.3060042,-0.59082544,-0.27271402
A023_T2,-0.5969571,-0.5326225,-0.56245905
A023_T3,-0.7395715,-0.6464132,-0.41440842
A023_T4,-0.39594382,-0.6230106,-0.079045445
A024_T1,-0.7741825,-0.49176538,-0.7118494
A024_T2,-0.33664376,-0.6222243,-0.2438342
A024_T3,-0.54852176,-0.5914005,-0.7560775
A024_T4,-0.9095712,-0.91537094,-0.90541756
A025_T1,-0.27394688,-0.22930345,-0.31276497
A025_T2,-0.5362342,-0.47376117,-0.28823516
A025_T3,-1.1941146,-0.6453535,-0.7726709
A025_T4,-1.5859368,-1.3320826,-1.4146963
A026_T1,-0.6328825,-0.42322144,-0.35576278
A026_T2,-0.42145854,-0.44688615,-0.6508866
A026_T3,-0.6856185,-0.3506699,-1.1103377
A026_T4,-0.5625567,-0.41052327,-0.6089159
A027_T1,-0.38182217,-0.2720792,-0.2414508
A027_T2,-0.45206234,-0.37899905,-0.80542314
A027_T3,-1.0760665,-0.9105261,-1.2925727
A027_T4,-1.4106717,-1.2259247,-1.6147063
A028_T1,-0.12767327,0.06443758,0.11271255
A028_T2,-0.37503678,-0.39307082,-0.6151377
A028_T3,-0.5752383,-0.68142813,-0.6513417
A028_T4,-0.7432959,-0.93770975,-1.1176409
A029_T1,0.19529736,0.04235333,0.15971495
A029_T2,-0.28048995,-0.15864953,-0.4085433
A029_T3,-0.26848072,-0.47460964,-0.27994117
A029_T4,-0.5393232,-0.4180649,-0.51977456
A030_T1,-0.77442324,-0.6236615,-0.5542161
A030_T2,-0.60881066,-0.2575324,-0.55999696
A030_T3,-0.6840649,-0.6491758,-1.0542847
A030_T4,-0.4550996,-0.5578966,-0.41088024
A031_T1,0.2638275,-0.0035324944,0.44419822
