UID,TEST,theta_accuracy,Domain,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration
A010,T1,1.9723079,What,-0.26977536,1.0,2.2743255808895064,0.8419666725696214,-1.4323589083198849,1.4323589083198849
A010,T2,0.5321417,What,-0.5346923,21.9,0.5738936625344563,0.39593693748215847,-0.17795672505229782,0.17795672505229782
A010,T3,-0.24620515,What,-0.7171626,80.88,-0.34511542634091835,0.08871921267252614,0.4338346390134445,0.4338346390134445
A010,T4,0.76564074,What,-0.6071539,145.31,0.8495904678901595,0.27393632758528397,-0.5756541403048755,0.5756541403048755
A011,T1,1.1758701,What,-0.30443364,1.0,1.3339561595654428,0.7836139547442263,-0.5503422048212164,0.5503422048212164
A011,T2,0.58703774,What,-0.4066074,24.57,0.6387104722938407,0.6115882054445023,-0.027122266849338383,0.027122266849338383
A011,T3,-0.32275462,What,-0.5674898,72.55,-0.4354988571707506,0.3407171382630859,0.7762159954338366,0.7762159954338366
A011,T4,-0.6501544,What,-0.9975038,148.85,-0.8220660714092333,-0.3832797133686002,0.4387863580406331,0.4387863580406331
A012,T1,1.317989,What,-0.33598834,1.0,1.501758676914836,0.730486606671414,-0.7712720702434221,0.7712720702434221
A012,T2,-0.16549101,What,-0.56394285,25.6,-0.24981468957971809,0.3466889918141216,0.5965036813938397,0.5965036813938397
A012,T3,0.5725235,What,-0.29332557,166.33,0.6215732301014704,0.8023161544579668,0.18074292435649641,0.18074292435649641
A012,T4,-0.5827313,What,-0.94255686,166.87,-0.7424583210853856,-0.29076781476344976,0.4516905063219358,0.4516905063219358
A013,T1,0.085204296,What,-0.49705088,1.0,0.046186077626307394,0.45931224519527014,0.41312616756896275,0.41312616756896275
A013,T2,-0.30207354,What,-0.97502846,24.77,-0.4110803084379347,-0.34543890958232404,0.06564139885561066,0.06564139885561066
A013,T3,0.38999763,What,-0.58987004,79.66,0.4060614264821905,0.30303645042789573,-0.10302497605429478,0.10302497605429478
A013,T4,-0.5718052,What,-1.2679931,147.13,-0.7295576647700664,-0.8386914013602902,-0.10913373659022374,0.10913373659022374
A014,T1,0.990247,What,-0.5086821,1.0,1.1147873969434543,0.439729239384679,-0.6750581575587753,0.6750581575587753
A014,T2,2.0772517,What,-0.2328896,25.66,2.3982347430080653,0.9040697066802363,-1.494165036327829,1.494165036327829
A014,T3,0.39994225,What,-0.53111595,70.56,0.4178032304933609,0.4019582906016685,-0.01584493989169239,0.01584493989169239
A014,T4,-0.48348227,What,-0.9879353,148.87,-0.6252730833831135,-0.367169624220717,0.2581034591623965,0.2581034591623965
A015,T1,1.7676418,What,-0.14761224,1.0,2.0326723820814476,1.0476476835727604,-0.9850246985086872,0.9850246985086872
A015,T2,1.9235327,What,-0.2955845,23.69,2.2167357645862555,0.7985128871037496,-1.4182228774825059,1.4182228774825059
A015,T3,1.7069992,What,-0.26376593,70.59,1.9610704984571565,0.8520845022219141,-1.1089859962352424,1.1089859962352424
A015,T4,0.48828286,What,-0.48598427,146.54,0.5221086869961974,0.4779446404155088,-0.044164046580688565,0.044164046580688565
A016,T1,1.0766052,What,-0.29475248,1.0,1.216752183849083,0.7999137248915765,-0.4168384589575064,0.4168384589575064
A016,T2,-0.39004326,What,-0.67557615,32.85,-0.514947847987715,0.15873660482845242,0.6736844528161674,0.6736844528161674
A016,T3,0.09681583,What,-0.6243887,80.64,0.059896039042333475,0.2449188050429905,0.185022766000657,0.185022766000657
A016,T4,-1.1568888,What,-1.6620972,150.8,-1.4203771190428294,-1.502228234149779,-0.08185111510694965,0.08185111510694965
A017,T1,-0.40713716,What,-0.36066896,1.0,-0.5351309443339348,0.6889328638250926,1.2240638081590274,1.2240638081590274
A017,T2,1.0619187,What,-0.07389383,20.61,1.1994115509631555,1.1717643326755662,-0.027647218287589315,0.027647218287589315
A017,T3,0.66992927,What,0.34846318,61.28,0.7365820952865795,1.8828694257761918,1.1462873304896122,1.1462873304896122
A017,T4,0.20140322,What,0.0537432,140.49,0.18338438102220203,1.3866615403748945,1.2032771593526925,1.2032771593526925
A018,T1,0.32558995,What,-0.3622402,1.0,0.33001404052132144,0.6862874317853037,0.3562733912639823,0.3562733912639823
A018,T2,-0.36246425,What,-0.5451845,34.03,-0.4823847806968473,0.3782716527084303,0.8606564334052775,0.8606564334052775
A018,T3,-0.91410375,What,-0.8140488,83.64,-1.1337161431641936,-0.07440408974683205,1.0593120534173615,1.0593120534173615
A018,T4,0.16954863,What,-0.70174134,150.87,0.14577305423081255,0.11468335264981443,-0.031089701580998122,0.031089701580998122
A019,T1,-0.015733648,What,-1.7392304,1.0,-0.07299329330375237,-1.632094224457716,-1.5591009311539636,1.5591009311539636
A019,T2,-1.1935377,What,-2.012755,28.69,-1.4636491798179,-2.092616321979695,-0.6289671421617948,0.6289671421617948
A019,T3,-0.94285613,What,-1.9219693,83.68,-1.1676646309711378,-1.9397641800187846,-0.7720995490476468,0.7720995490476468
