Domain,test,TSVR_hours,mean_calibration,CI_lower,CI_upper
What,T1,1.0,-0.004747596968024269,-0.09298542863474599,0.08349023469869746
What,T2,28.769699999999997,0.06865475876563205,-0.036041532879763874,0.173351050411028
What,T3,78.6681,0.03862915471438561,-0.060780888247842564,0.1380391976766138
What,T4,151.3752,-0.05584304620744999,-0.1705798370721767,0.05889374465727671
When,T1,1.0,0.32281740891537125,0.22832708438321236,0.41730773344753014
When,T2,28.769699999999997,0.058391599687504,-0.048228298015305704,0.1650114973903137
When,T3,78.6681,-0.11420914690028072,-0.21796615089991206,-0.010452142900649372
When,T4,151.3752,-0.20627144789284224,-0.32592282324958255,-0.08662007253610195
Where,T1,1.0,-0.023100625054728426,-0.1152126518079399,0.06901140169848304
Where,T2,28.769699999999997,-0.02630434647686284,-0.12988865939424568,0.07727996644051999
Where,T3,78.6681,-0.003861068611447935,-0.10464296193211405,0.09692082470921819
Where,T4,151.3752,-0.05415564397125754,-0.16206926057543536,0.053757972632920266
