UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A010,T1,What,1.0,1.9723079,-0.26977536,2.2743255808895064,0.8419666725696214,-0.4220078403722338
A010,T2,What,21.9,0.5321417,-0.5346923,0.5738936625344563,0.3959369374821584,0.024493532711373167
A010,T3,What,80.88,-0.24620515,-0.7171626,-0.3451154263409183,0.0887192126725261,0.22329256295716388
A010,T4,What,145.31,0.76564074,-0.6071539,0.8495904678901595,0.2739363275852839,-0.17277377921707782
A011,T1,What,1.0,1.1758701,-0.30443364,1.3339561595654428,0.7836139547442263,-0.054070442071636526
A011,T2,What,24.57,0.58703774,-0.4066074,0.6387104722938407,0.6115882054445023,0.13513269007735457
A011,T3,What,72.55,-0.32275462,-0.5674898,-0.4354988571707506,0.3407171382630859,0.42420330238164367
A011,T4,What,148.85,-0.6501544,-0.9975038,-0.8220660714092333,-0.3832797133686002,0.12560584378755846
A012,T1,What,1.0,1.317989,-0.33598834,1.501758676914836,0.730486606671414,-0.16055927955272015
A012,T2,What,25.6,-0.16549101,-0.56394285,-0.249814689579718,0.3466889918141216,0.3479839722788342
A012,T3,What,166.33,0.5725235,-0.29332557,0.6215732301014704,0.8023161544579668,0.2650894791979935
A012,T4,What,166.87,-0.5827313,-0.94255686,-0.7424583210853856,-0.2907678147634497,0.15073448302609638
A013,T1,What,1.0,0.085204296,-0.49705088,0.0461860776263073,0.4593122451952701,0.2927397889086678
A013,T2,What,24.77,-0.30207354,-0.97502846,-0.4110803084379347,-0.345438909582324,-0.027271387267193248
A013,T3,What,79.66,0.38999763,-0.58987004,0.4060614264821905,0.3030364504278957,0.03715283428738303
A013,T4,What,147.13,-0.5718052,-1.2679931,-0.7295576647700664,-0.8386914013602902,-0.20694152770637347
A014,T1,What,1.0,0.990247,-0.5086821,1.1147873969434543,0.439729239384679,-0.1805684088640261
A014,T2,What,25.66,2.0772517,-0.2328896,2.3982347430080653,0.9040697066802365,-0.4355213397851676
A014,T3,What,70.56,0.39994225,-0.53111595,0.4178032304933609,0.4019582906016685,0.09566086712918037
A014,T4,What,148.87,-0.48348227,-0.9879353,-0.6252730833831135,-0.367169624220717,0.0511121546028091
A015,T1,What,1.0,1.7676418,-0.14761224,2.032672382081448,1.0476476835727604,-0.18564249149966017
A015,T2,What,23.69,1.9235327,-0.2955845,2.2167357645862555,0.7985128871037496,-0.4251030534737312
A015,T3,What,70.59,1.7069992,-0.26376593,1.9610704984571563,0.8520845022219141,-0.28044701605391276
A015,T4,What,146.54,0.48828286,-0.48598427,0.5221086869961974,0.4779446404155088,0.09952131381232765
A016,T1,What,1.0,1.0766052,-0.29475248,1.216752183849083,0.7999137248915765,0.00693639355147424
A016,T2,What,32.85,-0.39004326,-0.67557615,-0.514947847987715,0.1587366048284524,0.34151069086855906
A016,T3,What,80.64,0.09681583,-0.6243887,0.0598960390423334,0.2449188050429905,0.14905242664268242
