composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A010_T1,-0.26977536,-0.35840303,0.2531799,A010,T1,22.0,1.0
A010_T2,-0.5346923,-0.60747373,-0.58785975,A010,T2,22.0,21.9
A010_T3,-0.7171626,-0.6976981,-0.9595362,A010,T3,22.0,80.88
A010_T4,-0.6071539,-0.8171049,-0.72395766,A010,T4,22.0,145.31
A011_T1,-0.30443364,0.1822105,0.3756417,A011,T1,21.0,1.0
A011_T2,-0.4066074,-0.41067916,-0.13075611,A011,T2,21.0,24.57
A011_T3,-0.5674898,-0.40114135,-1.1300645,A011,T3,21.0,72.55
A011_T4,-0.9975038,-0.8926102,-1.1402402,A011,T4,21.0,148.85
A012_T1,-0.33598834,-0.13544692,-0.25392818,A012,T1,21.0,1.0
A012_T2,-0.56394285,-0.6886631,-0.67918605,A012,T2,21.0,25.6
A012_T3,-0.29332557,-0.65423065,-0.27526832,A012,T3,21.0,166.33
A012_T4,-0.94255686,-0.75222445,-0.5091232,A012,T4,21.0,166.87
A013_T1,-0.49705088,-0.69894737,-0.6384713,A013,T1,22.0,1.0
A013_T2,-0.97502846,-0.72977465,-0.16366316,A013,T2,22.0,24.77
A013_T3,-0.58987004,-0.72450304,-0.08454856,A013,T3,22.0,79.66
A013_T4,-1.2679931,-1.3667862,-1.0340359,A013,T4,22.0,147.13
A014_T1,-0.5086821,-0.26887542,-0.025188105,A014,T1,22.0,1.0
A014_T2,-0.2328896,-0.3245419,-0.1459619,A014,T2,22.0,25.66
A014_T3,-0.53111595,-0.5947845,-0.27133006,A014,T3,22.0,70.56
A014_T4,-0.9879353,-0.8250754,-0.75024897,A014,T4,22.0,148.87
A015_T1,-0.14761224,0.1364241,-0.38100857,A015,T1,23.0,1.0
A015_T2,-0.2955845,-0.3898742,-0.17876375,A015,T2,23.0,23.69
A015_T3,-0.26376593,-0.3012806,-0.62155294,A015,T3,23.0,70.59
A015_T4,-0.48598427,-0.62505066,-0.36283612,A015,T4,23.0,146.54
A016_T1,-0.29475248,-0.35686523,-0.48393413,A016,T1,21.0,1.0
A016_T2,-0.67557615,-0.5745343,-0.5529809,A016,T2,21.0,32.85
A016_T3,-0.6243887,-0.94173694,-0.9073644,A016,T3,21.0,80.64
A016_T4,-1.6620972,-0.9995266,-1.488098,A016,T4,21.0,150.8
A017_T1,-0.36066896,-0.04159507,0.01883186,A017,T1,24.0,1.0
A017_T2,-0.07389383,0.13028155,0.1813509,A017,T2,24.0,20.61
A017_T3,0.34846318,0.20525199,-0.13713914,A017,T3,24.0,61.28
