UID,test,composite_ID,Age,Age_c,TSVR_hours,log_TSVR,Domain,theta_confidence
A010,T1,A010_T1,22.0,-22.57,1.0,0.6931471805599453,What,-0.26977536
A010,T2,A010_T2,22.0,-22.57,21.9,3.131136910560194,What,-0.5346923
A010,T3,A010_T3,22.0,-22.57,80.88,4.405254760793088,What,-0.7171626
A010,T4,A010_T4,22.0,-22.57,145.31,4.985727658390071,What,-0.6071539
A011,T1,A011_T1,21.0,-23.57,1.0,0.6931471805599453,What,-0.30443364
A011,T2,A011_T2,21.0,-23.57,24.57,3.2414197893030954,What,-0.4066074
A011,T3,A011_T3,21.0,-23.57,72.55,4.297965447047447,What,-0.5674898
A011,T4,A011_T4,21.0,-23.57,148.85,5.009634793762673,What,-0.9975038
A012,T1,A012_T1,21.0,-23.57,1.0,0.6931471805599453,What,-0.33598834
A012,T2,A012_T2,21.0,-23.57,25.6,3.2809112157876537,What,-0.56394285
A012,T3,A012_T3,21.0,-23.57,166.33,5.119967910506483,What,-0.29332557
A012,T4,A012_T4,21.0,-23.57,166.87,5.123189870334323,What,-0.94255686
A013,T1,A013_T1,22.0,-22.57,1.0,0.6931471805599453,What,-0.49705088
A013,T2,A013_T2,22.0,-22.57,24.77,3.2492110246642736,What,-0.97502846
A013,T3,A013_T3,22.0,-22.57,79.66,4.390242789445222,What,-0.58987004
A013,T4,A013_T4,22.0,-22.57,147.13,4.998090266593961,What,-1.2679931
A014,T1,A014_T1,22.0,-22.57,1.0,0.6931471805599453,What,-0.5086821
A014,T2,A014_T2,22.0,-22.57,25.66,3.2831643147505627,What,-0.2328896
A014,T3,A014_T3,22.0,-22.57,70.56,4.270536258640519,What,-0.53111595
A014,T4,A014_T4,22.0,-22.57,148.87,5.009768251656904,What,-0.9879353
A015,T1,A015_T1,23.0,-21.57,1.0,0.6931471805599453,What,-0.14761224
A015,T2,A015_T2,23.0,-21.57,23.69,3.206398303357088,What,-0.2955845
A015,T3,A015_T3,23.0,-21.57,70.59,4.270955399408094,What,-0.26376593
A015,T4,A015_T4,23.0,-21.57,146.54,4.9940993254561565,What,-0.48598427
A016,T1,A016_T1,21.0,-23.57,1.0,0.6931471805599453,What,-0.29475248
A016,T2,A016_T2,21.0,-23.57,32.85,3.521938999358284,What,-0.67557615
A016,T3,A016_T3,21.0,-23.57,80.64,4.402319337941644,What,-0.6243887
A016,T4,A016_T4,21.0,-23.57,150.8,5.02256386496153,What,-1.6620972
A017,T1,A017_T1,24.0,-20.57,1.0,0.6931471805599453,What,-0.36066896
A017,T2,A017_T2,24.0,-20.57,20.61,3.0731561705187946,What,-0.07389383
A017,T3,A017_T3,24.0,-20.57,61.28,4.131640346965797,What,0.34846318
A017,T4,A017_T4,24.0,-20.57,140.49,4.952229043207861,What,0.0537432
A018,T1,A018_T1,23.0,-21.57,1.0,0.6931471805599453,What,-0.3622402
A018,T2,A018_T2,23.0,-21.57,34.03,3.5562048372093953,What,-0.5451845
A018,T3,A018_T3,23.0,-21.57,83.64,4.438406968109989,What,-0.8140488
A018,T4,A018_T4,23.0,-21.57,150.87,5.023024891742178,What,-0.70174134
A019,T1,A019_T1,20.0,-24.57,1.0,0.6931471805599453,What,-1.7392304
A019,T2,A019_T2,20.0,-24.57,28.69,3.3908102887756684,What,-2.012755
A019,T3,A019_T3,20.0,-24.57,83.68,4.4388794462666645,What,-1.9219693
A019,T4,A019_T4,20.0,-24.57,154.76,5.048316361063944,What,-2.2403193
A020,T1,A020_T1,26.0,-18.57,1.0,0.6931471805599453,What,-0.42148626
A020,T2,A020_T2,26.0,-18.57,26.85,3.326832966373293,What,-0.37508157
A020,T3,A020_T3,26.0,-18.57,78.25,4.37260741275739,What,-1.0575523
A020,T4,A020_T4,26.0,-18.57,145.78,4.9889348671169165,What,-1.3997948
A021,T1,A021_T1,28.0,-16.57,1.0,0.6931471805599453,What,-0.58914065
A021,T2,A021_T2,28.0,-16.57,30.21,3.440738556282688,What,-0.54050285
A021,T3,A021_T3,28.0,-16.57,74.19,4.320018243389936,What,-0.5408941
A021,T4,A021_T4,28.0,-16.57,140.39,4.951522029603749,What,-0.15621644
A022,T1,A022_T1,28.0,-16.57,1.0,0.6931471805599453,What,-0.8681633
A022,T2,A022_T2,28.0,-16.57,24.15,3.224857896545748,What,-1.4832864
A022,T3,A022_T3,28.0,-16.57,74.46,4.323602714536165,What,-1.0958583
A022,T4,A022_T4,28.0,-16.57,141.71,4.9608145991123,What,-2.051999
A023,T1,A023_T1,26.0,-18.57,1.0,0.6931471805599453,What,-0.3060042
A023,T2,A023_T2,26.0,-18.57,25.63,3.282038399825841,What,-0.5969571
A023,T3,A023_T3,26.0,-18.57,72.2,4.293195420967266,What,-0.7395715
A023,T4,A023_T4,26.0,-18.57,145.07,4.984085958862719,What,-0.39594382
A024,T1,A024_T1,29.0,-15.57,1.0,0.6931471805599453,What,-0.7741825
A024,T2,A024_T2,29.0,-15.57,29.57,3.420019135902743,What,-0.33664376
A024,T3,A024_T3,29.0,-15.57,91.47,4.526884267589547,What,-0.54852176
A024,T4,A024_T4,29.0,-15.57,145.65,4.9880487954234605,What,-0.9095712
A025,T1,A025_T1,26.0,-18.57,1.0,0.6931471805599453,What,-0.27394688
A025,T2,A025_T2,26.0,-18.57,23.33,3.1917101567954314,What,-0.5362342
A025,T3,A025_T3,26.0,-18.57,72.94,4.303253953508486,What,-1.1941146
A025,T4,A025_T4,26.0,-18.57,137.74,4.932601677957155,What,-1.5859368
A026,T1,A026_T1,29.0,-15.57,1.0,0.6931471805599453,What,-0.6328825
A026,T2,A026_T2,29.0,-15.57,26.48,3.3134584673541485,What,-0.42145854
A026,T3,A026_T3,29.0,-15.57,75.46,4.336767728268267,What,-0.6856185
A026,T4,A026_T4,29.0,-15.57,147.65,5.001594549444107,What,-0.5625567
A027,T1,A027_T1,28.0,-16.57,1.0,0.6931471805599453,What,-0.38182217
A027,T2,A027_T2,28.0,-16.57,28.26,3.3762213955919784,What,-0.45206234
A027,T3,A027_T3,28.0,-16.57,74.58,4.325191697921343,What,-1.0760665
A027,T4,A027_T4,28.0,-16.57,145.92,4.989888220951467,What,-1.4106717
A028,T1,A028_T1,26.0,-18.57,1.0,0.6931471805599453,What,-0.12767327
