term,estimate,se,z_value,p_value
Intercept,-0.5798475265026684,0.04749875645068997,-12.207635943156266,2.8299280411680607e-34
C(Domain)[T.When],0.10072612875107359,0.02823572232679489,3.5673296254046023,0.000360637711337897
C(Domain)[T.Where],0.008952285363839638,0.02823572232679491,0.3170552982575611,0.7512016430931487
TSVR_hours,-0.0034255035816341322,0.0003364013047525449,-10.182789225963067,2.3667830350540207e-24
TSVR_hours:C(Domain)[T.When],-0.0002658013620653379,0.0003235583006412621,-0.8214944927654294,0.41136465976156056
TSVR_hours:C(Domain)[T.Where],-1.2521402016785546e-05,0.0003235583006412622,-0.03869905977367696,0.9691303230412462
Age_c,-0.007609417462429654,0.0032725137749907694,-2.325251468941828,0.020058517673946848
Age_c:C(Domain)[T.When],0.0001924263547585482,0.0019415342552346134,0.09911046083258293,0.9210505664409643
Age_c:C(Domain)[T.Where],-0.0005297018564936484,0.0019415342552346136,-0.27282642841119464,0.7849866430346537
TSVR_hours:Age_c,-1.5973255754436703e-05,2.326084739696562e-05,-0.6867013691221076,0.49227093402892386
TSVR_hours:Age_c:C(Domain)[T.When],1.3791667693651898e-05,2.2480654337054973e-05,0.6134904921748218,0.5395520675819028
TSVR_hours:Age_c:C(Domain)[T.Where],2.5088495810156333e-05,2.2480654337054976e-05,1.116003806384,0.26442050529369376
