UID,domain,random_intercept,random_slope
A010,What,0.15914489888753847,0.0015366264104463357
A011,What,0.27288963513926917,-0.0009943877259390023
A012,What,0.1404348147383311,0.0023187395024671736
A013,What,-0.012677807583802976,-0.00035933301544910915
A014,What,0.2446169561373683,-0.00046904826982928545
A015,What,0.36924118889096,0.0017304377506028677
A016,What,0.29613800363611187,-0.004750374649080903
A017,What,0.3965009132221221,0.006276781510963497
A018,What,0.11819047619551996,0.0012214411407585727
A019,What,-1.1154986529516457,-0.00010368325707506596
A020,What,0.22063419200455878,-0.003926158903419007
A021,What,-0.05700136735542741,0.006403025616071932
A022,What,-0.36141927510562194,-0.003506122320111316
A023,What,0.07394884711860751,0.0033214696664686646
A024,What,0.04709536777606028,0.001768117225284191
A025,What,0.23232336588950833,-0.00609306504092303
A026,What,0.014323159038727268,0.0032620416040716367
A027,What,0.20574161284061485,-0.004007378555719079
A028,What,0.33641075105001117,-0.0004109701533545816
A029,What,0.5718407609901692,-0.00016165626990018118
A030,What,-0.15506575533747727,0.005160750640941383
A031,What,0.6146492503090993,-0.00607035035081483
A032,What,0.09300297152347062,0.0018346068586054822
A033,What,0.05404844543193515,0.004358340069695573
A034,What,0.5792458188097094,-0.00046339507155475926
A035,What,0.11132540249079445,0.000535938398725941
A036,What,-1.0144245018898215,-0.0012448752494945141
A037,What,0.13788334361246943,0.000724349455461525
A038,What,0.10844728749681642,0.0036799295256065277
A039,What,0.631812723598623,0.0008787381761109176
A040,What,-0.08349091685951493,0.0006418282580284661
A041,What,0.40077973015570545,0.0007549014219861325
A042,What,-0.1963988433552702,0.0009288213476134097
A043,What,0.5642988139888241,0.000491764729385852
A044,What,-0.39057165114970377,-0.0003022442731901017
A045,What,-0.005250473435850698,0.0009430528355329236
A046,What,-0.579061187600786,0.002028891155757303
A047,What,-0.19976891682308628,-0.005407364172461696
A048,What,-0.05056869538377972,0.0033369525426265923
A049,What,0.21933462293869826,0.0023870442363524034
A050,What,0.15874082724582425,-0.0013187428029485682
A051,What,0.3411200281850812,0.00013922320122686777
A052,What,-0.02547314580472497,0.0020452970660272784
A053,What,-0.2718131999171345,-0.0011261259801098446
A054,What,0.4212487310013436,0.0013496840985932604
A055,What,-0.08885431067859578,0.001125483670355164
A056,What,-0.05429287508619767,-0.0006512013778509911
A057,What,0.2931228409190054,-0.00322467326118015
A058,What,0.12542411571023743,-0.0010767709428068542
A059,What,-0.052918475946890565,0.0027842747085323146
A060,What,0.0073400185934652815,0.005998661709713114
A061,What,0.48751698761176826,0.0018442117771907487
A062,What,0.36285255655633103,-0.0067591008675260515
A063,What,-0.6780602328485815,-0.006264104211469145
A064,What,0.10368882103183034,0.0027765051099132576
A065,What,-0.5122266435603531,-0.0021258403556860006
A066,What,-0.005384251103234917,-0.0009462996193348713
A067,What,-0.332447644555893,-0.00012611354858666827
A068,What,0.4618023667449856,-0.0006163140496055495
A069,What,-0.6057112495890791,0.0006028149754185587
A070,What,0.2735499659417216,-0.0035378287286176855
A071,What,0.15217030475326213,-0.002317429713836994
A072,What,0.551231107559971,-0.0014041376250520383
A073,What,-0.30130550471263323,0.001820940493455474
A074,What,0.20549162940818422,-0.00018894175547442621
A075,What,-0.2503964187742012,0.001526059705225481
A076,What,-0.19656669519111467,-0.0023815338943390077
A077,What,0.1426541327158701,0.0024898444034481895
A078,What,-0.27691867932551983,-0.001861357094804717
A079,What,0.009155266141852343,0.0005902813761189603
A080,What,0.19291368382412763,-0.001743613509176969
A081,What,0.23992081191850753,0.0010366947695185375
A082,What,0.21171696800004525,-0.0006650216683822927
A083,What,0.1968693753183754,0.0007571623396456673
A084,What,-0.9219053337343361,0.001554426162663321
A085,What,0.4987834272853934,-0.0010347471462022531
A086,What,0.28025310097275286,0.00043186103184352366
A087,What,0.4411671573565187,0.0017978605720632944
A088,What,0.08219712597200593,0.00504784341799012
A089,What,0.32253515823203555,0.001595215534635974
A090,What,-0.7741544996260025,-0.004464175365282039
A091,What,0.003847818218081386,0.0007363603104875292
A092,What,0.04739093281876177,-0.00377726248459439
A093,What,-0.27919561179977426,-0.00921181728278559
A094,What,-0.24483644257736728,0.0006378711426318088
A095,What,0.10971680000676914,-0.0001279192230219412
A096,What,-0.2067196094365065,0.0031147701175404364
A097,What,-0.9162041115891628,-0.0024655022993131134
A098,What,0.20128095561596637,0.0023568199735561693
A099,What,0.19329167058964783,0.005435963837342617
A100,What,-0.5488366407428639,-0.00262120941702802
A101,What,-0.47535936714349747,-0.006219838117341637
A102,What,0.058464117624510245,0.001975821619940419
A103,What,-1.1143556005278537,-0.0012292025494628064
A104,What,0.42468186799747787,-0.0031568639599283653
A105,What,0.5238215559508377,-0.0010526928025104975
A106,What,0.17648054562153417,0.00411777281406169
A107,What,-1.5801006977324128,0.0035711603001755284
A108,What,-0.2537872998572816,0.0008489112690606815
A109,What,-0.32772354066265164,-0.004667598654906811
A010,Where,0.10961168606551086,0.0008156139851960885
A011,Where,0.5214038906241608,-0.0022538809934440534
A012,Where,0.18937910183604736,0.001400955942018763
A013,Where,-0.03148596906969648,-0.000942156948561053
A014,Where,0.28313429116344563,-0.0002468883527484377
A015,Where,0.48117231561737295,-0.00026806322431928447
A016,Where,0.12836335644306296,-0.0007946254633402398
A017,Where,0.6122968053825625,0.0032347649302151456
A018,Where,0.3555776323287644,-0.0025555523746985612
A019,Where,-1.8460349621721037,0.0032896144478353883
