composite_ID,UID,TSVR_hours,test
A010_T1,A010,1.0,T1
A010_T2,A010,21.9,T2
A010_T3,A010,80.88,T3
A010_T4,A010,145.31,T4
A011_T1,A011,1.0,T1
A011_T2,A011,24.57,T2
A011_T3,A011,72.55,T3
A011_T4,A011,148.85,T4
A012_T1,A012,1.0,T1
A012_T2,A012,25.6,T2
A012_T3,A012,166.33,T3
A012_T4,A012,166.87,T4
A013_T1,A013,1.0,T1
A013_T2,A013,24.77,T2
A013_T3,A013,79.66,T3
A013_T4,A013,147.13,T4
A014_T1,A014,1.0,T1
A014_T2,A014,25.66,T2
A014_T3,A014,70.56,T3
A014_T4,A014,148.87,T4
A015_T1,A015,1.0,T1
A015_T2,A015,23.69,T2
A015_T3,A015,70.59,T3
A015_T4,A015,146.54,T4
A016_T1,A016,1.0,T1
A016_T2,A016,32.85,T2
A016_T3,A016,80.64,T3
A016_T4,A016,150.8,T4
A017_T1,A017,1.0,T1
A017_T2,A017,20.61,T2
A017_T3,A017,61.28,T3
A017_T4,A017,140.49,T4
A018_T1,A018,1.0,T1
A018_T2,A018,34.03,T2
A018_T3,A018,83.64,T3
A018_T4,A018,150.87,T4
A019_T1,A019,1.0,T1
A019_T2,A019,28.69,T2
A019_T3,A019,83.68,T3
A019_T4,A019,154.76,T4
A020_T1,A020,1.0,T1
A020_T2,A020,26.85,T2
A020_T3,A020,78.25,T3
A020_T4,A020,145.78,T4
A021_T1,A021,1.0,T1
A021_T2,A021,30.21,T2
A021_T3,A021,74.19,T3
A021_T4,A021,140.39,T4
A022_T1,A022,1.0,T1
A022_T2,A022,24.15,T2
A022_T3,A022,74.46,T3
A022_T4,A022,141.71,T4
A023_T1,A023,1.0,T1
A023_T2,A023,25.63,T2
A023_T3,A023,72.2,T3
A023_T4,A023,145.07,T4
A024_T1,A024,1.0,T1
A024_T2,A024,29.57,T2
A024_T3,A024,91.47,T3
A024_T4,A024,145.65,T4
A025_T1,A025,1.0,T1
A025_T2,A025,23.33,T2
A025_T3,A025,72.94,T3
A025_T4,A025,137.74,T4
A026_T1,A026,1.0,T1
A026_T2,A026,26.48,T2
A026_T3,A026,75.46,T3
A026_T4,A026,147.65,T4
A027_T1,A027,1.0,T1
A027_T2,A027,28.26,T2
A027_T3,A027,74.58,T3
A027_T4,A027,145.92,T4
A028_T1,A028,1.0,T1
A028_T2,A028,22.82,T2
A028_T3,A028,72.26,T3
A028_T4,A028,138.91,T4
A029_T1,A029,1.0,T1
A029_T2,A029,28.43,T2
A029_T3,A029,93.26,T3
A029_T4,A029,143.14,T4
A030_T1,A030,1.0,T1
A030_T2,A030,32.95,T2
A030_T3,A030,71.93,T3
A030_T4,A030,150.46,T4
A031_T1,A031,1.0,T1
A031_T2,A031,32.41,T2
A031_T3,A031,71.56,T3
A031_T4,A031,143.85,T4
A032_T1,A032,1.0,T1
A032_T2,A032,57.18,T2
A032_T3,A032,80.16,T3
A032_T4,A032,144.51,T4
A033_T1,A033,1.0,T1
A033_T2,A033,29.16,T2
A033_T3,A033,72.6,T3
A033_T4,A033,168.33,T4
A034_T1,A034,1.0,T1
A034_T2,A034,26.08,T2
A034_T3,A034,74.28,T3
A034_T4,A034,145.38,T4
A035_T1,A035,1.0,T1
A035_T2,A035,44.76,T2
A035_T3,A035,79.98,T3
A035_T4,A035,152.47,T4
A036_T1,A036,1.0,T1
A036_T2,A036,21.63,T2
A036_T3,A036,71.47,T3
A036_T4,A036,143.85,T4
A037_T1,A037,1.0,T1
A037_T2,A037,23.7,T2
A037_T3,A037,72.08,T3
