composite_ID,theta_IFR,theta_ICR,theta_IRE
A010_T1,0.85178673,1.0445036,0.89889574
A010_T2,-0.07710311,0.45225796,0.5221212
A010_T3,-1.0213599,-0.2213925,-0.5278075
A010_T4,-0.2763834,-0.32990035,-0.39336953
A011_T1,1.8347148,2.097358,2.2161264
A011_T2,0.9996799,0.9052091,0.5941408
A011_T3,0.73993474,0.6228788,0.43039462
A011_T4,-0.46345344,-0.3320355,-0.25729156
A012_T1,1.1559464,1.4981548,1.2449586
A012_T2,-0.08249939,0.42244473,0.25953066
A012_T3,0.45930567,0.5619224,0.5262805
A012_T4,0.03425139,-0.09356645,0.039174035
A013_T1,-0.9275253,0.2652362,0.40155345
A013_T2,0.049784623,-0.101568215,-0.44230616
A013_T3,0.07870513,0.2569344,0.6416035
A013_T4,-0.02728733,-0.46893162,-0.85741687
A014_T1,1.024902,1.5282502,1.4668857
A014_T2,1.2874391,1.3549712,1.6917746
A014_T3,0.31873736,1.1774948,0.9119112
A014_T4,0.116584376,0.6408565,0.41562644
A015_T1,1.1892862,1.2185973,1.241775
A015_T2,0.6079955,0.056041792,0.023206683
A015_T3,0.6858828,0.028557133,-0.2768733
A015_T4,-0.3031196,-0.25866267,-0.1216132
A016_T1,0.82558393,1.271238,0.9903557
A016_T2,0.42024547,0.42394212,0.09756313
A016_T3,0.32464573,0.081224345,-0.09194636
A016_T4,-0.29663873,-0.7850735,-0.63657314
A017_T1,1.4129257,0.96764237,1.0411843
A017_T2,1.6894995,1.932889,1.9427347
A017_T3,1.6699553,1.238766,0.82866496
A017_T4,0.59820884,0.44382367,0.4504775
A018_T1,-0.11094046,0.62684,0.54084283
A018_T2,-0.6364302,0.10199067,0.30575442
A018_T3,-1.5314678,-0.9433304,-0.98446405
A018_T4,-1.5636554,-0.9156064,-1.331368
A019_T1,0.43826646,-0.05918558,-0.03006588
A019_T2,0.27718675,-0.034733307,-0.16665588
A019_T3,0.5548551,0.046264544,0.019782517
A019_T4,0.07812005,-0.52400994,-0.122398406
A020_T1,0.31842798,0.43676353,0.48487532
A020_T2,-0.4075857,0.5830393,0.42275703
A020_T3,-1.1545374,-0.14765973,-0.2453548
A020_T4,-1.9291667,-1.2833068,-0.66510415
A021_T1,1.0394279,0.977496,0.94722426
A021_T2,0.7673951,0.7602014,0.8555971
A021_T3,0.73373723,0.46279624,0.51634616
A021_T4,0.63682073,0.19201994,0.16016604
A022_T1,-0.8483689,-0.79947233,-0.5599569
A022_T2,-0.8663616,-1.3670279,-1.1506389
A022_T3,-0.32292435,-0.81343544,-0.8216659
A022_T4,-1.5583205,-1.4919189,-1.486217
A023_T1,-0.34812656,1.111546,1.2248923
A023_T2,-0.3904379,0.906731,1.353229
A023_T3,0.46886665,0.8893032,0.7366257
A023_T4,0.39837947,0.90834063,0.44785577
A024_T1,0.04210144,0.15416454,0.5233572
A024_T2,0.19069418,0.29505837,0.50655913
A024_T3,0.40342727,0.287279,0.19340593
A024_T4,0.19332696,-0.53761804,-0.5427016
A025_T1,0.6799726,1.0566473,1.3105944
A025_T2,0.41472393,0.18531144,0.5360619
A025_T3,-0.34384525,-0.16098343,-0.28384507
A025_T4,-2.2323935,-1.9074742,-1.2568414
A026_T1,0.14765209,0.46417513,0.8280111
A026_T2,0.14412308,0.21444139,-0.013515608
A026_T3,0.57096505,0.06673503,0.31300467
A026_T4,0.7213202,0.196849,0.3541807
A027_T1,0.51309985,0.8169626,0.7020819
A027_T2,0.36738318,0.41405872,0.4520156
A027_T3,0.12660407,-0.15845111,-0.4453348
A027_T4,-1.2449001,-0.7631158,-0.6635894
A028_T1,1.6594371,1.153351,1.2177331
A028_T2,0.8392723,0.59221226,0.32917947
A028_T3,0.07938852,-0.1889833,-0.09468098
A028_T4,-0.33464047,-0.17462467,-0.13458937
A029_T1,1.6530337,1.7885509,1.6144459
A029_T2,1.2309105,1.1563139,1.0932068
A029_T3,0.72921515,0.82785684,0.68749344
A029_T4,0.5522663,0.8044101,0.62234026
A030_T1,-0.59442264,0.4624622,0.41928506
A030_T2,0.88593477,0.65045196,0.788566
A030_T3,0.020549232,0.033937138,-0.15492365
A030_T4,0.1354346,0.32460773,0.18823718
A031_T1,2.2518833,1.7304558,1.785624
A031_T2,0.1390481,0.42215833,0.37592298
A031_T3,0.043751184,-0.36692184,-0.08381569
A031_T4,-1.166624,-0.96806985,-0.60598576
A032_T1,0.25050765,0.32997334,0.4821841
A032_T2,-0.5907508,-1.3433542,-1.0159847
A032_T3,-0.31497684,-0.25886083,-0.3383171
A032_T4,0.18063033,0.20113857,0.4298114
A033_T1,-0.03859947,0.37552366,0.53435
A033_T2,-0.11002181,0.27714875,0.061753225
A033_T3,0.6104876,0.77254575,0.5544295
A033_T4,-0.17260191,-0.42399514,-0.6315902
A034_T1,1.518007,1.8733455,2.2014844
A034_T2,1.4478754,1.9956686,2.0953476
A034_T3,0.5345562,1.6876311,1.7947823
A034_T4,-0.11561268,1.1486893,0.7776661
A035_T1,0.035047524,0.9646568,0.6479408
A035_T2,0.6542571,0.8344269,0.6354389
A035_T3,-0.27981663,0.55970114,0.39472583
A035_T4,-0.5662699,-0.11398948,0.061779093
A036_T1,-0.7164409,-0.5401704,-0.43678325
A036_T2,-1.2684394,-1.1495788,-1.0017834
A036_T3,-1.1275177,-1.2641972,-0.9914619
A036_T4,-1.5840323,-1.4180025,-1.7830659
A037_T1,0.8888299,0.9754303,1.1310743
A037_T2,0.6731586,0.16605419,0.29285836
A037_T3,-0.525637,-0.18208951,-0.07039599
A037_T4,-0.97713006,-0.7696734,-1.0375898
A038_T1,1.3778287,1.3793346,1.1646243
A038_T2,1.5058181,0.6218029,0.84984636
A038_T3,1.3470376,0.8111531,0.86464834
A038_T4,0.7396804,0.85368073,1.0965561
A039_T1,2.1263494,1.9327836,1.7714583
A039_T2,1.8127987,1.728625,1.7489265
A039_T3,1.1250316,1.0211172,1.2499301
A039_T4,0.46434185,0.5528414,0.5321081
A040_T1,-0.0072261244,0.2869117,-0.17226666
A040_T2,0.19315363,-0.41786185,-0.29663426
A040_T3,-0.89366555,-1.390414,-1.6075003
A040_T4,-1.3991143,-2.367331,-2.1082828
A041_T1,1.1841989,0.87923354,0.6442859
A041_T2,-0.3145056,-0.62544024,-0.87520826
A041_T3,0.23010083,0.16384695,0.42466822
A041_T4,-0.18036772,0.2372827,-0.43458116
A042_T1,-1.5427378,-0.016888836,0.11601069
A042_T2,-0.4776334,-0.6684039,-0.8074941
A042_T3,-0.57906073,-0.3373769,-0.55342406
A042_T4,-0.71413696,-0.9796301,-0.9531266
A043_T1,2.1977189,2.2569149,1.8181535
A043_T2,1.7545252,2.1117377,2.107851
A043_T3,1.4070431,1.3151852,1.670281
A043_T4,0.7182775,0.70396477,1.0180076
A044_T1,-1.2280133,-0.6903611,-0.29373553
A044_T2,-0.50659543,-0.7887448,-0.37151074
A044_T3,-1.1602864,-1.044452,-1.285452
A044_T4,-1.6527768,-1.1816916,-0.92629576
A045_T1,-0.8908339,-0.5044365,0.29988098
A045_T2,-0.24345724,-0.2820216,-0.20814267
A045_T3,0.001533542,-0.22075844,-0.36902487
A045_T4,-1.5910465,-0.88872474,-0.5904152
A046_T1,0.45228595,0.20584817,0.9926522
A046_T2,-0.2419213,-0.010503578,0.3577176
A046_T3,0.27085888,-0.25762475,-0.40778854
A046_T4,0.53204423,-0.85227305,-0.7904811
A047_T1,0.22207776,1.0289624,0.8020553
A047_T2,0.41024467,0.21017699,0.13581415
A047_T3,-0.22017261,-0.046191372,0.008285063
A047_T4,-0.95780337,-1.0940437,-0.44625625
A048_T1,0.6095396,0.9072927,0.4691744
A048_T2,0.8507576,0.4635835,0.4344948
A048_T3,-0.030397754,0.0910915,0.12195327
A048_T4,-0.16322981,-0.21906023,-0.09083844
A049_T1,1.500568,1.6523681,1.6261145
A049_T2,-0.7632378,-0.3265068,-0.0623099
A049_T3,0.048425123,0.042568337,-0.17305703
A049_T4,-0.18425566,-0.35133895,-0.295009
A050_T1,-0.050649323,0.2824599,0.3032693
A050_T2,-0.5459121,-0.36344478,-0.2734772
A050_T3,-2.3131957,-1.4643158,-2.141232
A050_T4,-2.4320745,-2.2750664,-2.247155
A051_T1,1.3480291,1.7587221,1.9103534
A051_T2,1.2231305,1.403682,1.5820678
A051_T3,-0.36823046,0.29306176,0.34050944
A051_T4,-0.6609453,0.32524413,0.64677894
A052_T1,0.6669634,1.0240874,1.0530825
A052_T2,0.31808516,0.009612759,0.27641442
A052_T3,-0.035309065,-0.310074,-0.29764047
A052_T4,-0.19639316,-0.47450295,-0.20972034
A053_T1,0.6536005,0.90247226,0.8662365
A053_T2,-0.39780223,-0.2478096,-0.23723178
A053_T3,0.34928432,-0.43539837,-0.30219337
A053_T4,0.36064044,-0.2663565,-0.24718331
A054_T1,1.8232684,1.5208052,1.5295488
A054_T2,0.5109033,0.8418669,1.1914456
A054_T3,0.6350186,0.6056692,0.8846226
A054_T4,1.2063037,0.6782796,0.5980644
A055_T1,0.024251683,0.8867059,1.0413253
A055_T2,-0.9970529,-0.042991463,-0.08033624
A055_T3,-0.7205307,-0.25486672,-0.5801118
A055_T4,-0.16210052,-0.6356814,-0.74037087
A056_T1,0.57660365,0.23951736,0.14750256
A056_T2,-0.18208218,-0.6990383,-0.64366686
A056_T3,-0.19482121,-0.10641077,-0.043089632
A056_T4,-0.8372754,-0.8359268,-0.6682726
A057_T1,0.12487902,0.5817122,0.5013055
A057_T2,0.60816133,-0.25617236,-0.32993776
A057_T3,-0.8551672,-0.710323,-0.56260604
A057_T4,-2.1506314,-2.3516579,-3.146719
A058_T1,0.636781,0.42671594,0.23183694
A058_T2,-0.8905038,-1.1020932,-0.8829027
A058_T3,-0.8070869,-0.7283066,-0.66631323
A058_T4,-1.5770576,-1.6775707,-1.2124687
A059_T1,0.36479566,0.3064675,0.3197801
A059_T2,-0.032276977,-0.3983874,-0.42653838
A059_T3,-0.09160779,-0.7050928,-1.0557399
A059_T4,-0.2156555,-0.2929069,-0.5475624
A060_T1,1.1719497,1.0779562,0.94570017
A060_T2,0.55717367,0.9804992,0.8369726
A060_T3,0.35518724,0.5578006,0.6579167
A060_T4,0.803442,0.91939235,0.5087747
A061_T1,2.535371,3.1613052,3.6055288
A061_T2,1.7377238,2.3620217,2.4263685
A061_T3,0.6848701,0.17355464,0.52304876
A061_T4,0.15847489,1.2207469,1.4894165
A062_T1,0.8288939,0.79845136,0.8796451
A062_T2,0.19230317,-0.24115026,-0.329146
A062_T3,-1.5353802,-0.6736309,-1.128783
A062_T4,-1.7473658,-1.3002138,-1.6085031
A063_T1,0.29227573,-0.031495854,0.15659678
A063_T2,0.102089636,-0.24686249,-0.31644806
A063_T3,-0.4876853,-1.0046167,-1.3077527
A063_T4,-1.1810656,-1.4149704,-1.7191411
A064_T1,1.1998582,0.8829296,0.95672095
A064_T2,0.22083387,-0.10833447,-0.12203514
A064_T3,0.3143954,-0.31041402,-0.669327
A064_T4,0.31942117,-0.45749873,-0.3740357
A065_T1,-0.24094032,-0.04648099,0.1279714
A065_T2,-0.43244684,-0.8638925,-0.6428114
A065_T3,-1.3589516,-1.6513238,-1.692233
A065_T4,-1.171571,-1.363628,-1.3763603
A066_T1,0.6313859,0.07201026,0.114060014
A066_T2,0.20375974,-0.22459124,-0.20178087
A066_T3,0.13042615,-0.82480985,-0.94836825
A066_T4,-0.8513428,-1.3002876,-0.92199016
A067_T1,0.5054463,-0.08735957,-0.12526183
A067_T2,-1.7999121,-1.189937,-1.5250542
A067_T3,-1.3676322,-1.7396178,-1.5696906
A067_T4,-2.049072,-2.7244117,-2.3028328
A068_T1,1.8079591,1.9567066,2.132791
A068_T2,0.9449378,1.7345271,1.7576509
A068_T3,0.65327585,1.0039537,0.8247188
A068_T4,-0.23552643,0.6047234,0.55122447
A069_T1,0.68216753,0.2178154,0.50612783
A069_T2,0.26281804,-1.8280646,-1.8478291
A069_T3,-1.0423872,-2.3213644,-1.9474056
A069_T4,-1.4370037,-1.8940225,-1.5449425
A070_T1,-0.27273166,0.053047385,-0.23986153
A070_T2,-0.43006447,-0.41549727,-0.34893578
A070_T3,-1.3237823,-1.2382236,-1.355247
A070_T4,-2.1780486,-1.9381272,-2.0957847
A071_T1,1.6882445,1.1834959,1.1159407
A071_T2,0.4204683,0.20754829,0.0372925
A071_T3,-0.24820852,-0.32342947,-0.6543111
A071_T4,-0.41662952,-0.496301,-0.49058992
A072_T1,1.2353214,1.2909482,1.0743331
A072_T2,1.2433513,0.96018904,1.045656
A072_T3,0.5875961,0.27655292,0.36182067
A072_T4,0.09671751,0.228681,-0.050563946
A073_T1,0.027305774,-0.011912393,0.093636215
A073_T2,-0.07061363,-0.5494131,0.06176301
A073_T3,0.6008498,0.41062835,0.34568325
A073_T4,-0.03065943,-0.06325653,-0.05962631
A074_T1,0.035718292,0.22425543,0.32194734
A074_T2,-0.4572094,-0.07357515,-0.26624334
A074_T3,-1.6960803,-1.1605169,-1.2051636
A074_T4,-0.07171073,-0.70534277,-1.0552974
A075_T1,-1.1009943,0.25650752,0.44345883
A075_T2,-0.3218043,-0.076326095,-0.12576333
A075_T3,-2.1068995,-2.479294,-2.710534
A075_T4,-0.9829342,-0.7914052,-1.4003819
A076_T1,-1.0988492,0.011467271,0.26617637
A076_T2,-0.6238554,-0.6693772,-0.65328765
A076_T3,0.04293301,-0.80941916,-0.710793
A076_T4,-1.8978391,-2.078923,-2.0745318
A077_T1,0.82051986,0.86137056,0.92543274
A077_T2,-0.35891193,-0.60999495,-0.8373625
A077_T3,0.36551058,-0.5630085,-1.0357361
A077_T4,-0.061078273,-0.14273162,-0.40939984
A078_T1,-1.558383,-0.6496239,-0.70801705
A078_T2,-0.6561911,-0.51811373,-0.95632
A078_T3,-1.8081024,-0.9356141,-0.9104923
A078_T4,-1.3083563,-1.2324685,-1.4775499
A079_T1,0.45226386,0.45008323,0.32435563
A079_T2,0.145982,0.10192483,0.31475246
A079_T3,-0.6224159,-0.29391527,-0.58404356
A079_T4,-0.9836733,-0.7863824,-0.36795917
A080_T1,0.940382,1.2543246,1.2862076
A080_T2,0.7526924,0.6493603,0.971175
A080_T3,0.5243247,0.55945486,0.5369754
A080_T4,-0.5087663,-0.2504773,-0.42013103
A081_T1,0.29619476,1.7120883,1.2541667
A081_T2,1.1095508,0.8169163,0.69764787
A081_T3,1.0639774,0.8096365,0.6328617
A081_T4,1.198507,0.60688895,0.79071146
A082_T1,0.23269816,0.36016914,0.076008804
A082_T2,0.044686586,-0.14940405,0.018616889
A082_T3,-0.43257886,-0.33883625,-0.15624106
A082_T4,-0.49679568,-0.8717962,-1.1045793
A083_T1,1.0984006,1.0232692,0.90514874
A083_T2,0.47124055,0.2237928,0.2344312
A083_T3,0.4000141,0.7902919,0.51191884
A083_T4,0.17262267,0.6548216,0.2877554
A084_T1,-0.90155774,0.0942295,0.008242999
A084_T2,-1.5261768,-1.2267299,-0.6418965
A084_T3,-0.50816375,-0.9199654,-0.5797418
A084_T4,-0.7438655,-0.98407865,-0.33099934
A085_T1,-0.92760366,0.5882821,1.247983
A085_T2,0.6092644,0.85646826,0.87893224
A085_T3,0.7134137,0.25208306,-0.17860155
A085_T4,-1.1886498,-0.35249794,-0.85656196
A086_T1,0.16175681,1.2994559,1.4547521
A086_T2,0.97896284,1.2216839,1.2226772
A086_T3,-0.7321089,0.3392646,0.29241705
A086_T4,-0.40483287,0.4116722,0.5080041
A087_T1,1.8157933,1.0667453,0.77943045
A087_T2,0.62617207,0.45108894,0.73002046
A087_T3,0.43678692,-0.20934886,-0.061898164
A087_T4,0.38138843,-0.06772582,-0.29703915
A088_T1,0.3478918,0.48574328,0.9918644
A088_T2,1.056411,0.86643255,0.9253829
A088_T3,0.77026975,0.6058962,0.4436366
A088_T4,0.6926134,0.9122748,0.42296904
A089_T1,0.9575038,1.0924897,0.94178873
A089_T2,1.2418342,0.83519655,0.7072022
A089_T3,-0.2342042,0.36873698,0.12064773
A089_T4,0.32505265,-0.17914268,-0.25538114
A090_T1,-0.013879942,-0.5558622,-0.43272832
A090_T2,-0.9888658,-0.4637177,-0.67180204
A090_T3,-1.2214614,-1.6654353,-1.4661319
A090_T4,-1.1462777,-1.1761612,-0.93749
A091_T1,0.37426776,0.971743,0.991915
A091_T2,1.141394,0.11931093,0.20045075
A091_T3,-0.3712356,0.06051966,-0.19224718
A091_T4,-0.34917104,-0.037332606,0.11806473
A092_T1,-0.4483897,-0.017206796,0.53527105
A092_T2,-0.13310853,0.21290813,-0.11720381
A092_T3,-0.52818394,-0.6632526,-0.24517074
A092_T4,-0.18547338,-0.8454786,-0.80437773
A093_T1,1.1497312,1.6392581,1.7811775
A093_T2,1.18509,0.5346178,0.5391968
A093_T3,0.7525534,0.30047214,-0.0019733638
A093_T4,0.6295368,-0.033324357,-0.5696187
A094_T1,-1.0631825,-0.22156443,-0.31676042
A094_T2,-0.3574516,0.09372848,0.021758296
A094_T3,-0.9997954,-0.9236922,-1.07552
A094_T4,-1.2464508,-1.2471673,-1.3333611
A095_T1,0.7287922,1.4465396,1.5601723
A095_T2,-0.3465736,0.12559599,0.14876339
A095_T3,-0.7403181,0.4132524,0.44944912
A095_T4,-1.3897046,-0.2102375,-0.13568814
A096_T1,1.3685833,1.1729198,1.8287513
A096_T2,1.1405336,0.23571551,0.5409529
A096_T3,1.2076589,0.564504,0.5602381
A096_T4,1.3296037,0.68806946,0.6382131
A097_T1,-0.367709,-0.85254127,-0.76539075
A097_T2,0.05828721,-0.8644897,-0.87678504
A097_T3,0.03778617,-0.52847946,-0.5405447
A097_T4,-1.2267796,-1.1819931,-1.253811
A098_T1,0.8014639,0.89016825,0.91446304
A098_T2,-0.561131,0.18406117,0.13303384
A098_T3,0.8764212,0.77039176,1.2394571
A098_T4,-0.43916053,0.48113236,0.6956076
A099_T1,1.583228,0.9500438,1.000926
A099_T2,1.2635034,1.1148117,0.760383
A099_T3,1.1010332,0.9912004,0.7556122
A099_T4,1.498696,1.5077595,1.5287204
