composite_ID,UID,test,TSVR_hours,log_TSVR,paradigm,theta
A010_T1,A010,T1,1.0,0.6931471805599453,IFR,0.85178673
A010_T2,A010,T2,21.9,3.131136910560194,IFR,-0.07710311
A010_T3,A010,T3,80.88,4.405254760793088,IFR,-1.0213599
A010_T4,A010,T4,145.31,4.985727658390071,IFR,-0.2763834
A011_T1,A011,T1,1.0,0.6931471805599453,IFR,1.8347148
A011_T2,A011,T2,24.57,3.2414197893030954,IFR,0.9996799
A011_T3,A011,T3,72.55,4.297965447047447,IFR,0.73993474
A011_T4,A011,T4,148.85,5.009634793762673,IFR,-0.46345344
A012_T1,A012,T1,1.0,0.6931471805599453,IFR,1.1559464
A012_T2,A012,T2,25.6,3.2809112157876537,IFR,-0.08249939
A012_T3,A012,T3,166.33,5.119967910506483,IFR,0.45930567
A012_T4,A012,T4,166.87,5.123189870334323,IFR,0.03425139
A013_T1,A013,T1,1.0,0.6931471805599453,IFR,-0.9275253
A013_T2,A013,T2,24.77,3.2492110246642736,IFR,0.049784623
A013_T3,A013,T3,79.66,4.390242789445222,IFR,0.07870513
A013_T4,A013,T4,147.13,4.998090266593961,IFR,-0.02728733
A014_T1,A014,T1,1.0,0.6931471805599453,IFR,1.024902
A014_T2,A014,T2,25.66,3.2831643147505627,IFR,1.2874391
A014_T3,A014,T3,70.56,4.270536258640519,IFR,0.31873736
A014_T4,A014,T4,148.87,5.009768251656904,IFR,0.116584376
A015_T1,A015,T1,1.0,0.6931471805599453,IFR,1.1892862
A015_T2,A015,T2,23.69,3.206398303357088,IFR,0.6079955
A015_T3,A015,T3,70.59,4.270955399408094,IFR,0.6858828
A015_T4,A015,T4,146.54,4.9940993254561565,IFR,-0.3031196
A016_T1,A016,T1,1.0,0.6931471805599453,IFR,0.82558393
A016_T2,A016,T2,32.85,3.521938999358284,IFR,0.42024547
A016_T3,A016,T3,80.64,4.402319337941644,IFR,0.32464573
A016_T4,A016,T4,150.8,5.02256386496153,IFR,-0.29663873
A017_T1,A017,T1,1.0,0.6931471805599453,IFR,1.4129257
A017_T2,A017,T2,20.61,3.0731561705187946,IFR,1.6894995
A017_T3,A017,T3,61.28,4.131640346965797,IFR,1.6699553
A017_T4,A017,T4,140.49,4.952229043207861,IFR,0.59820884
A018_T1,A018,T1,1.0,0.6931471805599453,IFR,-0.11094046
A018_T2,A018,T2,34.03,3.5562048372093953,IFR,-0.6364302
A018_T3,A018,T3,83.64,4.438406968109989,IFR,-1.5314678
A018_T4,A018,T4,150.87,5.023024891742178,IFR,-1.5636554
A019_T1,A019,T1,1.0,0.6931471805599453,IFR,0.43826646
A019_T2,A019,T2,28.69,3.3908102887756684,IFR,0.27718675
A019_T3,A019,T3,83.68,4.4388794462666645,IFR,0.5548551
A019_T4,A019,T4,154.76,5.048316361063944,IFR,0.07812005
A020_T1,A020,T1,1.0,0.6931471805599453,IFR,0.31842798
A020_T2,A020,T2,26.85,3.326832966373293,IFR,-0.4075857
A020_T3,A020,T3,78.25,4.37260741275739,IFR,-1.1545374
A020_T4,A020,T4,145.78,4.9889348671169165,IFR,-1.9291667
A021_T1,A021,T1,1.0,0.6931471805599453,IFR,1.0394279
A021_T2,A021,T2,30.21,3.440738556282688,IFR,0.7673951
A021_T3,A021,T3,74.19,4.320018243389936,IFR,0.73373723
A021_T4,A021,T4,140.39,4.951522029603749,IFR,0.63682073
A022_T1,A022,T1,1.0,0.6931471805599453,IFR,-0.8483689
A022_T2,A022,T2,24.15,3.224857896545748,IFR,-0.8663616
A022_T3,A022,T3,74.46,4.323602714536165,IFR,-0.32292435
A022_T4,A022,T4,141.71,4.9608145991123,IFR,-1.5583205
A023_T1,A023,T1,1.0,0.6931471805599453,IFR,-0.34812656
A023_T2,A023,T2,25.63,3.282038399825841,IFR,-0.3904379
A023_T3,A023,T3,72.2,4.293195420967266,IFR,0.46886665
A023_T4,A023,T4,145.07,4.984085958862719,IFR,0.39837947
A024_T1,A024,T1,1.0,0.6931471805599453,IFR,0.04210144
A024_T2,A024,T2,29.57,3.420019135902743,IFR,0.19069418
A024_T3,A024,T3,91.47,4.526884267589547,IFR,0.40342727
A024_T4,A024,T4,145.65,4.9880487954234605,IFR,0.19332696
A025_T1,A025,T1,1.0,0.6931471805599453,IFR,0.6799726
A025_T2,A025,T2,23.33,3.1917101567954314,IFR,0.41472393
A025_T3,A025,T3,72.94,4.303253953508486,IFR,-0.34384525
A025_T4,A025,T4,137.74,4.932601677957155,IFR,-2.2323935
A026_T1,A026,T1,1.0,0.6931471805599453,IFR,0.14765209
A026_T2,A026,T2,26.48,3.3134584673541485,IFR,0.14412308
A026_T3,A026,T3,75.46,4.336767728268267,IFR,0.57096505
A026_T4,A026,T4,147.65,5.001594549444107,IFR,0.7213202
A027_T1,A027,T1,1.0,0.6931471805599453,IFR,0.51309985
A027_T2,A027,T2,28.26,3.3762213955919784,IFR,0.36738318
A027_T3,A027,T3,74.58,4.325191697921343,IFR,0.12660407
A027_T4,A027,T4,145.92,4.989888220951467,IFR,-1.2449001
A028_T1,A028,T1,1.0,0.6931471805599453,IFR,1.6594371
A028_T2,A028,T2,22.82,3.170525563927154,IFR,0.8392723
A028_T3,A028,T3,72.26,4.294014757350668,IFR,0.07938852
A028_T4,A028,T4,138.91,4.940999358745194,IFR,-0.33464047
A029_T1,A029,T1,1.0,0.6931471805599453,IFR,1.6530337
A029_T2,A029,T2,28.43,3.382014562245381,IFR,1.2309105
