composite_ID,UID,test,paradigm,TSVR_hours,ma_theta,ma_theta_se
A010_T1,A010,T1,IFR,1.0,-0.5477087107949089,0.0
A010_T2,A010,T2,IFR,21.9,-0.6143156151094532,0.0
A010_T3,A010,T3,IFR,80.88,-0.8022809364717416,0.0
A010_T4,A010,T4,IFR,145.31,-1.0076150438873441,0.0
A011_T1,A011,T1,IFR,1.0,-0.5477087107949089,0.0
A011_T2,A011,T2,IFR,24.57,-0.6228247268089668,0.0
A011_T3,A011,T3,IFR,72.55,-0.7757337827425476,0.0
A011_T4,A011,T4,IFR,148.85,-1.0188967874889463,0.0
A012_T1,A012,T1,IFR,1.0,-0.5477087107949089,0.0
A012_T2,A012,T2,IFR,25.6,-0.6261072680263821,0.0
A012_T3,A012,T3,IFR,166.33,-1.0746043801883833,0.0
A012_T4,A012,T4,IFR,166.87,-1.0763253241276107,0.0
A013_T1,A013,T1,IFR,1.0,-0.5477087107949089,0.0
A013_T2,A013,T2,IFR,24.77,-0.6234621134531252,0.0
A013_T3,A013,T3,IFR,79.66,-0.7983928779423759,0.0
A013_T4,A013,T4,IFR,147.13,-1.0134152623491848,0.0
A014_T1,A014,T1,IFR,1.0,-0.5477087107949089,0.0
A014_T2,A014,T2,IFR,25.66,-0.6262984840196296,0.0
A014_T3,A014,T3,IFR,70.56,-0.7693917856331723,0.0
A014_T4,A014,T4,IFR,148.87,-1.018960526153362,0.0
A015_T1,A015,T1,IFR,1.0,-0.5477087107949089,0.0
A015_T2,A015,T2,IFR,23.69,-0.6200202255746702,0.0
A015_T3,A015,T3,IFR,70.59,-0.7694873936297961,0.0
A015_T4,A015,T4,IFR,146.54,-1.0115349717489177,0.0
A016_T1,A016,T1,IFR,1.0,-0.5477087107949089,0.0
A016_T2,A016,T2,IFR,32.85,-0.6492125338771212,0.0
A016_T3,A016,T3,IFR,80.64,-0.8015160724987516,0.0
A016_T4,A016,T4,IFR,150.8,-1.02511130726949,0.0
A017_T1,A017,T1,IFR,1.0,-0.5477087107949089,0.0
A017_T2,A017,T2,IFR,20.61,-0.6102044712546321,0.0
A017_T3,A017,T3,IFR,61.28,-0.7398170453442262,0.0
A017_T4,A017,T4,IFR,140.49,-0.9922540257631286,0.0
A018_T1,A018,T1,IFR,1.0,-0.5477087107949089,0.0
A018_T2,A018,T2,IFR,34.03,-0.6529731150776553,0.0
A018_T3,A018,T3,IFR,83.64,-0.8110768721611264,0.0
A018_T4,A018,T4,IFR,150.87,-1.0253343925949454,0.0
A019_T1,A019,T1,IFR,1.0,-0.5477087107949089,0.0
A019_T2,A019,T2,IFR,28.69,-0.6359548916786282,0.0
A019_T3,A019,T3,IFR,83.68,-0.811204349489958,0.0
A019_T4,A019,T4,IFR,154.76,-1.0377315628238246,0.0
A020_T1,A020,T1,IFR,1.0,-0.5477087107949089,0.0
A020_T2,A020,T2,IFR,26.85,-0.6300909345523716,0.0
A020_T3,A020,T3,IFR,78.25,-0.7938993021010596,0.0
A020_T4,A020,T4,IFR,145.78,-1.009112902501116,0.0
A021_T1,A021,T1,IFR,1.0,-0.5477087107949089,0.0
A021_T2,A021,T2,IFR,30.21,-0.6407990301742315,0.0
A021_T3,A021,T3,IFR,74.19,-0.7809603532246459,0.0
A021_T4,A021,T4,IFR,140.39,-0.9919353324410495,0.0
A022_T1,A022,T1,IFR,1.0,-0.5477087107949089,0.0
A022_T2,A022,T2,IFR,24.15,-0.6214862148562343,0.0
A022_T3,A022,T3,IFR,74.46,-0.7818208251942595,0.0
A022_T4,A022,T4,IFR,141.71,-0.9961420842924945,0.0
A023_T1,A023,T1,IFR,1.0,-0.5477087107949089,0.0
A023_T2,A023,T2,IFR,25.63,-0.6262028760230058,0.0
A023_T3,A023,T3,IFR,72.2,-0.7746183561152705,0.0
A023_T4,A023,T4,IFR,145.07,-1.006850179914354,0.0
A024_T1,A024,T1,IFR,1.0,-0.5477087107949089,0.0
A024_T2,A024,T2,IFR,29.57,-0.6387593929129248,0.0
A024_T3,A024,T3,IFR,91.47,-0.8360305592799246,0.0
A024_T4,A024,T4,IFR,145.65,-1.0086986011824133,0.0
A025_T1,A025,T1,IFR,1.0,-0.5477087107949089,0.0
A025_T2,A025,T2,IFR,23.33,-0.6188729296151853,0.0
A025_T3,A025,T3,IFR,72.94,-0.7769766866986563,0.0
A025_T4,A025,T4,IFR,137.74,-0.9834899594059519,0.0
A026_T1,A026,T1,IFR,1.0,-0.5477087107949089,0.0
A026_T2,A026,T2,IFR,26.48,-0.6289117692606787,0.0
A026_T3,A026,T3,IFR,75.46,-0.7850077584150511,0.0
A026_T4,A026,T4,IFR,147.65,-1.0150724676239966,0.0
A027_T1,A027,T1,IFR,1.0,-0.5477087107949089,0.0
A027_T2,A027,T2,IFR,28.26,-0.6345845103936878,0.0
A027_T3,A027,T3,IFR,74.58,-0.7822032571807546,0.0
A027_T4,A027,T4,IFR,145.92,-1.009559073152027,0.0
A028_T1,A028,T1,IFR,1.0,-0.5477087107949089,0.0
A028_T2,A028,T2,IFR,22.82,-0.6172475936725815,0.0
A028_T3,A028,T3,IFR,72.26,-0.774809572108518,0.0
A028_T4,A028,T4,IFR,138.91,-0.987218671274278,0.0
A029_T1,A029,T1,IFR,1.0,-0.5477087107949089,0.0
A029_T2,A029,T2,IFR,28.43,-0.6351262890412224,0.0
A029_T3,A029,T3,IFR,93.26,-0.8417351697451416,0.0
A029_T4,A029,T4,IFR,143.14,-1.0006993987982262,0.0
A030_T1,A030,T1,IFR,1.0,-0.5477087107949089,0.0
A030_T2,A030,T2,IFR,32.95,-0.6495312271992004,0.0
A030_T3,A030,T3,IFR,71.93,-0.7737578841456568,0.0
A030_T4,A030,T4,IFR,150.46,-1.0240277499744208,0.0
A031_T1,A031,T1,IFR,1.0,-0.5477087107949089,0.0
A031_T2,A031,T2,IFR,32.41,-0.6478102832599729,0.0
A031_T3,A031,T3,IFR,71.56,-0.7725787188539639,0.0
A031_T4,A031,T4,IFR,143.85,-1.0029621213849884,0.0
A032_T1,A032,T1,IFR,1.0,-0.5477087107949089,0.0
A032_T2,A032,T2,IFR,57.18,-0.7267506191389808,0.0
A032_T3,A032,T3,IFR,80.16,-0.7999863445527717,0.0
A032_T4,A032,T4,IFR,144.51,-1.0050654973107107,0.0
A033_T1,A033,T1,IFR,1.0,-0.5477087107949089,0.0
A033_T2,A033,T2,IFR,29.16,-0.6374527502924002,0.0
A033_T3,A033,T3,IFR,72.6,-0.7758931294035871,0.0
A033_T4,A033,T4,IFR,168.33,-1.0809782466299667,0.0
A034_T1,A034,T1,IFR,1.0,-0.5477087107949089,0.0
A034_T2,A034,T2,IFR,26.08,-0.6276369959723621,0.0
A034_T3,A034,T3,IFR,74.28,-0.7812471772145171,0.0
A034_T4,A034,T4,IFR,145.38,-1.0078381292127996,0.0
A035_T1,A035,T1,IFR,1.0,-0.5477087107949089,0.0
A035_T2,A035,T2,IFR,44.76,-0.6871689085367492,0.0
A035_T3,A035,T3,IFR,79.98,-0.7994126965730292,0.0
A035_T4,A035,T4,IFR,152.47,-1.030433485748212,0.0
A036_T1,A036,T1,IFR,1.0,-0.5477087107949089,0.0
A036_T2,A036,T2,IFR,21.63,-0.6134551431398395,0.0
A036_T3,A036,T3,IFR,71.47,-0.7722918948640927,0.0
A036_T4,A036,T4,IFR,143.85,-1.0029621213849884,0.0
A037_T1,A037,T1,IFR,1.0,-0.5477087107949089,0.0
A037_T2,A037,T2,IFR,23.7,-0.6200520949068782,0.0
