days,difference,se,ci_lower,ci_upper,sig
0.000000,-0.074315,0.031493,-0.136041,-0.012590,1
0.051558,-0.078233,0.024643,-0.126534,-0.029931,1
0.103116,-0.080014,0.023705,-0.126476,-0.033551,1
0.154673,-0.081485,0.023060,-0.126682,-0.036288,1
0.206231,-0.082777,0.022499,-0.126876,-0.038679,1
0.257789,-0.083943,0.021979,-0.127023,-0.040864,1
0.309347,-0.085012,0.021490,-0.127132,-0.042892,1
0.360905,-0.086002,0.021028,-0.127217,-0.044787,1
0.412462,-0.086926,0.020594,-0.127291,-0.046561,1
0.464020,-0.087793,0.020189,-0.127364,-0.048223,1
0.515578,-0.088612,0.019812,-0.127443,-0.049781,1
0.567136,-0.089388,0.019463,-0.127535,-0.051240,1
0.618693,-0.090125,0.019142,-0.127643,-0.052607,1
0.670251,-0.090829,0.018848,-0.127770,-0.053887,1
0.721809,-0.091502,0.018580,-0.127918,-0.055086,1
0.773367,-0.092147,0.018336,-0.128086,-0.056208,1
0.824925,-0.092768,0.018117,-0.128276,-0.057260,1
0.876482,-0.093366,0.017919,-0.128487,-0.058244,1
0.928040,-0.093942,0.017743,-0.128719,-0.059166,1
0.979598,-0.094500,0.017587,-0.128970,-0.060030,1
1.031156,-0.095040,0.017449,-0.129239,-0.060841,1
1.082714,-0.095564,0.017328,-0.129527,-0.061601,1
1.134271,-0.096072,0.017223,-0.129830,-0.062315,1
1.185829,-0.096567,0.017133,-0.130149,-0.062986,1
1.237387,-0.097049,0.017057,-0.130481,-0.063617,1
1.288945,-0.097518,0.016994,-0.130826,-0.064211,1
1.340503,-0.097977,0.016942,-0.131182,-0.064771,1
1.392060,-0.098424,0.016900,-0.131549,-0.065299,1
1.443618,-0.098862,0.016869,-0.131925,-0.065799,1
1.495176,-0.099290,0.016846,-0.132308,-0.066272,1
1.546734,-0.099710,0.016831,-0.132699,-0.066721,1
1.598291,-0.100122,0.016824,-0.133096,-0.067147,1
1.649849,-0.100525,0.016823,-0.133498,-0.067552,1
1.701407,-0.100922,0.016828,-0.133905,-0.067938,1
1.752965,-0.101311,0.016839,-0.134316,-0.068307,1
1.804523,-0.101694,0.016855,-0.134729,-0.068659,1
1.856080,-0.102071,0.016875,-0.135145,-0.068997,1
1.907638,-0.102442,0.016899,-0.135563,-0.069321,1
1.959196,-0.102807,0.016926,-0.135982,-0.069632,1
2.010754,-0.103167,0.016957,-0.136403,-0.069932,1
2.062312,-0.103522,0.016990,-0.136823,-0.070221,1
2.113869,-0.103872,0.017026,-0.137244,-0.070500,1
2.165427,-0.104218,0.017065,-0.137665,-0.070771,1
2.216985,-0.104559,0.017105,-0.138085,-0.071033,1
2.268543,-0.104896,0.017147,-0.138504,-0.071288,1
2.320101,-0.105229,0.017191,-0.138923,-0.071535,1
2.371658,-0.105558,0.017236,-0.139340,-0.071776,1
2.423216,-0.105884,0.017282,-0.139756,-0.072011,1
2.474774,-0.106206,0.017329,-0.140171,-0.072240,1
2.526332,-0.106524,0.017377,-0.140584,-0.072464,1
2.577889,-0.106839,0.017426,-0.140995,-0.072684,1
2.629447,-0.107152,0.017476,-0.141405,-0.072898,1
2.681005,-0.107461,0.017526,-0.141813,-0.073109,1
2.732563,-0.107767,0.017577,-0.142219,-0.073315,1
2.784121,-0.108070,0.017629,-0.142623,-0.073518,1
2.835678,-0.108371,0.017680,-0.143025,-0.073717,1
2.887236,-0.108669,0.017733,-0.143425,-0.073913,1
2.938794,-0.108965,0.017785,-0.143823,-0.074106,1
2.990352,-0.109258,0.017838,-0.144220,-0.074295,1
3.041910,-0.109548,0.017891,-0.144615,-0.074482,1
3.093467,-0.109836,0.017944,-0.145007,-0.074666,1
3.145025,-0.110123,0.017998,-0.145399,-0.074846,1
3.196583,-0.110406,0.018052,-0.145788,-0.075025,1
3.248141,-0.110688,0.018106,-0.146176,-0.075200,1
3.299698,-0.110968,0.018160,-0.146562,-0.075373,1
3.351256,-0.111245,0.018215,-0.146946,-0.075544,1
3.402814,-0.111521,0.018270,-0.147329,-0.075712,1
3.454372,-0.111794,0.018325,-0.147711,-0.075877,1
3.505930,-0.112066,0.018380,-0.148091,-0.076040,1
3.557487,-0.112335,0.018436,-0.148470,-0.076201,1
3.609045,-0.112603,0.018492,-0.148848,-0.076359,1
3.660603,-0.112869,0.018549,-0.149225,-0.076514,1
3.712161,-0.113134,0.018605,-0.149600,-0.076667,1
