days,difference,se,ci_lower,ci_upper,sig
0.000000,-0.015671,0.017667,-0.050298,0.018956,0
0.051558,-0.015332,0.017248,-0.049138,0.018474,0
0.103116,-0.015007,0.016877,-0.048086,0.018071,0
0.154673,-0.014694,0.016549,-0.047129,0.017741,0
0.206231,-0.014393,0.016259,-0.046262,0.017475,0
0.257789,-0.014103,0.016006,-0.045474,0.017268,0
0.309347,-0.013824,0.015785,-0.044762,0.017114,0
0.360905,-0.013555,0.015593,-0.044118,0.017008,0
0.412462,-0.013296,0.015430,-0.043538,0.016947,0
0.464020,-0.013046,0.015292,-0.043018,0.016926,0
0.515578,-0.012805,0.015178,-0.042554,0.016943,0
0.567136,-0.012574,0.015085,-0.042141,0.016993,0
0.618693,-0.012352,0.015013,-0.041778,0.017075,0
0.670251,-0.012138,0.014960,-0.041460,0.017184,0
0.721809,-0.011933,0.014925,-0.041185,0.017319,0
0.773367,-0.011737,0.014905,-0.040951,0.017477,0
0.824925,-0.011549,0.014901,-0.040754,0.017656,0
0.876482,-0.011370,0.014910,-0.040593,0.017853,0
0.928040,-0.011199,0.014932,-0.040466,0.018067,0
0.979598,-0.011037,0.014965,-0.040369,0.018294,0
1.031156,-0.010884,0.015009,-0.040301,0.018533,0
1.082714,-0.010739,0.015062,-0.040260,0.018782,0
1.134271,-0.010603,0.015123,-0.040244,0.019038,0
1.185829,-0.010475,0.015192,-0.040251,0.019300,0
1.237387,-0.010357,0.015267,-0.040279,0.019566,0
1.288945,-0.010246,0.015347,-0.040327,0.019835,0
1.340503,-0.010145,0.015433,-0.040393,0.020103,0
1.392060,-0.010053,0.015522,-0.040475,0.020370,0
1.443618,-0.009969,0.015614,-0.040572,0.020634,0
1.495176,-0.009894,0.015708,-0.040683,0.020894,0
1.546734,-0.009829,0.015804,-0.040805,0.021148,0
1.598291,-0.009772,0.015901,-0.040937,0.021394,0
1.649849,-0.009724,0.015997,-0.041079,0.021631,0
1.701407,-0.009686,0.016094,-0.041230,0.021858,0
1.752965,-0.009657,0.016189,-0.041387,0.022073,0
1.804523,-0.009637,0.016282,-0.041550,0.022276,0
1.856080,-0.009626,0.016373,-0.041717,0.022465,0
1.907638,-0.009625,0.016461,-0.041889,0.022639,0
1.959196,-0.009633,0.016546,-0.042064,0.022798,0
2.010754,-0.009650,0.016628,-0.042241,0.022940,0
2.062312,-0.009677,0.016705,-0.042419,0.023065,0
2.113869,-0.009713,0.016778,-0.042598,0.023172,0
2.165427,-0.009759,0.016846,-0.042778,0.023259,0
2.216985,-0.009814,0.016909,-0.042956,0.023328,0
2.268543,-0.009879,0.016967,-0.043134,0.023376,0
2.320101,-0.009953,0.017019,-0.043310,0.023404,0
2.371658,-0.010037,0.017065,-0.043484,0.023410,0
2.423216,-0.010130,0.017105,-0.043656,0.023396,0
2.474774,-0.010233,0.017139,-0.043825,0.023360,0
2.526332,-0.010345,0.017167,-0.043991,0.023302,0
2.577889,-0.010466,0.017188,-0.044155,0.023222,0
2.629447,-0.010597,0.017203,-0.044314,0.023120,0
2.681005,-0.010737,0.017211,-0.044471,0.022996,0
2.732563,-0.010887,0.017213,-0.044623,0.022850,0
2.784121,-0.011045,0.017208,-0.044773,0.022682,0
2.835678,-0.011213,0.017197,-0.044919,0.022492,0
2.887236,-0.011390,0.017179,-0.045061,0.022281,0
2.938794,-0.011576,0.017155,-0.045200,0.022048,0
2.990352,-0.011771,0.017125,-0.045336,0.021794,0
3.041910,-0.011975,0.017089,-0.045470,0.021520,0
3.093467,-0.012188,0.017047,-0.045601,0.021225,0
3.145025,-0.012409,0.017000,-0.045729,0.020911,0
3.196583,-0.012639,0.016948,-0.045856,0.020578,0
3.248141,-0.012878,0.016890,-0.045982,0.020227,0
3.299698,-0.013124,0.016828,-0.046106,0.019858,0
3.351256,-0.013380,0.016761,-0.046231,0.019472,0
3.402814,-0.013643,0.016690,-0.046355,0.019070,0
3.454372,-0.013914,0.016616,-0.046481,0.018652,0
3.505930,-0.014193,0.016538,-0.046607,0.018221,0
3.557487,-0.014480,0.016457,-0.046736,0.017777,0
3.609045,-0.014774,0.016375,-0.046869,0.017320,0
3.660603,-0.015076,0.016290,-0.047004,0.016852,0
3.712161,-0.015385,0.016204,-0.047145,0.016375,0
3.763719,-0.015701,0.016117,-0.047291,0.015888,0
3.815276,-0.016024,0.016030,-0.047443,0.015395,0
3.866834,-0.016354,0.015943,-0.047603,0.014895,0
3.918392,-0.016690,0.015858,-0.047771,0.014390,0
3.969950,-0.017033,0.015773,-0.047948,0.013883,0
4.021508,-0.017382,0.015691,-0.048136,0.013373,0
4.073065,-0.017736,0.015612,-0.048335,0.012862,0
4.124623,-0.018097,0.015535,-0.048546,0.012352,0
4.176181,-0.018463,0.015463,-0.048771,0.011845,0
4.227739,-0.018835,0.015396,-0.049011,0.011341,0
4.279296,-0.019211,0.015334,-0.049265,0.010843,0
4.330854,-0.019593,0.015277,-0.049537,0.010351,0
4.382412,-0.019979,0.015227,-0.049825,0.009866,0
4.433970,-0.020370,0.015185,-0.050132,0.009392,0
4.485528,-0.020765,0.015149,-0.050458,0.008927,0
4.537085,-0.021164,0.015122,-0.050804,0.008475,0
4.588643,-0.021567,0.015103,-0.051170,0.008035,0
4.640201,-0.021974,0.015094,-0.051558,0.007610,0
4.691759,-0.022384,0.015094,-0.051968,0.007200,0
4.743317,-0.022797,0.015103,-0.052400,0.006805,0
4.794874,-0.023213,0.015123,-0.052854,0.006428,0
4.846432,-0.023632,0.015153,-0.053332,0.006068,0
4.897990,-0.024053,0.015194,-0.053832,0.005727,0
4.949548,-0.024476,0.015245,-0.054356,0.005404,0
5.001106,-0.024901,0.015307,-0.054902,0.005100,0
5.052663,-0.025328,0.015379,-0.055471,0.004815,0
5.104221,-0.025757,0.015462,-0.056063,0.004550,0
5.155779,-0.026186,0.015556,-0.056676,0.004304,0
5.207337,-0.026617,0.015660,-0.057311,0.004077,0
5.258894,-0.027048,0.015775,-0.057967,0.003870,0
5.310452,-0.027480,0.015899,-0.058642,0.003682,0
5.362010,-0.027912,0.016033,-0.059337,0.003512,0
5.413568,-0.028344,0.016176,-0.060049,0.003361,0
5.465126,-0.028776,0.016328,-0.060779,0.003227,0
5.516683,-0.029208,0.016489,-0.061526,0.003110,0
5.568241,-0.029639,0.016657,-0.062287,0.003010,0
5.619799,-0.030069,0.016834,-0.063062,0.002925,0
5.671357,-0.030497,0.017017,-0.063851,0.002856,0
5.722915,-0.030925,0.017207,-0.064650,0.002801,0
5.774472,-0.031351,0.017403,-0.065461,0.002759,0
5.826030,-0.031775,0.017605,-0.066280,0.002730,0
5.877588,-0.032197,0.017812,-0.067108,0.002714,0
5.929146,-0.032617,0.018023,-0.067943,0.002708,0
5.980704,-0.033035,0.018239,-0.068783,0.002714,0
6.032261,-0.033450,0.018458,-0.069628,0.002729,0
6.083819,-0.033862,0.018681,-0.070477,0.002753,0
6.135377,-0.034271,0.018907,-0.071328,0.002786,0
6.186935,-0.034677,0.019134,-0.072181,0.002826,0
6.238492,-0.035080,0.019364,-0.073034,0.002874,0
6.290050,-0.035479,0.019595,-0.073886,0.002928,0
