UID,TEST,Paradigm,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A010,T1,IFR,1.0,2.2559497,-0.10090725,2.383939890879053,1.1161362469022966,-0.21326570844702664
A010,T2,IFR,21.9,0.063646406,-0.59867835,0.0196916496154214,0.2872689791255585,0.1899062513889696
A010,T3,IFR,80.88,-0.63363457,-0.85798013,-0.7322779002577214,-0.1445093180038746,0.20714497626624623
A010,T4,IFR,145.31,0.530237,-0.5768663,0.5228774972459789,0.3235894772181749,0.011628159061645521
A011,T1,IFR,1.0,1.0253187,0.013049793,1.0567890421085342,1.3058926688306212,0.4454310565981066
A011,T2,IFR,24.57,0.29738232,-0.3668552,0.2717597485445505,0.6732910301202767,0.3433970576578752
A011,T3,IFR,72.55,0.05539917,-0.47526985,0.0107975731153083,0.4927635653227596,0.32912551119610256
A011,T4,IFR,148.85,-0.5692055,-0.99886817,-0.6627955818893436,-0.3791100908836578,0.024359985944322426
A012,T1,IFR,1.0,1.1145911,-0.22546089,1.1530631823112278,0.9087348222746968,0.14457540612535885
A012,T2,IFR,25.6,-0.40524608,-0.63915443,-0.4859766301345755,0.2198699319733379,0.3486675929572345
A012,T3,IFR,166.33,0.7902062,-0.40780258,0.8032363899068925,0.6051071942503038,0.08476566885727499
A012,T4,IFR,166.87,-0.7995365,-0.6528868,-0.9111917153754676,0.1970033734246412,0.5044865383665824
A013,T1,IFR,1.0,-0.5856965,-0.6972882,-0.6805799905764923,0.1230680503344455,0.3629896666030544
A013,T2,IFR,24.77,-0.4070654,-0.6062502,-0.4879386415597592,0.2746606565019364,0.3856228655724331
A013,T3,IFR,79.66,0.7922385,-0.7212178,0.8054280856060552,0.0832214980316095,-0.26060531021301536
A013,T4,IFR,147.13,-1.0692434,-1.0883394,-1.2020520473955985,-0.528093778274758,0.14276894197478446
A014,T1,IFR,1.0,0.18263546,-0.3735988,0.1480131562331656,0.6620618741749451,0.385724098905386
A014,T2,IFR,25.66,1.2276359,-0.17555101,1.274974220038291,0.991842632010266,0.15043233129437283
A014,T3,IFR,70.56,0.35754204,-0.57598865,0.336637866729284,0.3250509026757081,0.0874508232277488
A014,T4,IFR,148.87,-0.58439595,-0.8750866,-0.6791774368976329,-0.1729942843874288,0.1669989767071875
A015,T1,IFR,1.0,1.5247837,-0.068641454,1.5954276743883704,1.1698638782837922,0.1391373624981802
A015,T2,IFR,23.69,1.7857077,-0.21705914,1.8768162531456083,0.9227250590864426,-0.1370983878517401
A015,T3,IFR,70.59,1.7846233,-0.22687851,1.875646802367588,0.9063742617356344,-0.1474212846735654
A015,T4,IFR,146.54,-0.09274579,-0.5862706,-0.148966571786839,0.3079298367803256,0.27133546315708057
A016,T1,IFR,1.0,1.8982425,-0.3271766,1.9981772909678484,0.7393621474896983,-0.3069142908092225
A016,T2,IFR,32.85,1.1705568,-0.56220376,1.213418338533553,0.3480049152949679,-0.24981462043147595
A016,T3,IFR,80.64,-0.06720384,-0.860986,-0.1214213363574096,-0.1495145649018807,-0.04168936177235635
A016,T4,IFR,150.8,-0.7857009,-1.2751333,-0.8962709728594337,-0.8391350370588885,-0.18545241688512631
A017,T1,IFR,1.0,-0.07584843,0.053590354,-0.1307439318029763,1.373399087001958,0.9673135282036335
A017,T2,IFR,20.61,1.0087,0.19406986,1.0388669177589422,1.607319586438036,0.651602789340921
A017,T3,IFR,61.28,0.22324428,0.35307437,0.1918069741449273,1.872087134750662,1.1668435336203529
A017,T4,IFR,140.49,1.0260882,-0.029758565,1.0576188949061065,1.2346100115339875,0.3980447361116042
A018,T1,IFR,1.0,0.8998065,-0.29802382,0.9214327714140246,0.7879061170104203,0.1579205018191543
A018,T2,IFR,34.03,0.46910602,-0.45788598,0.4569519419876005,0.5217104463897521,0.1689036785320608
A018,T3,IFR,83.64,-0.8570981,-0.9335735,-0.9732679399274162,-0.2703841830853066,0.22092121808449097
A018,T4,IFR,150.87,0.042763263,-0.9365713,-0.0028293830559853,-0.2753759921624932,-0.17243625581803906
A019,T1,IFR,1.0,-0.457872,-2.0756469,-0.54273006345076,-2.172116241572611,-1.2074399996454024
A019,T2,IFR,28.69,-0.7839532,-2.373974,-0.8943861986757863,-2.668877841996496,-1.3939996949877047
A019,T3,IFR,83.68,-0.731604,-2.2976873,-0.8379311888373719,-2.541848473283239,-1.3328410226692877
A019,T4,IFR,154.76,-0.75950915,-2.2863612,-0.8680249728453878,-2.5229887332108114,-1.308295919594807
A020,T1,IFR,1.0,0.072841056,-0.378014,0.02960744691912,0.6547098708933407,0.4284636602138741
A020,T2,IFR,26.85,-0.20886408,-0.5136545,-0.274192156979542,0.4288470784675235,0.40148511574886286
A020,T3,IFR,78.25,-0.7968719,-1.018064,-0.9083181276374422,-0.4110741706882241,0.10194734577370057
A020,T4,IFR,145.78,-2.0479772,-1.5175667,-2.2575491000380192,-1.2428248251478815,0.09523540592170854
A021,T1,IFR,1.0,1.2711351,-0.3466501,1.3218851138812373,0.7069357034091754,-0.05648664566676914
A021,T2,IFR,30.21,0.36641207,-0.40947,0.3462035837014064,0.6023306773741005,0.26663475059712094
