UID,n_ratings,uses_full_scale,uses_extremes_only,rating_mean,rating_sd,n_unique_values
A010,288,False,False,0.5784722222222223,0.3374049649004978,5
A011,288,False,False,0.6777777777777778,0.31145813978688397,5
A012,288,False,False,0.6368055555555555,0.311636925447658,5
A013,288,False,False,0.5354166666666667,0.3199324472968213,5
A014,288,False,False,0.7201388888888889,0.2741349680538339,5
A015,288,False,False,0.6319444444444444,0.37205375540851654,5
A016,288,False,False,0.5986111111111111,0.3059561767619105,5
A017,288,False,False,0.745138888888889,0.36880623132673895,5
A018,288,False,False,0.5006944444444446,0.367044602152294,5
A019,288,False,False,0.5187499999999999,0.15067844257077903,4
A020,288,False,False,0.5166666666666667,0.33952581312438934,5
A021,288,False,False,0.6694444444444445,0.3053408336455477,5
A022,288,False,False,0.41597222222222224,0.2984132096151903,5
A023,288,False,False,0.6541666666666667,0.3020474116573239,5
A024,288,False,False,0.5708333333333333,0.31969495008697135,5
A025,288,False,False,0.5388888888888889,0.33356473449506835,5
A026,288,False,False,0.625,0.33901409344679984,5
A027,288,False,False,0.5645833333333333,0.32701697840733995,5
A028,288,False,False,0.6145833333333334,0.3252069319850226,5
A029,288,False,False,0.7326388888888888,0.2834141701132596,5
A030,288,False,False,0.6006944444444444,0.3251060783672892,5
A031,288,False,False,0.6138888888888889,0.3481321410819762,5
A032,288,False,False,0.5590277777777778,0.3657019875155719,5
A033,288,False,False,0.5868055555555556,0.3495525965386519,5
A034,288,False,False,0.7798611111111111,0.2592938758305138,5
A035,288,False,False,0.5958333333333334,0.29718003335053017,5
A036,288,False,False,0.36944444444444446,0.21898686470558057,5
A037,288,False,False,0.5756944444444445,0.34333869894225155,5
A038,288,False,False,0.7388888888888889,0.29133579115837543,5
A039,288,False,False,0.7791666666666666,0.2699987139887069,5
A040,288,False,False,0.4680555555555556,0.35680931294245827,5
A041,288,False,False,0.598611111111111,0.371555684310185,5
A042,288,False,False,0.4277777777777778,0.2688567473902858,5
A043,288,False,False,0.8145833333333333,0.23554568735880801,5
A044,288,False,False,0.39791666666666664,0.2637783028521405,5
A045,288,False,False,0.4861111111111111,0.3317904105654801,5
A046,288,False,False,0.5388888888888889,0.25579698740491863,5
A047,288,False,False,0.5402777777777779,0.2604268516526827,5
A048,288,False,False,0.6173611111111111,0.32507047550217455,5
A049,288,False,False,0.5993055555555556,0.35842954673008726,5
A050,288,False,False,0.4340277777777778,0.3501315614729786,4
A051,288,False,False,0.6805555555555556,0.31342148090288585,5
A052,288,False,False,0.588888888888889,0.3208303270662425,5
A053,288,False,False,0.5125,0.24349167222811635,5
A054,288,False,False,0.7291666666666666,0.3126666222459101,5
A055,288,False,False,0.5083333333333333,0.31699544336017055,5
A056,288,False,False,0.4979166666666667,0.2967342502606967,5
A057,288,False,False,0.47430555555555565,0.3331763229753249,5
A058,288,False,False,0.47361111111111115,0.35019560230897134,5
A059,288,False,False,0.5291666666666667,0.34397088862609027,5
A060,288,False,False,0.711111111111111,0.3111607103320099,5
A061,288,False,False,0.8069444444444444,0.2971281003619337,5
A062,288,False,False,0.49166666666666675,0.3281894777919203,5
A063,288,False,False,0.43194444444444446,0.22005453168153627,5
A064,288,False,False,0.5923611111111112,0.33511603734774364,5
A065,288,False,False,0.3784722222222222,0.24314581657368473,5
A066,288,False,False,0.49374999999999997,0.3108498096616221,5
A067,288,False,False,0.37222222222222223,0.275994274408316,5
A068,288,False,False,0.7430555555555556,0.29548753916615356,5
A069,288,False,False,0.4013888888888889,0.27079771845602324,5
A070,288,False,False,0.43194444444444446,0.33843035919475567,5
A071,288,False,False,0.58125,0.31720759720130004,5
A072,288,False,False,0.6854166666666667,0.312354132623,5
A073,288,False,False,0.5618055555555556,0.27751289453969963,5
A074,288,False,False,0.5034722222222222,0.3628424042742333,5
A075,288,False,False,0.4388888888888889,0.3276836022901917,5
A076,288,False,False,0.3986111111111111,0.26770270386068384,5
A077,288,False,False,0.5541666666666667,0.34858344290379983,5
A078,288,False,False,0.38680555555555557,0.2702227804613203,5
A079,288,False,False,0.5347222222222222,0.33319152075971686,5
A080,288,False,False,0.6375,0.2995076979162825,5
A081,288,False,False,0.7083333333333334,0.2553592241007427,5
A082,288,False,False,0.5277777777777778,0.3444892443983888,5
A083,288,False,False,0.6506944444444445,0.31721367837297554,5
A084,288,False,False,0.42847222222222225,0.24527852491392435,5
A085,288,False,False,0.601388888888889,0.3771210590909457,5
A086,288,False,False,0.6395833333333333,0.3086077045016501,5
A087,288,False,False,0.6416666666666667,0.35424018844720473,5
A088,288,False,False,0.6909722222222222,0.32046259845132136,5
A089,288,False,False,0.6423611111111112,0.3283121526821166,5
A090,288,False,False,0.37569444444444444,0.19391669452004448,5
A091,288,False,False,0.6027777777777777,0.3100054758576506,5
A092,288,False,False,0.5034722222222222,0.33456298079327895,5
A093,288,False,False,0.6659722222222222,0.1998830194154003,5
A094,288,False,False,0.4194444444444445,0.26855523376066776,5
A095,288,False,False,0.5694444444444444,0.32601929428626397,5
A096,288,False,False,0.7173611111111111,0.2624219093133314,5
A097,288,False,False,0.3965277777777778,0.20238618009899226,5
A098,288,False,False,0.6375,0.33579817847431315,5
A099,288,False,False,0.7638888888888888,0.26525959798089804,5
A100,288,False,False,0.7506944444444444,0.12774569343566158,5
A101,288,False,False,0.35694444444444445,0.23053463760529017,5
A102,288,False,False,0.5590277777777778,0.3465931802008349,5
A103,288,False,False,0.2625,0.14994211846205485,5
A104,288,False,False,0.5604166666666667,0.36963171423278424,5
A105,288,False,False,0.7083333333333334,0.2980259123707944,5
A106,288,False,False,0.6152777777777778,0.334647294518266,5
A107,288,False,False,0.3326388888888889,0.14256083550887197,5
A108,288,False,False,0.40208333333333335,0.2932028000283156,5
A109,288,False,False,0.6451388888888887,0.1444961846435511,4
