UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A010,T1,Common,1.0,0.48328072,-0.21837638,0.5732687845460683,0.8630463716420728,0.28977758709600443
A010,T2,Common,21.9,0.45677957,-0.6135027,0.5458674051589117,0.2225896843265465,-0.3232777208323653
A010,T3,Common,80.88,-0.6049483,-0.71076155,-0.5519267725197057,0.06494369181681521,0.6168704643365209
A010,T4,Common,145.31,-0.53013176,-0.91344815,-0.4745687560949702,-0.2635891895140139,0.2109795665809563
A010,T1,Congruent,1.0,1.251567,-0.14645109,1.368433835357386,1.0142257159062213,-0.3542081194511646
A010,T2,Congruent,21.9,0.2144668,-0.49018624,0.2937840195191163,0.4457201634137323,0.15193614389461596
A010,T3,Congruent,80.88,-0.6773748,-0.7472929,-0.6303479121851758,0.020489971526756048,0.6508378837119319
A010,T4,Congruent,145.31,-0.6122237,-0.7211194,-0.5628379284664756,0.0637784745447401,0.6266164030112157
A010,T1,Incongruent,1.0,0.70163125,-0.19839172,0.8029621787475403,0.92257391401832,0.11961173527077973
A010,T2,Incongruent,21.9,-0.0013698519,-0.5774162,0.07128661596374312,0.2968039489199721,0.22551733295622894
A010,T3,Incongruent,80.88,-0.6218238,-0.69089967,-0.5744748066436322,0.10944257568851386,0.683917382332146
A010,T4,Incongruent,145.31,-0.21168874,-0.5352292,-0.14761089415213677,0.36645474698347463,0.5140656411356114
A011,T1,Common,1.0,1.6036261,0.06464064,1.7316716765725706,1.3217861060214786,-0.409885570551092
A011,T2,Common,24.57,0.6236132,-0.46051827,0.7183682811649157,0.4705607667101599,-0.2478075144547558
A011,T3,Common,72.55,0.42162582,-0.64517677,0.50951950174222,0.17124947002242194,-0.3382700317197981
A011,T4,Common,148.85,-0.46462286,-0.70183563,-0.40683455504575905,0.07941163501645666,0.4862461900622157
A011,T1,Congruent,1.0,1.7089931,0.092816524,1.842421666161601,1.4099518064460732,-0.43246985971552787
A011,T2,Congruent,24.57,0.63395435,-0.30347845,0.728459683793356,0.7545172570732013,0.02605757327984526
A011,T3,Congruent,72.55,0.2110465,-0.53213114,0.2902398829302779,0.3763472507257451,0.08610736779546718
A011,T4,Congruent,148.85,-0.48312432,-1.2624987,-0.4290643307544756,-0.8316118806589597,-0.40254754990448416
A011,T1,Incongruent,1.0,2.428998,0.4180711,2.600785874221706,1.940354922136395,-0.6604309520853109
A011,T2,Incongruent,24.57,0.7614453,-0.3730263,0.8652159626716991,0.6342519696637902,-0.23096399300790893
A011,T3,Incongruent,72.55,0.66335136,-0.39844763,0.763120903985163,0.5922813170377287,-0.17083958694743429
A011,T4,Incongruent,148.85,-0.37408584,-1.0058494,-0.3166319514674334,-0.4105398844149447,-0.09390793294751132
A012,T1,Common,1.0,1.0912529,-0.11299584,1.2018934427596426,1.0338567382000925,-0.1680367045595501
A012,T2,Common,25.6,-0.023758017,-0.50322676,0.04900622248662106,0.40133496057897566,0.3523287380923546
A012,T3,Common,166.33,0.5149039,-0.21468535,0.6059661864553568,0.8690291288691343,0.2630629424137775
A012,T4,Common,166.87,-0.020444898,-0.8530296,0.0524318863039949,-0.16565730690642785,-0.21808919321042275
A012,T1,Congruent,1.0,1.4330585,-0.07631704,1.5564964806555077,1.1302208268042073,-0.4262756538513004
A012,T2,Congruent,25.6,0.14790216,-0.5825451,0.22480931667233187,0.2929673107250373,0.06815799405270542
A012,T3,Congruent,166.33,-0.062235888,-0.66364026,0.007062936347833374,0.15884355660717428,0.15178062025934091
A012,T4,Congruent,166.87,0.24694568,-0.8607189,0.32743884131033113,-0.16710594584454863,-0.49454478715487976
A012,T1,Incongruent,1.0,0.9370232,-0.26319304,1.0479554469309587,0.8155868409017581,-0.2323686060292005
A012,T2,Incongruent,25.6,0.18245545,-0.6835167,0.2626099024537211,0.1216318698449814,-0.14097803260873973
A012,T3,Incongruent,166.33,0.6184764,-0.43119046,0.7164155552678421,0.5382228573141743,-0.17819269795366777
A012,T4,Incongruent,166.87,-0.48681083,-0.8213732,-0.4339548408272572,-0.10596941119517843,0.3279854296320788
A013,T1,Common,1.0,-0.3941561,-0.59523505,-0.33397407823838604,0.25219955340345196,0.586173631641838
A013,T2,Common,24.77,-0.07283578,-0.71096057,-0.0017386849395078948,0.06462110209434477,0.06635978703385266
A013,T3,Common,79.66,-0.29521585,-0.90336365,-0.23167288274648773,-0.2472433144449133,-0.015570431698425563
A013,T4,Common,147.13,-0.46105915,-1.0204393,-0.40314978779091143,-0.43701017929034314,-0.03386039149943171
A013,T1,Congruent,1.0,0.13738623,-0.27973455,0.21391264319963546,0.7937874306001926,0.5798747874005572
A013,T2,Congruent,24.77,-0.33113876,-0.8179554,-0.2715759279327653,-0.09637914588239017,0.17519678205037514
A013,T3,Congruent,79.66,0.7662716,-0.2663049,0.8655676588421761,0.8159988064022622,-0.049568852439913935
A013,T4,Congruent,147.13,-0.52472746,-1.0938703,-0.47217376872324057,-0.5527163946781851,-0.08054262595494455
A013,T1,Incongruent,1.0,0.08387827,-0.760434,0.16001189306340374,-0.005358703788835631,-0.16537059685223937
A013,T2,Incongruent,24.77,-0.39335454,-0.787793,-0.3366865955903349,-0.05052845238957415,0.2861581432007608
A013,T3,Incongruent,79.66,-0.0014342469,-0.5437398,0.07121959437908539,0.35240373406482084,0.28118413968573547
A013,T4,Incongruent,147.13,-0.85626215,-1.4462161,-0.8184755787772083,-1.137585943522986,-0.3191103647457777
A014,T1,Common,1.0,1.0335114,-0.31575117,1.1421904959862574,0.7052124530323354,-0.43697804295392206
A014,T2,Common,25.66,1.3262863,-0.18863544,1.4449107971783504,0.9112531929696165,-0.5336576042087339
A014,T3,Common,70.56,0.73203737,-0.5067355,0.8304755601663011,0.3956476755683201,-0.434827884597981
A014,T4,Common,148.87,0.4848129,-0.5309494,0.574853011852031,0.35639958351262147,-0.2184534283394095
A014,T1,Congruent,1.0,1.3622873,-0.20850998,1.4831629136128504,0.9115861588329323,-0.5715767547799181
