item_name,Difficulty,Overall_Discrimination,Discrim_Common,Discrim_Congruent,Discrim_Incongruent
TC_ICR-D-i1,0.47334879636764526,1.6699147,1.6699147,0.0,0.0
TC_ICR-D-i2,0.5668193101882935,1.9874425,1.9874425,0.0,0.0
TC_ICR-D-i3,0.23449955880641937,1.451548,0.0,1.451548,0.0
TC_ICR-D-i4,0.3654071092605591,1.8830426,0.0,1.8830426,0.0
TC_ICR-D-i5,0.7433232069015503,1.6394852,0.0,0.0,1.6394852
TC_ICR-D-i6,0.5052145719528198,1.5742136,0.0,0.0,1.5742136
TC_ICR-N-i1,-1.0103003978729248,1.6426548,1.6426548,0.0,0.0
TC_ICR-N-i2,-1.1133143901824951,1.7068536,1.7068536,0.0,0.0
TC_ICR-N-i3,-1.540954351425171,1.5335379,0.0,1.5335379,0.0
TC_ICR-N-i4,-1.434350609779358,1.6068611,0.0,1.6068611,0.0
TC_ICR-N-i5,-1.0966572761535645,1.7160312,0.0,0.0,1.7160312
TC_ICR-N-i6,-1.2092393636703491,1.4654613,0.0,0.0,1.4654613
TC_ICR-O-i1,1.3788838386535645,1.5987014,1.5987014,0.0,0.0
TC_ICR-O-i2,1.2461154460906982,1.8162448,1.8162448,0.0,0.0
TC_ICR-O-i3,0.7984769344329834,1.7149012,0.0,1.7149012,0.0
TC_ICR-O-i4,1.082866907119751,1.4115628,0.0,1.4115628,0.0
TC_ICR-O-i5,1.2896699905395508,1.5753256,0.0,0.0,1.5753256
TC_ICR-O-i6,1.3875336647033691,1.8418804,0.0,0.0,1.8418804
TC_ICR-U-i1,-0.17028944194316864,1.9257925,1.9257925,0.0,0.0
TC_ICR-U-i2,-0.41567134857177734,1.7838906,1.7838906,0.0,0.0
TC_ICR-U-i3,-0.43090397119522095,1.9962442,0.0,1.9962442,0.0
TC_ICR-U-i4,-0.4887133240699768,1.6224344,0.0,1.6224344,0.0
TC_ICR-U-i5,-0.1427925080060959,1.9617125,0.0,0.0,1.9617125
TC_ICR-U-i6,-0.08562886714935303,1.547587,0.0,0.0,1.547587
TC_IFR-D-i1,0.5068626999855042,1.1618531,1.1618531,0.0,0.0
