composite_ID,theta_Common,theta_Congruent,theta_Incongruent
A010_T1,0.48328072,1.251567,0.70163125
A010_T2,0.45677957,0.2144668,-0.0013698519
A010_T3,-0.6049483,-0.6773748,-0.6218238
A010_T4,-0.53013176,-0.6122237,-0.21168874
A011_T1,1.6036261,1.7089931,2.428998
A011_T2,0.6236132,0.63395435,0.7614453
A011_T3,0.42162582,0.2110465,0.66335136
A011_T4,-0.46462286,-0.48312432,-0.37408584
A012_T1,1.0912529,1.4330585,0.9370232
A012_T2,-0.023758017,0.14790216,0.18245545
A012_T3,0.5149039,-0.062235888,0.6184764
A012_T4,-0.020444898,0.24694568,-0.48681083
A013_T1,-0.3941561,0.13738623,0.08387827
A013_T2,-0.07283578,-0.33113876,-0.39335454
A013_T3,-0.29521585,0.7662716,-0.0014342469
A013_T4,-0.46105915,-0.52472746,-0.85626215
A014_T1,1.0335114,1.3622873,1.2308433
A014_T2,1.3262863,1.1286854,1.418613
A014_T3,0.73203737,0.63820106,0.7124817
A014_T4,0.4848129,-0.029684639,0.5585034
A015_T1,1.1149864,1.1867816,0.9689107
A015_T2,-0.12606643,0.3378462,0.058559548
A015_T3,0.20315361,0.05781043,-0.27400735
A015_T4,-0.7618113,-0.38666388,0.17482848
A016_T1,0.8493283,0.79601294,1.0116307
A016_T2,-0.29098785,0.5575102,0.3017915
A016_T3,0.0677378,-0.30783665,0.11681125
A016_T4,-0.74132484,-0.89812744,-0.47199276
A017_T1,1.7082521,0.67906034,0.6303517
A017_T2,1.5363775,1.5527916,2.113085
A017_T3,1.2156272,1.091971,1.0203537
A017_T4,-0.06760119,0.8356505,0.34203538
A018_T1,0.07809487,0.5618547,0.30357635
A018_T2,0.20171568,-0.67173314,0.13325407
A018_T3,-0.72949773,-1.4463239,-1.2524856
A018_T4,-1.2705388,-1.3813379,-1.2764258
A019_T1,0.047048267,-0.10662708,0.01742278
A019_T2,-0.20232682,-0.14847471,0.18928657
A019_T3,0.07857297,-0.024053447,0.3077405
A019_T4,-0.5522269,-0.56357664,0.12470522
A020_T1,0.353878,0.624766,-0.1143842
A020_T2,0.3275236,0.106271744,0.006319595
A020_T3,-0.111905396,-0.90979683,-0.46397996
A020_T4,-1.2903628,-1.1804005,-1.1247153
A021_T1,0.4223149,1.2699473,1.0008813
A021_T2,0.46531308,0.7715782,0.80346143
A021_T3,0.4942931,0.31695673,0.53838366
A021_T4,0.15331583,-0.10094785,0.44634163
A022_T1,-1.2636837,-0.53534746,-0.6728256
A022_T2,-1.3087242,-1.2725997,-1.1818743
A022_T3,-1.1600952,-0.3583374,-0.9300377
A022_T4,-1.8277833,-1.6439725,-1.1718539
A023_T1,0.7560503,0.3593427,0.6409365
A023_T2,0.62134933,0.23052591,0.9657876
A023_T3,0.5609531,0.8105363,0.35428703
A023_T4,0.7166849,0.73241305,-0.029036624
A024_T1,0.22889724,0.47844794,-0.25018412
A024_T2,0.36377516,0.017539348,0.23450464
A024_T3,0.088006705,0.29259917,0.17008209
A024_T4,-0.55584866,0.053292714,-0.98404473
A025_T1,1.1146866,0.6015891,0.93630815
A025_T2,-0.044434816,0.256282,0.36178952
A025_T3,-0.37301433,-0.12336018,-0.5395733
A025_T4,-1.720921,-1.6342648,-1.9491707
A026_T1,0.4397963,0.79169786,-0.018352944
A026_T2,0.13197225,-0.0023218978,-0.112894766
A026_T3,-0.097730406,0.18565296,0.34201106
A026_T4,0.5985375,0.22969332,0.1639828
A027_T1,0.6751755,0.517701,0.5201564
A027_T2,0.08495351,0.7571614,0.010671567
A027_T3,0.060664784,-0.47441643,-0.40883735
A027_T4,-0.79506606,-0.8685989,-1.0561506
A028_T1,1.365022,1.2956499,1.16972
A028_T2,0.7000891,0.0824405,0.6656244
A028_T3,-0.13056406,-0.16386057,-0.24938773
A028_T4,-0.24690272,-0.2888496,-0.45286596
A029_T1,1.5517049,1.394524,1.5976703
A029_T2,0.7344401,1.1095906,1.2298656
A029_T3,0.53695965,0.69072795,0.6873079
A029_T4,0.37976265,0.9098431,0.2947379
A030_T1,-0.000991546,-0.02795182,0.38870603
A030_T2,0.46248072,0.76113397,0.5553523
A030_T3,-0.19670881,-0.05983226,-0.32575378
A030_T4,0.2379243,-0.21564299,0.27645555
A031_T1,1.6786112,1.9570218,1.6611834
A031_T2,-0.2616012,0.58560246,0.16599143
A031_T3,-0.020452736,-0.057491556,-0.92108506
A031_T4,-0.868676,-0.91620916,-1.2151195
A032_T1,0.60389715,0.25370973,-0.120798655
A032_T2,-1.0164691,-1.0856733,-1.3663282
A032_T3,-0.6242578,-0.20322186,-0.4107177
A032_T4,-0.2229333,0.4207225,0.3389297
A033_T1,0.26036695,0.0069860225,0.37603974
A033_T2,-0.10109462,0.10221501,-0.07125093
A033_T3,0.76847684,0.51985556,0.33039677
A033_T4,-0.35207093,-0.99767786,-0.10142167
A034_T1,1.6448331,1.8186674,1.5581404
A034_T2,1.4952326,1.7425184,1.7190975
A034_T3,1.3170433,1.0954853,0.9715115
A034_T4,0.7046929,0.44644612,0.42801064
A035_T1,0.5768406,0.23429981,0.57419777
A035_T2,0.85586464,0.37506133,0.6544396
A035_T3,0.39270964,-0.06426432,0.1118219
A035_T4,-0.16090216,-0.60400194,-0.011548359
A036_T1,-0.73888934,-0.54544055,-0.68393105
A036_T2,-1.2055333,-1.5813271,-0.7840905
A036_T3,-1.3212688,-0.8997677,-1.4535633
A036_T4,-1.7003577,-1.8545848,-1.5255469
A037_T1,1.074135,0.6406637,0.83011276
A037_T2,0.5674047,-0.11952867,0.47895968
A037_T3,-0.055334,0.014537299,-1.1556622
A037_T4,-1.1208388,-1.1015964,-0.90915126
A038_T1,0.94078714,1.3320131,1.2268752
A038_T2,1.203515,0.9947711,0.5733672
A038_T3,0.9662119,0.7313407,0.93346083
A038_T4,1.1626796,0.8037587,0.31777993
A039_T1,1.7927673,1.5542259,2.0276105
A039_T2,1.6333438,1.5001982,1.7264119
A039_T3,0.7423915,0.6114897,1.4475628
A039_T4,0.34920692,0.36043912,0.5513079
A040_T1,-0.50575525,0.28475565,0.034663513
A040_T2,-0.21811867,-0.7345379,-0.09174796
A040_T3,-1.0536666,-1.5787854,-1.67436
A040_T4,-2.2947543,-1.8305962,-2.400484
A041_T1,0.76254874,1.0434002,0.62463903
A041_T2,-0.75733274,-0.8466519,-0.7876644
A041_T3,-0.25452635,0.7114536,0.18370526
A041_T4,-0.05822557,-0.71281165,0.16890594
A042_T1,-0.53177786,-0.29147375,-0.21464281
A042_T2,-0.71373177,-0.7551809,-0.933024
A042_T3,-0.6338839,-0.44977897,-0.7456941
A042_T4,-0.8632052,-0.99947417,-1.2199403
A043_T1,1.8434825,1.9066079,2.1106298
A043_T2,1.7593164,1.9547684,1.8678541
A043_T3,1.5419149,1.1957655,1.2673836
A043_T4,0.25080398,0.83776003,0.86964875
A044_T1,-1.0304874,-0.39732793,-0.8318785
A044_T2,-0.77379125,-0.5302665,-0.6540061
A044_T3,-1.3698157,-1.4547452,-1.0038217
A044_T4,-1.119413,-1.4810442,-1.1107643
A045_T1,-0.9832561,0.09622738,-0.29871336
A045_T2,-0.122681215,-0.08371885,-1.0740076
A045_T3,0.15733473,-0.74008566,-0.42260352
A045_T4,-0.91200686,-0.9069045,-1.243108
A046_T1,0.43020782,0.24276555,0.47445866
A046_T2,0.2925303,-0.1638487,-0.30767548
A046_T3,-0.40063736,-0.44051194,0.17015772
A046_T4,-1.1167192,0.009013979,-0.5529721
A047_T1,0.75198764,0.33359694,0.5533989
A047_T2,0.14803736,0.18189156,0.034819495
A047_T3,-0.3238854,-0.14461906,-0.10920317
A047_T4,-0.8915534,-1.2207052,-0.588641
A048_T1,0.3224317,0.9366667,0.47633857
A048_T2,0.20592876,0.28430596,0.8497361
A048_T3,-0.23471095,0.028838659,0.053170387
A048_T4,-0.28024983,-0.38561657,-0.12312803
A049_T1,2.1176636,1.2031012,1.1557069
A049_T2,-0.54816633,-0.21814269,-0.6088274
A049_T3,-0.39312658,-0.058528308,-0.095657155
A049_T4,-0.6817068,-0.042128153,-0.63979965
A050_T1,0.00396749,-0.31245303,0.5021103
A050_T2,-0.37192112,-0.8779981,-0.24307671
A050_T3,-2.062106,-2.116212,-1.6638027
A050_T4,-2.322435,-2.1742995,-2.6435823
A051_T1,1.5414499,1.3472232,1.6671574
A051_T2,1.6306266,0.9727606,1.3075274
A051_T3,-0.44936913,0.28002846,0.20157017
A051_T4,0.36101753,-0.012369832,-0.13263413
A052_T1,1.1206143,0.8338482,0.53626746
A052_T2,0.046917833,-0.45445672,0.5621211
A052_T3,-0.51378584,-0.4404287,0.026659701
A052_T4,0.368572,-0.61076766,-1.07158
A053_T1,0.66210884,0.5708262,0.7393094
A053_T2,-0.29275504,-0.40487805,-0.3461395
A053_T3,-0.3369597,-0.35322234,-0.04194254
A053_T4,-0.28871217,-0.37992942,0.067018345
A054_T1,1.175005,1.7808114,1.5510408
A054_T2,0.7835323,0.82492375,0.47554782
A054_T3,0.74895406,0.59089804,0.28893512
A054_T4,0.9627909,1.0530409,0.2852234
A055_T1,0.42796743,0.44781741,0.8999145
A055_T2,-0.24406908,-0.9272309,-0.03131704
A055_T3,-0.77550447,-0.56337714,-0.47668427
A055_T4,-1.1726093,-0.9449697,0.022536382
A056_T1,0.06690302,0.20873047,0.32328364
A056_T2,-0.6892337,-0.6904299,-0.4880041
A056_T3,-0.1399613,-0.06763537,-0.5078149
A056_T4,-0.88426924,-0.7919881,-0.883062
A057_T1,0.47291753,0.32523164,0.05763328
A057_T2,-0.19021055,-0.4491313,0.3133712
A057_T3,-0.92799795,-0.4091127,-1.0740402
A057_T4,-3.0194776,-2.4682477,-2.7827141
A058_T1,-0.10102588,0.9982012,0.11838707
A058_T2,-1.5120038,-0.67255676,-0.96561044
A058_T3,-0.43176028,-1.393185,-0.5343647
A058_T4,-1.335273,-1.816154,-1.5446588
A059_T1,0.39033613,-0.028833032,0.21716432
A059_T2,-0.455204,-0.8423874,-0.12906325
