item_name,Difficulty,Overall_Discrimination,Discrim_Common,Discrim_Congruent,Discrim_Incongruent
TC_ICR-D-i1,0.5144686698913574,3.5275195,3.5275195,0.0,0.0
TC_ICR-D-i2,0.3108067810535431,5.4999833,5.4999833,0.0,0.0
TC_ICR-D-i3,0.4937357008457184,3.268197,0.0,3.268197,0.0
TC_ICR-D-i4,0.34431636333465576,4.6826606,0.0,4.6826606,0.0
TC_ICR-D-i5,0.4549761414527893,4.1406245,0.0,0.0,4.1406245
TC_ICR-D-i6,0.5023935437202454,3.5252419,0.0,0.0,3.5252419
TC_ICR-N-i1,0.17191152274608612,4.017516,4.017516,0.0,0.0
TC_ICR-N-i2,0.06353328377008438,5.4654884,5.4654884,0.0,0.0
TC_ICR-N-i3,0.0764973908662796,4.3521314,0.0,4.3521314,0.0
TC_ICR-N-i4,0.05943451076745987,4.6168365,0.0,4.6168365,0.0
TC_ICR-N-i5,0.0805569440126419,5.5340796,0.0,0.0,5.5340796
TC_ICR-N-i6,0.16748297214508057,3.8619473,0.0,0.0,3.8619473
TC_ICR-O-i1,0.5313328504562378,4.738897,4.738897,0.0,0.0
TC_ICR-O-i2,0.8388076424598694,3.0035946,3.0035946,0.0,0.0
TC_ICR-O-i3,0.5291758179664612,3.6579564,0.0,3.6579564,0.0
TC_ICR-O-i4,0.9231264591217041,2.3905835,0.0,2.3905835,0.0
TC_ICR-O-i5,0.7264102101325989,3.2992346,0.0,0.0,3.2992346
TC_ICR-O-i6,0.6138086318969727,4.3087673,0.0,0.0,4.3087673
TC_ICR-U-i1,0.253957599401474,4.3416624,4.3416624,0.0,0.0
TC_ICR-U-i2,0.20247411727905273,4.6809397,4.6809397,0.0,0.0
TC_ICR-U-i3,0.19898498058319092,4.578177,0.0,4.578177,0.0
TC_ICR-U-i4,0.2364049255847931,4.2676563,0.0,4.2676563,0.0
TC_ICR-U-i5,0.1521158218383789,6.351739,0.0,0.0,6.351739
TC_ICR-U-i6,0.4028804898262024,3.35167,0.0,0.0,3.35167
TC_IFR-D-i1,0.8274502158164978,2.3357546,2.3357546,0.0,0.0
TC_IFR-D-i2,0.4871510863304138,3.6156855,3.6156855,0.0,0.0
TC_IFR-D-i3,0.4516240954399109,3.7553291,0.0,3.7553291,0.0
TC_IFR-D-i4,0.573537290096283,3.272599,0.0,3.272599,0.0
TC_IFR-D-i5,0.5411410927772522,3.7092752,0.0,0.0,3.7092752
TC_IFR-D-i6,0.5675551891326904,3.8375049,0.0,0.0,3.8375049
TC_IFR-N-i1,0.44996413588523865,2.9405673,2.9405673,0.0,0.0
TC_IFR-N-i2,0.34079718589782715,3.8361034,3.8361034,0.0,0.0
TC_IFR-N-i3,0.39574915170669556,2.9974477,0.0,2.9974477,0.0
TC_IFR-N-i4,0.48463675379753113,2.6532712,0.0,2.6532712,0.0
TC_IFR-N-i5,0.44484156370162964,3.505522,0.0,0.0,3.505522
TC_IFR-N-i6,0.5035428404808044,3.01471,0.0,0.0,3.01471
TC_IFR-O-i1,1.0586844682693481,2.1807451,2.1807451,0.0,0.0
TC_IFR-O-i2,0.9207442998886108,2.9163876,2.9163876,0.0,0.0
TC_IFR-O-i3,0.37145116925239563,5.045822,0.0,5.045822,0.0
TC_IFR-O-i4,1.2061210870742798,2.379517,0.0,2.379517,0.0
TC_IFR-O-i5,0.8313760757446289,3.5421846,0.0,0.0,3.5421846
TC_IFR-O-i6,0.783583402633667,3.6661148,0.0,0.0,3.6661148
TC_IFR-U-i1,0.31671735644340515,3.2493732,3.2493732,0.0,0.0
TC_IFR-U-i2,0.3670899271965027,3.6294332,3.6294332,0.0,0.0
TC_IFR-U-i3,0.29692232608795166,3.8001919,0.0,3.8001919,0.0
TC_IFR-U-i4,0.4509398341178894,3.6142619,0.0,3.6142619,0.0
TC_IFR-U-i5,0.3230482339859009,4.7741876,0.0,0.0,4.7741876
TC_IFR-U-i6,0.6211045980453491,3.5156672,0.0,0.0,3.5156672
TC_IRE-D-i1,0.6147516965866089,2.937062,2.937062,0.0,0.0
TC_IRE-D-i2,0.3830665946006775,4.800238,4.800238,0.0,0.0
TC_IRE-D-i3,0.6289976835250854,2.6885808,0.0,2.6885808,0.0
TC_IRE-D-i4,0.3584800362586975,4.4094462,0.0,4.4094462,0.0
TC_IRE-D-i5,0.474770724773407,3.8586655,0.0,0.0,3.8586655
TC_IRE-D-i6,0.4733564257621765,3.6410341,0.0,0.0,3.6410341
TC_IRE-N-i1,0.15462274849414825,2.9947286,2.9947286,0.0,0.0
TC_IRE-N-i2,0.09575127810239792,3.297799,3.297799,0.0,0.0
TC_IRE-N-i3,0.40923982858657837,2.2737458,0.0,2.2737458,0.0
TC_IRE-N-i4,0.11674587428569794,3.328444,0.0,3.328444,0.0
TC_IRE-N-i5,0.25912827253341675,2.748293,0.0,0.0,2.748293
TC_IRE-N-i6,0.24325841665267944,2.8141851,0.0,0.0,2.8141851
TC_IRE-O-i1,0.7592310905456543,3.4188612,3.4188612,0.0,0.0
TC_IRE-O-i2,0.8413074612617493,3.1639402,3.1639402,0.0,0.0
TC_IRE-O-i3,0.5874387621879578,3.3220744,0.0,3.3220744,0.0
TC_IRE-O-i4,1.1434844732284546,1.9638301,0.0,1.9638301,0.0
TC_IRE-O-i5,0.8196176290512085,2.9959564,0.0,0.0,2.9959564
TC_IRE-O-i6,0.6532757878303528,4.2765446,0.0,0.0,4.2765446
TC_IRE-U-i1,0.2980964183807373,3.664995,3.664995,0.0,0.0
TC_IRE-U-i2,0.26721832156181335,3.606588,3.606588,0.0,0.0
TC_IRE-U-i3,0.3187888562679291,3.2479446,0.0,3.2479446,0.0
TC_IRE-U-i4,0.4318048357963562,2.8058946,0.0,2.8058946,0.0
TC_IRE-U-i5,0.18024227023124695,5.208146,0.0,0.0,5.208146
TC_IRE-U-i6,0.46996009349823,2.7991128,0.0,0.0,2.7991128
