model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Quad+Log+SquareRoot,330.1831557918358,396.354154656925,-152.0915778959179,12.0,True,0.0,0.6526305701017291,0.6526305701017291
Ultimate,332.33317854782035,408.68433108446175,-151.16658927391018,14.0,True,2.150022755984537,0.22273881428160336,0.8753693843833324
Root_Multi,338.5629152535348,394.5537604470718,-158.2814576267674,10.0,True,8.379759461698995,0.009886117455071097,0.8852555018384035
SquareRoot,338.8332365975748,389.7340049553357,-159.4166182987874,9.0,True,8.65008080573898,0.008636270406820188,0.8938917722452236
Exp_slow,338.8332365975748,389.7340049553357,-159.4166182987874,9.0,True,8.65008080573898,0.008636270406820188,0.9025280426520438
CubeRoot,338.879396821063,389.7801651788239,-159.4396984105315,9.0,True,8.696241029227167,0.008439226960034435,0.9109672696120782
Root_033,338.8957974973855,389.7965658551464,-159.44789874869275,9.0,True,8.712641705549686,0.00837030542132631,0.9193375750334045
SquareRoot+Lin,339.1708466241762,395.1616918177132,-158.5854233120881,10.0,True,8.987690832340377,0.007294829506671438,0.926632404540076
SquareRoot+Recip,339.47142625351626,395.46227144705324,-158.73571312675813,10.0,True,9.28827046168044,0.00627689854214136,0.9329093030822173
PowerLaw+Recip+Log,339.6183567609751,400.6992787902882,-157.80917838048754,11.0,True,9.43520096913926,0.005832295965982793,0.9387415990482001
Quartic,339.70379855857936,405.87479742366855,-156.85189927928968,12.0,True,9.52064276674355,0.005588382242594699,0.9443299812907948
Recip+Lin,339.8846556132612,395.8755008067982,-158.9423278066306,10.0,True,9.701499821425386,0.005105208616433824,0.9494351899072286
Log+SquareRoot,339.9398605500737,395.9307057436107,-158.96993027503686,10.0,True,9.756704758237902,0.0049662193054318795,0.9544014092126605
SquareRoot+Log,339.9629736515835,395.9538188451205,-158.98148682579176,10.0,True,9.779817859747709,0.004909157295047855,0.9593105665077083
SquareRoot+PowerLaw,340.0054049862956,395.9962501798326,-159.0027024931478,10.0,True,9.8222491944598,0.004806103291995747,0.964116669799704
Exp+Recip,340.01661648339723,396.0074616769342,-159.00830824169861,10.0,True,9.833460691561413,0.004779236859020603,0.9688959066587246
CubeRoot+Log,340.02879039998516,396.01963559352214,-159.01439519999258,10.0,True,9.84563460814934,0.004750234202112493,0.9736461408608371
PowerLaw_Lin,341.60388623150175,397.59473142503873,-159.80194311575087,10.0,True,11.420730439665931,0.002161161928188529,0.9758073027890256
Exp+PowerLaw,341.6703880231398,397.6612332166768,-159.8351940115699,10.0,True,11.487232231304006,0.0020904829398067106,0.9778977857288323
PowerLaw_01,341.6898953630771,392.590663720838,-160.84494768153854,9.0,True,11.506739571241269,0.0020701921747115367,0.9799679779035438
Lin+Log+PowerLaw,341.94340868263134,403.02433071194446,-158.97170434131567,11.0,True,11.760252890795527,0.0018237316903002931,0.9817917095938441
Recip+Quad,342.0106912158917,403.0916132452048,-159.00534560794586,11.0,True,11.827535424055895,0.00176339956076337,0.9835551091546074
PowerLaw_02,342.01354858486957,392.9143169426305,-161.00677429243478,9.0,True,11.830392793033752,0.001760882017978509,0.985315991172586
Log10,342.56559304078655,393.46636139854746,-161.28279652039328,9.0,True,12.382437248950737,0.0013361503445625564,0.9866521415171485
