composite_ID,UID,test,congruence,theta_accuracy,se_accuracy,theta_confidence,se_confidence,TSVR_hours
A010_T1,A010,T1,Common,1.6000581,0.1962873223365104,-0.21837638,,1.0
A010_T1,A010,T1,Congruent,2.3352752,0.2061241640685505,-0.14645109,,1.0
A010_T1,A010,T1,Incongruent,1.8495548,0.2365098342133737,-0.19839172,,1.0
A010_T2,A010,T2,Common,0.4028944,0.1962873223365104,-0.6135027,,21.9
A010_T2,A010,T2,Congruent,0.42396438,0.2061241640685505,-0.49018624,,21.9
A010_T2,A010,T2,Incongruent,-0.015681326,0.2365098342133737,-0.5774162,,21.9
A010_T3,A010,T3,Common,-0.8561796,0.1962873223365104,-0.71076155,,80.88
A010_T3,A010,T3,Congruent,-0.40273643,0.2061241640685505,-0.7472929,,80.88
A010_T3,A010,T3,Incongruent,-0.78981763,0.2365098342133737,-0.69089967,,80.88
A010_T4,A010,T4,Common,-0.14796121,0.1962873223365104,-0.91344815,,145.31
A010_T4,A010,T4,Congruent,0.304145,0.2061241640685505,-0.7211194,,145.31
A010_T4,A010,T4,Incongruent,1.004755,0.2365098342133737,-0.5352292,,145.31
A011_T1,A011,T1,Common,0.5500402,0.1962873223365104,0.06464064,,1.0
A011_T1,A011,T1,Congruent,0.73472494,0.2061241640685505,0.092816524,,1.0
A011_T1,A011,T1,Incongruent,0.927548,0.2365098342133737,0.4180711,,1.0
A011_T2,A011,T2,Common,0.75908333,0.1962873223365104,-0.46051827,,24.57
A011_T2,A011,T2,Congruent,-0.6467364,0.2061241640685505,-0.30347845,,24.57
A011_T2,A011,T2,Incongruent,-0.1538848,0.2365098342133737,-0.3730263,,24.57
A011_T3,A011,T3,Common,-0.6526953,0.1962873223365104,-0.64517677,,72.55
A011_T3,A011,T3,Congruent,0.063042305,0.2061241640685505,-0.53213114,,72.55
A011_T3,A011,T3,Incongruent,-0.42125666,0.2365098342133737,-0.39844763,,72.55
A011_T4,A011,T4,Common,-0.6465008,0.1962873223365104,-0.70183563,,148.85
A011_T4,A011,T4,Congruent,-0.5131098,0.2061241640685505,-1.2624987,,148.85
A011_T4,A011,T4,Incongruent,-0.32422063,0.2365098342133737,-1.0058494,,148.85
A012_T1,A012,T1,Common,0.48022103,0.1962873223365104,-0.11299584,,1.0
A012_T1,A012,T1,Congruent,0.5804523,0.2061241640685505,-0.07631704,,1.0
A012_T1,A012,T1,Incongruent,0.6927246,0.2365098342133737,-0.26319304,,1.0
A012_T2,A012,T2,Common,-0.25840938,0.1962873223365104,-0.50322676,,25.6
A012_T2,A012,T2,Congruent,-0.22893,0.2061241640685505,-0.5825451,,25.6
A012_T2,A012,T2,Incongruent,0.033447273,0.2365098342133737,-0.6835167,,25.6
A012_T3,A012,T3,Common,0.65839624,0.1962873223365104,-0.21468535,,166.33
A012_T3,A012,T3,Congruent,-0.01893545,0.2061241640685505,-0.66364026,,166.33
A012_T3,A012,T3,Incongruent,1.1025593,0.2365098342133737,-0.43119046,,166.33
A012_T4,A012,T4,Common,0.055890147,0.1962873223365104,-0.8530296,,166.87
A012_T4,A012,T4,Congruent,-1.0322822,0.2061241640685505,-0.8607189,,166.87
A012_T4,A012,T4,Incongruent,-1.1840969,0.2365098342133737,-0.8213732,,166.87
A013_T1,A013,T1,Common,-1.0432792,0.1962873223365104,-0.59523505,,1.0
A013_T1,A013,T1,Congruent,0.5701073,0.2061241640685505,-0.27973455,,1.0
A013_T1,A013,T1,Incongruent,-0.16505142,0.2365098342133737,-0.760434,,1.0
A013_T2,A013,T2,Common,-0.48492253,0.1962873223365104,-0.71096057,,24.77
A013_T2,A013,T2,Congruent,-1.0367917,0.2061241640685505,-0.8179554,,24.77
A013_T2,A013,T2,Incongruent,-0.6667165,0.2365098342133737,-0.787793,,24.77
A013_T3,A013,T3,Common,0.6412586,0.1962873223365104,-0.90336365,,79.66
A013_T3,A013,T3,Congruent,1.4323087,0.2061241640685505,-0.2663049,,79.66
A013_T3,A013,T3,Incongruent,1.194037,0.2365098342133737,-0.5437398,,79.66
A013_T4,A013,T4,Common,-1.0111758,0.1962873223365104,-1.0204393,,147.13
A013_T4,A013,T4,Congruent,-1.1159241,0.2061241640685505,-1.0938703,,147.13
A013_T4,A013,T4,Incongruent,-1.192921,0.2365098342133737,-1.4462161,,147.13
A014_T1,A014,T1,Common,0.1288651,0.1962873223365104,-0.31575117,,1.0
A014_T1,A014,T1,Congruent,0.53654695,0.2061241640685505,-0.20850998,,1.0
A014_T1,A014,T1,Incongruent,0.27505073,0.2365098342133737,-0.20865713,,1.0
A014_T2,A014,T2,Common,1.320731,0.1962873223365104,-0.18863544,,25.66
A014_T2,A014,T2,Congruent,-0.2694951,0.2061241640685505,-0.46776143,,25.66
A014_T2,A014,T2,Incongruent,1.0895128,0.2365098342133737,-0.085784435,,25.66
A014_T3,A014,T3,Common,0.48942116,0.1962873223365104,-0.5067355,,70.56
A014_T3,A014,T3,Congruent,0.38656035,0.2061241640685505,-0.61916596,,70.56
A014_T3,A014,T3,Incongruent,-0.10083751,0.2365098342133737,-0.3742499,,70.56
A014_T4,A014,T4,Common,-0.78735405,0.1962873223365104,-0.5309494,,148.87
A014_T4,A014,T4,Congruent,-0.7313914,0.2061241640685505,-1.1417136,,148.87
A014_T4,A014,T4,Incongruent,-0.9997553,0.2365098342133737,-0.6940057,,148.87
A015_T1,A015,T1,Common,1.4246364,0.1962873223365104,0.1478312,,1.0
A015_T1,A015,T1,Congruent,1.073113,0.2061241640685505,0.080849946,,1.0
A015_T1,A015,T1,Incongruent,1.1283869,0.2365098342133737,0.029915275,,1.0
A015_T2,A015,T2,Common,1.1372008,0.1962873223365104,-0.23167688,,23.69
A015_T2,A015,T2,Congruent,1.3152177,0.2061241640685505,-0.2513115,,23.69
A015_T2,A015,T2,Incongruent,1.361513,0.2365098342133737,-0.34297073,,23.69
A015_T3,A015,T3,Common,1.4038924,0.1962873223365104,-0.16636986,,70.59
A015_T3,A015,T3,Congruent,1.4822278,0.2061241640685505,-0.30403167,,70.59
A015_T3,A015,T3,Incongruent,1.3649361,0.2365098342133737,-0.38712233,,70.59
A015_T4,A015,T4,Common,-0.47030097,0.1962873223365104,-0.647737,,146.54
A015_T4,A015,T4,Congruent,-0.32867005,0.2061241640685505,-0.4556535,,146.54
A015_T4,A015,T4,Incongruent,0.19643967,0.2365098342133737,-0.3982483,,146.54
A016_T1,A016,T1,Common,1.3420854,0.1962873223365104,-0.42651024,,1.0
A016_T1,A016,T1,Congruent,1.291089,0.2061241640685505,-0.32729107,,1.0
A016_T1,A016,T1,Incongruent,1.2802452,0.2365098342133737,-0.20109226,,1.0
A016_T2,A016,T2,Common,0.5615982,0.1962873223365104,-0.7083215,,32.85
A016_T2,A016,T2,Congruent,1.5499188,0.2061241640685505,-0.47805068,,32.85
A016_T2,A016,T2,Incongruent,1.489516,0.2365098342133737,-0.51146555,,32.85
A016_T3,A016,T3,Common,0.17722866,0.1962873223365104,-0.8704279,,80.64
A016_T3,A016,T3,Congruent,-1.2432284,0.2061241640685505,-1.0141622,,80.64
A016_T3,A016,T3,Incongruent,0.26608974,0.2365098342133737,-0.6307198,,80.64
A016_T4,A016,T4,Common,-0.875939,0.1962873223365104,-1.3285408,,150.8
A016_T4,A016,T4,Congruent,-1.4394764,0.2061241640685505,-1.9602563,,150.8
A016_T4,A016,T4,Incongruent,-0.3671518,0.2365098342133737,-1.0874058,,150.8
A017_T1,A017,T1,Common,-0.17695434,0.1962873223365104,0.22713786,,1.0
A017_T1,A017,T1,Congruent,-0.758377,0.2061241640685505,-0.15210493,,1.0
A017_T1,A017,T1,Incongruent,-0.49409226,0.2365098342133737,-0.050550863,,1.0
A017_T2,A017,T2,Common,0.741939,0.1962873223365104,0.12913221,,20.61
A017_T2,A017,T2,Congruent,0.2569686,0.2061241640685505,0.22161458,,20.61
A017_T2,A017,T2,Incongruent,1.3314309,0.2365098342133737,0.37616742,,20.61
A017_T3,A017,T3,Common,0.18003759,0.1962873223365104,0.25517404,,61.28
A017_T3,A017,T3,Congruent,-0.52562934,0.2061241640685505,0.18487115,,61.28
A017_T3,A017,T3,Incongruent,0.57876515,0.2365098342133737,0.16344005,,61.28
A017_T4,A017,T4,Common,0.4956496,0.1962873223365104,-0.10067907,,140.49
A017_T4,A017,T4,Congruent,0.04020235,0.2061241640685505,-0.003696698,,140.49
A017_T4,A017,T4,Incongruent,0.9919836,0.2365098342133737,-0.05830908,,140.49
A018_T1,A018,T1,Common,1.0604457,0.1962873223365104,-0.26172757,,1.0
A018_T1,A018,T1,Congruent,1.5102456,0.2061241640685505,-0.08675025,,1.0
A018_T1,A018,T1,Incongruent,0.6507261,0.2365098342133737,-0.2737818,,1.0
A018_T2,A018,T2,Common,-0.07882557,0.1962873223365104,-0.1593717,,34.03
A018_T2,A018,T2,Congruent,-0.21597247,0.2061241640685505,-0.59518427,,34.03
A018_T2,A018,T2,Incongruent,0.8876945,0.2365098342133737,-0.24162628,,34.03
A018_T3,A018,T3,Common,-1.0491173,0.1962873223365104,-0.75480217,,83.64
A018_T3,A018,T3,Congruent,0.060849763,0.2061241640685505,-0.76017225,,83.64
A018_T3,A018,T3,Incongruent,-0.38700706,0.2365098342133737,-0.82405907,,83.64
A018_T4,A018,T4,Common,0.44031787,0.1962873223365104,-0.9304417,,150.87
A018_T4,A018,T4,Congruent,-0.17055476,0.2061241640685505,-0.9158059,,150.87
A018_T4,A018,T4,Incongruent,0.28919047,0.2365098342133737,-0.6834587,,150.87
A019_T1,A019,T1,Common,-0.8709922,0.1962873223365104,-2.011773,,1.0
A019_T1,A019,T1,Congruent,-1.0139009,0.2061241640685505,-2.1664224,,1.0
A019_T1,A019,T1,Incongruent,-0.28521618,0.2365098342133737,-2.4123783,,1.0
A019_T2,A019,T2,Common,-0.35722595,0.1962873223365104,-2.686788,,28.69
A019_T2,A019,T2,Congruent,-0.52953434,0.2061241640685505,-2.009122,,28.69
A019_T2,A019,T2,Incongruent,-1.109437,0.2365098342133737,-2.1736994,,28.69
A019_T3,A019,T3,Common,-0.8311249,0.1962873223365104,-2.407096,,83.68
A019_T3,A019,T3,Congruent,-0.8048507,0.2061241640685505,-2.1491692,,83.68
A019_T3,A019,T3,Incongruent,-0.12449538,0.2365098342133737,-2.37307,,83.68
A019_T4,A019,T4,Common,-0.5362667,0.1962873223365104,-2.3311577,,154.76
A019_T4,A019,T4,Congruent,-1.1073892,0.2061241640685505,-2.5337958,,154.76
A019_T4,A019,T4,Incongruent,-0.2515996,0.2365098342133737,-1.7481909,,154.76
A020_T1,A020,T1,Common,0.3413008,0.1962873223365104,-0.15611939,,1.0
A020_T1,A020,T1,Congruent,0.5093016,0.2061241640685505,-0.26701468,,1.0
A020_T1,A020,T1,Incongruent,0.10248403,0.2365098342133737,-0.45759633,,1.0
A020_T2,A020,T2,Common,0.4715719,0.1962873223365104,-0.3256946,,26.85
A020_T2,A020,T2,Congruent,-0.5068383,0.2061241640685505,-0.51464427,,26.85
A020_T2,A020,T2,Incongruent,0.029921481,0.2365098342133737,-0.39950776,,26.85
A020_T3,A020,T3,Common,0.16060348,0.1962873223365104,-0.6582603,,78.25
A020_T3,A020,T3,Congruent,-1.5806824,0.2061241640685505,-1.3487837,,78.25
A020_T3,A020,T3,Incongruent,-1.1270595,0.2365098342133737,-0.81771845,,78.25
A020_T4,A020,T4,Common,-1.9810846,0.1962873223365104,-1.5926524,,145.78
A020_T4,A020,T4,Congruent,-2.0976696,0.2061241640685505,-1.2898188,,145.78
A020_T4,A020,T4,Incongruent,-1.7975917,0.2365098342133737,-1.1671014,,145.78
A021_T1,A021,T1,Common,0.80163884,0.1962873223365104,-0.5802737,,1.0
A021_T1,A021,T1,Congruent,2.0377793,0.2061241640685505,-0.44721925,,1.0
A021_T1,A021,T1,Incongruent,1.0467342,0.2365098342133737,-0.15455027,,1.0
A021_T2,A021,T2,Common,0.10639259,0.1962873223365104,-0.41855347,,30.21
A021_T2,A021,T2,Congruent,0.26171365,0.2061241640685505,-0.48956826,,30.21
A021_T2,A021,T2,Incongruent,-0.287681,0.2365098342133737,-0.38272583,,30.21
A021_T3,A021,T3,Common,0.81882334,0.1962873223365104,-0.46029195,,74.19
A021_T3,A021,T3,Congruent,-0.1410835,0.2061241640685505,-0.5939567,,74.19
A021_T3,A021,T3,Incongruent,-0.33009732,0.2365098342133737,-0.34876692,,74.19
A021_T4,A021,T4,Common,0.684539,0.1962873223365104,-0.34437293,,140.39
A021_T4,A021,T4,Congruent,0.18201117,0.2061241640685505,-0.35563362,,140.39
A021_T4,A021,T4,Incongruent,1.0272207,0.2365098342133737,-0.2532734,,140.39
A022_T1,A022,T1,Common,-0.5011533,0.1962873223365104,-1.2542998,,1.0
A022_T1,A022,T1,Congruent,0.49725094,0.2061241640685505,-0.64802283,,1.0
A022_T1,A022,T1,Incongruent,0.4842986,0.2365098342133737,-0.97853035,,1.0
A022_T2,A022,T2,Common,0.2091155,0.1962873223365104,-1.8677373,,24.15
A022_T2,A022,T2,Congruent,0.19156887,0.2061241640685505,-1.492753,,24.15
A022_T2,A022,T2,Incongruent,0.75264776,0.2365098342133737,-1.6442801,,24.15
A022_T3,A022,T3,Common,0.274723,0.1962873223365104,-1.0122173,,74.46
A022_T3,A022,T3,Congruent,1.4768845,0.2061241640685505,-0.8369283,,74.46
A022_T3,A022,T3,Incongruent,0.632036,0.2365098342133737,-0.6643592,,74.46
A022_T4,A022,T4,Common,0.382118,0.1962873223365104,-2.1071615,,141.71
A022_T4,A022,T4,Congruent,0.73934454,0.2061241640685505,-1.9266484,,141.71
A022_T4,A022,T4,Incongruent,0.3970194,0.2365098342133737,-1.6971332,,141.71
A023_T1,A023,T1,Common,0.56837475,0.1962873223365104,-0.3546272,,1.0
A023_T1,A023,T1,Congruent,-0.6562507,0.2061241640685505,-0.53677994,,1.0
A023_T1,A023,T1,Incongruent,0.66979575,0.2365098342133737,-0.23518662,,1.0
A023_T2,A023,T2,Common,-0.05869632,0.1962873223365104,-0.38793874,,25.63
A023_T2,A023,T2,Congruent,-0.058118515,0.2061241640685505,-0.60698503,,25.63
A023_T2,A023,T2,Incongruent,0.14703572,0.2365098342133737,-0.5212391,,25.63
A023_T3,A023,T3,Common,0.17865486,0.1962873223365104,-0.485421,,72.2
A023_T3,A023,T3,Congruent,0.4286228,0.2061241640685505,-0.45389134,,72.2
A023_T3,A023,T3,Incongruent,0.15521283,0.2365098342133737,-0.7865364,,72.2
A023_T4,A023,T4,Common,0.5444067,0.1962873223365104,-0.19640866,,145.07
A023_T4,A023,T4,Congruent,0.59801745,0.2061241640685505,-0.5553943,,145.07
A023_T4,A023,T4,Incongruent,-0.62461984,0.2365098342133737,-0.73089755,,145.07
A024_T1,A024,T1,Common,0.41629925,0.1962873223365104,-0.6836894,,1.0
A024_T1,A024,T1,Congruent,0.45857278,0.2061241640685505,-0.5529413,,1.0
A024_T1,A024,T1,Incongruent,-0.21332482,0.2365098342133737,-0.63189185,,1.0
A024_T2,A024,T2,Common,0.16924852,0.1962873223365104,-0.31257537,,29.57
A024_T2,A024,T2,Congruent,0.1918723,0.2061241640685505,-0.52084565,,29.57
A024_T2,A024,T2,Incongruent,0.54554003,0.2365098342133737,-0.38149142,,29.57
A024_T3,A024,T3,Common,0.1597057,0.1962873223365104,-0.43025056,,91.47
A024_T3,A024,T3,Congruent,0.4113518,0.2061241640685505,-0.5644715,,91.47
A024_T3,A024,T3,Incongruent,-0.9363269,0.2365098342133737,-0.6993244,,91.47
A024_T4,A024,T4,Common,-0.92016464,0.1962873223365104,-0.9618955,,145.65
A024_T4,A024,T4,Congruent,-1.0682684,0.2061241640685505,-0.51859456,,145.65
A024_T4,A024,T4,Incongruent,-1.3045677,0.2365098342133737,-1.1861862,,145.65
