model,AIC,BIC,loglik,n_params,converged,delta_AIC,akaike_weight
Linear,-1467.2645707891104,-1443.3157835064626,739.6322853945552,5,True,0.6529294083973127,0.12415754576280866
Quadratic,-1465.5377226447572,-1437.5974708150013,739.7688613223786,6,True,2.379777552750511,0.05235917671308452
Logarithmic,-1467.3136461081137,-1443.364858825466,739.6568230540569,5,True,0.6038540893939626,0.12724176637452242
SquareRoot,-1467.9175001975077,-1443.96871291486,739.9587500987539,5,True,0.0,0.17208972430023978
Power_0.3,-1460.453602629102,-1436.5048153464543,736.226801314551,5,False,7.463897568405628,0.0041208819645004455
Power_0.7,-1467.7780241365485,-1443.8292368539007,739.8890120682743,5,True,0.13947606095916854,0.1604974353361945
Power_1.5,-1464.0903397398563,-1440.1415524572085,738.0451698699281,5,False,3.8271604576514164,0.02539204065512523
Inverse,-1462.6683137068385,-1438.7195264241907,737.3341568534192,5,True,5.249186490669217,0.012471209507514007
Cubic,-1463.905265351256,-1431.973548974392,739.952632675628,7,True,4.012234846251658,0.023147772846800356
ExponentialDecay,-1460.025208267416,-1436.0764209847682,736.012604133708,5,True,7.892291930091687,0.0033263314454013214
Piecewise_Day1,-1467.36516350855,-1443.4163762259022,739.682581754275,5,True,0.5523366889576664,0.1305619268204755
Linear+Log,-1466.7077208584744,-1438.7674690287186,740.3538604292372,6,True,1.2097793390332754,0.09398416627432762
Quadratic+Log,-1466.1369450511124,-1434.2052286742485,741.0684725255562,7,True,1.7805551463952725,0.07065002199900551
