UID,n_ratings,n_levels_used,full_scale_user,extremes_only,rating_mean,rating_sd,restricted_range
A010,288,5,True,False,0.5784722222222223,0.33799226728561454,False
A011,288,5,True,False,0.6777777777777778,0.31200027795137364,False
A012,288,5,True,False,0.6368055555555555,0.3121793748145777,False
A013,288,5,True,False,0.5354166666666667,0.3204893362253202,False
A014,288,5,True,False,0.7201388888888889,0.2746121398127895,False
A015,288,5,True,False,0.6319444444444444,0.37270136904990886,False
A016,288,5,True,False,0.5986111111111111,0.30648873796001397,False
A017,288,5,True,False,0.745138888888889,0.3694481921804211,False
A018,288,5,True,False,0.5006944444444446,0.3676834966343353,False
A019,288,4,False,False,0.5187499999999999,0.1509407203020317,True
A020,288,5,True,False,0.5166666666666667,0.34011680715411696,False
A021,288,5,True,False,0.6694444444444445,0.3058723237495135,False
A022,288,5,True,False,0.41597222222222224,0.29893264118256224,False
A023,288,5,True,False,0.6541666666666667,0.30257316908160187,False
A024,288,5,True,False,0.5708333333333333,0.32025142561705494,False
A025,288,5,True,False,0.5388888888888889,0.3341453524009654,False
A026,288,5,True,False,0.625,0.3396041967540473,False
A027,288,5,True,False,0.5645833333333333,0.32758619899201313,False
A028,288,5,True,False,0.6145833333333334,0.32577300192079733,False
A029,288,5,True,False,0.7326388888888888,0.28390749367218376,False
A030,288,5,True,False,0.6006944444444444,0.32567197275268267,False
A031,288,5,True,False,0.6138888888888889,0.3487381156764921,False
A032,288,5,True,False,0.5590277777777778,0.3663385449816814,False
A033,288,5,True,False,0.5868055555555556,0.35016104364236134,False
A034,288,5,True,False,0.7798611111111111,0.25974521451121846,False
A035,288,5,True,False,0.5958333333333334,0.2976973183953644,False
A036,288,5,True,False,0.36944444444444446,0.21936804317457181,False
A037,288,5,True,False,0.5756944444444445,0.3439363298539695,False
A038,288,5,True,False,0.7388888888888889,0.29184290345018077,False
A039,288,5,True,False,0.7791666666666666,0.27046868599623436,False
A040,288,5,True,False,0.4680555555555556,0.357430391415873,False
A041,288,5,True,False,0.598611111111111,0.37220243098643324,False
A042,288,5,True,False,0.4277777777777778,0.2693247316389574,False
A043,288,5,True,False,0.8145833333333333,0.2359556888655451,False
A044,288,5,True,False,0.39791666666666664,0.26423744732991306,False
A045,288,5,True,False,0.4861111111111111,0.3323679400026697,False
A046,288,5,True,False,0.5388888888888889,0.25624223924302625,False
A047,288,5,True,False,0.5402777777777779,0.26088016244249035,False
A048,288,5,True,False,0.6173611111111111,0.32563630791560616,False
A049,288,5,True,False,0.5993055555555556,0.35905344545591944,False
A050,288,4,False,False,0.4340277777777778,0.350741016349312,False
A051,288,5,True,False,0.6805555555555556,0.31396703654797053,False
A052,288,5,True,False,0.588888888888889,0.3213887788849919,False
A053,288,5,True,False,0.5125,0.24391550487651203,False
A054,288,5,True,False,0.7291666666666666,0.31321086394977943,False
A055,288,5,True,False,0.5083333333333333,0.3175472200064077,False
A056,288,5,True,False,0.4979166666666667,0.29725075935526596,False
A057,288,5,True,False,0.47430555555555565,0.33375626479451403,False
A058,288,5,True,False,0.47361111111111115,0.3508051686576885,False
A059,288,5,True,False,0.5291666666666667,0.3445696199558453,False
A060,288,5,True,False,0.711111111111111,0.31170233077730036,False
A061,288,5,True,False,0.8069444444444444,0.2976452950098525,False
A062,288,5,True,False,0.49166666666666675,0.32876073928220173,False
A063,288,5,True,False,0.43194444444444446,0.22043756858009056,False
A064,288,5,True,False,0.5923611111111112,0.3356993555217463,False
A065,288,5,True,False,0.3784722222222222,0.24356904721004183,False
A066,288,5,True,False,0.49374999999999997,0.31139088893910455,False
A067,288,5,True,False,0.37222222222222223,0.27647468256024216,False
A068,288,5,True,False,0.7430555555555556,0.2960018781788463,False
A069,288,5,True,False,0.4013888888888889,0.27126908124696586,False
A070,288,5,True,False,0.43194444444444446,0.33901944642768833,False
A071,288,5,True,False,0.58125,0.31775974313213545,False
A072,288,5,True,False,0.6854166666666667,0.3128978303932585,False
A073,288,5,True,False,0.5618055555555556,0.27799594607070444,False
A074,288,5,True,False,0.5034722222222222,0.3634739842200547,False
A075,288,5,True,False,0.4388888888888889,0.3282539832306305,False
A076,288,5,True,False,0.3986111111111111,0.26816867932884547,False
A077,288,5,True,False,0.5541666666666667,0.3491902030547359,False
A078,288,5,True,False,0.38680555555555557,0.27069314248911264,False
A079,288,5,True,False,0.5347222222222222,0.3337714890328588,False
A080,288,5,True,False,0.6375,0.3000290345996325,False
A081,288,5,True,False,0.7083333333333334,0.255803713948188,False
A082,288,5,True,False,0.5277777777777778,0.3450888780017114,False
A083,288,5,True,False,0.6506944444444445,0.31776583488897414,False
A084,288,5,True,False,0.42847222222222225,0.2457054678391488,False
A085,288,5,True,False,0.601388888888889,0.3777774931109583,False
A086,288,5,True,False,0.6395833333333333,0.309144881069199,False
A087,288,5,True,False,0.6416666666666667,0.3548567949859988,False
A088,288,5,True,False,0.6909722222222222,0.32102041018496513,False
A089,288,5,True,False,0.6423611111111112,0.32888362770587587,False
A090,288,5,True,False,0.37569444444444444,0.1942542347137377,True
A091,288,5,True,False,0.6027777777777777,0.31054508544941856,False
A092,288,5,True,False,0.5034722222222222,0.33514533629195875,False
A093,288,5,True,False,0.6659722222222222,0.20023094486481274,False
A094,288,5,True,False,0.4194444444444445,0.26902269318104033,False
A095,288,5,True,False,0.5694444444444444,0.3265867782567054,False
A096,288,5,True,False,0.7173611111111111,0.26287869279099024,False
A097,288,5,True,False,0.3965277777777778,0.20273846266342296,False
A098,288,5,True,False,0.6375,0.33638268401409965,False
A099,288,5,True,False,0.7638888888888888,0.26572132086815675,False
A100,288,5,True,False,0.7506944444444444,0.12796805338364065,True
A101,288,5,True,False,0.35694444444444445,0.23093591665154703,False
A102,288,5,True,False,0.5590277777777778,0.34719647601024056,False
A103,288,5,True,False,0.2625,0.15020311451416743,True
A104,288,5,True,False,0.5604166666666667,0.3702751119594529,False
A105,288,5,True,False,0.7083333333333334,0.2985446697910166,False
A106,288,5,True,False,0.6152777777777778,0.3352297967772396,False
A107,288,5,True,False,0.3326388888888889,0.14280898336509362,True
A108,288,5,True,False,0.40208333333333335,0.2937131621204393,False
A109,288,4,False,False,0.6451388888888887,0.14474770125625552,True
