UID,TEST,item_id,domain,TQ_accuracy,TC_confidence,HCE
A010,1,TCR-O-TSK1,When,1,0.4,0
A010,1,RFR-N-OBJ1,What,1,1.0,0
A010,1,ICR-D-i6,Where,1,0.4,0
A010,1,IRE-U-i6,Where,1,0.6,0
A010,1,IRE-O-i1,When,0,0.4,0
A010,1,ICR-D-i5,Where,1,1.0,0
A010,1,RFR-L-LAND,Where,0,0.6,0
A010,1,RRE-N-STRA,What,1,1.0,0
A010,1,RFR-N-STRA,What,1,1.0,0
A010,1,IFR-N-i4,What,1,1.0,0
A010,1,ICR-N-i5,What,1,1.0,0
A010,1,IRE-D-i2,Where,1,0.6,0
A010,1,RRE-L-LAND,Where,1,0.6,0
A010,1,IRE-O-i4,When,0,0.6,0
A010,1,IFR-U-i1,Where,1,1.0,0
A010,1,IFR-O-i6,When,1,0.2,0
A010,1,IRE-N-i5,What,1,1.0,0
A010,1,IFR-N-i2,What,1,0.2,0
A010,1,RRE-L-PORT,Where,1,0.8,0
A010,1,IRE-O-i3,When,1,1.0,0
A010,1,ICR-O-i5,When,1,0.6,0
A010,1,RRE-N-LAND,What,1,1.0,0
A010,1,RFR-O-TMOD,When,1,1.0,0
A010,1,ICR-O-i4,When,1,0.4,0
A010,1,TCR-O-TSK5,When,0,0.4,0
A010,1,ICR-U-i6,Where,1,0.4,0
A010,1,RFR-L-DOOR,Where,1,0.8,0
A010,1,ICR-U-i1,Where,1,1.0,0
A010,1,ICR-O-i1,When,0,0.6,0
A010,1,IFR-D-i4,Where,0,0.4,0
A010,1,RFR-L-WIND,Where,0,0.8,1
A010,1,IRE-U-i3,Where,1,1.0,0
A010,1,RFR-N-OBJ4,What,1,1.0,0
A010,1,ICR-D-i3,Where,1,1.0,0
A010,1,ICR-N-i6,What,1,1.0,0
A010,1,IFR-O-i4,When,0,0.4,0
A010,1,IFR-D-i2,Where,0,0.2,0
A010,1,IFR-U-i3,Where,1,1.0,0
A010,1,ICR-D-i1,Where,1,0.4,0
A010,1,IFR-O-i5,When,1,0.4,0
A010,1,IRE-D-i3,Where,1,1.0,0
A010,1,IFR-D-i3,Where,1,1.0,0
A010,1,IRE-U-i5,Where,1,1.0,0
A010,1,RRE-L-WIND,Where,1,0.6,0
