UID,domain,TEST,HCE_rate,N_items,Days_mean,domain_Where,domain_When,HCE_rate_trans
A010,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A010,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A010,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A010,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A010,When,1,0.0,26,0.04166666666666666,0,1,0.03162804943757168
A010,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A010,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A010,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A010,Where,1,0.02,50,0.04166666666666666,1,0,0.1454258194533693
A010,Where,2,0.02,50,1.1987375,1,0,0.1454258194533693
A010,Where,3,0.02,50,3.2778375,1,0,0.1454258194533693
A010,Where,4,0.04,50,6.307300000000001,1,0,0.20389438103477908
A011,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A011,What,2,0.06896551724137931,29,1.1987375,0,0,0.267695745166414
A011,What,3,0.13793103448275862,29,3.2778375,0,0,0.38195417820268907
A011,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A011,When,1,0.2692307692307692,26,0.04166666666666666,0,1,0.5466604281567711
A011,When,2,0.19230769230769232,26,1.1987375,0,1,0.45522866891804775
A011,When,3,0.2692307692307692,26,3.2778375,0,1,0.5466604281567711
A011,When,4,0.15384615384615385,26,6.307300000000001,0,1,0.4044410432789647
A011,Where,1,0.2,50,0.04166666666666666,1,0,0.46489644061454977
A011,Where,2,0.1,50,1.1987375,1,0,0.323413536785469
A011,Where,3,0.16,50,3.2778375,1,0,0.41287898879075535
A011,Where,4,0.04,50,6.307300000000001,1,0,0.20389438103477908
A012,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A012,What,2,0.10344827586206896,29,1.1987375,0,0,0.329092735817834
A012,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A012,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A012,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A012,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A012,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A012,When,4,0.038461538461538464,26,6.307300000000001,0,1,0.19997954661742062
A012,Where,1,0.16,50,0.04166666666666666,1,0,0.41287898879075535
A012,Where,2,0.16,50,1.1987375,1,0,0.41287898879075535
A012,Where,3,0.04,50,3.2778375,1,0,0.20389438103477908
A012,Where,4,0.24,50,6.307300000000001,1,0,0.5131425881640808
A013,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A013,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A013,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
A013,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A013,When,1,0.0,26,0.04166666666666666,0,1,0.03162804943757168
A013,When,2,0.19230769230769232,26,1.1987375,0,1,0.45522866891804775
A013,When,3,0.11538461538461539,26,3.2778375,0,1,0.3481420348899342
A013,When,4,0.038461538461538464,26,6.307300000000001,0,1,0.19997954661742062
A013,Where,1,0.06,50,0.04166666666666666,1,0,0.24956430006370459
A013,Where,2,0.12,50,1.1987375,1,0,0.35527749346034315
A013,Where,3,0.06,50,3.2778375,1,0,0.24956430006370459
A013,Where,4,0.0,50,6.307300000000001,1,0,0.03162804943757168
A014,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A014,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A014,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A014,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A014,When,1,0.23076923076923078,26,0.04166666666666666,0,1,0.5022788480074405
A014,When,2,0.11538461538461539,26,1.1987375,0,1,0.3481420348899342
A014,When,3,0.23076923076923078,26,3.2778375,0,1,0.5022788480074405
A014,When,4,0.11538461538461539,26,6.307300000000001,0,1,0.3481420348899342
A014,Where,1,0.22,50,0.04166666666666666,1,0,0.4894112928012243
A014,Where,2,0.12,50,1.1987375,1,0,0.35527749346034315
A014,Where,3,0.16,50,3.2778375,1,0,0.41287898879075535
A014,Where,4,0.2,50,6.307300000000001,1,0,0.46489644061454977
A015,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A015,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A015,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A015,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A015,When,1,0.0,26,0.04166666666666666,0,1,0.03162804943757168
A015,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A015,When,3,0.15384615384615385,26,3.2778375,0,1,0.4044410432789647
A015,When,4,0.038461538461538464,26,6.307300000000001,0,1,0.19997954661742062
A015,Where,1,0.12,50,0.04166666666666666,1,0,0.35527749346034315
A015,Where,2,0.02,50,1.1987375,1,0,0.1454258194533693
A015,Where,3,0.06,50,3.2778375,1,0,0.24956430006370459
A015,Where,4,0.08,50,6.307300000000001,1,0,0.28859435195061733
A016,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A016,What,2,0.1724137931034483,29,1.1987375,0,0,0.4295149039912036
A016,What,3,0.10344827586206896,29,3.2778375,0,0,0.329092735817834
A016,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A016,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
