UID,Day0_confidence,se_confidence
A010,0.9966144,0.07339282
A011,2.008585,0.07339282
A012,1.096769,0.07339282
A013,0.14108829,0.07339282
A014,1.5729513,0.07339282
A015,1.4229563,0.07339282
A016,0.6762369,0.07339282
A017,1.2367781,0.07339282
A018,0.4011214,0.07339282
A019,-0.13678566,0.07339282
A020,0.4385481,0.07339282
A021,1.2973111,0.07339282
A022,-1.0273978,0.07339282
A023,0.8757261,0.07339282
A024,0.5364075,0.07339282
A025,0.7685537,0.07339282
A026,0.56117547,0.07339282
A027,1.0715036,0.07339282
A028,1.2547947,0.07339282
A029,1.6053915,0.07339282
A030,0.23597223,0.07339282
A031,2.0878112,0.07339282
A032,0.3052368,0.07339282
A033,0.77137077,0.07339282
A034,2.0106363,0.07339282
A035,0.8264408,0.07339282
A036,-0.8724763,0.07339282
A037,0.981827,0.07339282
A038,1.2398889,0.07339282
A039,2.2039258,0.07339282
A040,0.10722337,0.07339282
A041,1.1639924,0.07339282
A042,-0.26355729,0.07339282
A043,2.2976968,0.07339282
A044,-0.48998752,0.07339282
A045,-0.1593461,0.07339282
A046,0.676205,0.07339282
A047,0.3895279,0.07339282
A048,0.724293,0.07339282
A049,1.5637307,0.07339282
A050,0.035831243,0.07339282
A051,1.7638129,0.07339282
A052,1.0086244,0.07339282
A053,0.7935923,0.07339282
A054,1.6660749,0.07339282
A055,0.8933571,0.07339282
A056,0.35512546,0.07339282
A057,0.7148236,0.07339282
A058,0.6129219,0.07339282
A059,0.35930577,0.07339282
A060,1.1899056,0.07339282
A061,3.035337,0.07339282
A062,0.8056381,0.07339282
A063,-0.22373737,0.07339282
A064,0.97024375,0.07339282
A065,-0.13690929,0.07339282
A066,0.46811906,0.07339282
A067,0.24262358,0.07339282
A068,2.2656133,0.07339282
A069,0.25422466,0.07339282
A070,0.26595566,0.07339282
A071,1.4062483,0.07339282
A072,1.1476082,0.07339282
A073,0.005702734,0.07339282
A074,0.4057072,0.07339282
A075,0.21868351,0.07339282
A076,-0.25764796,0.07339282
A077,1.0828195,0.07339282
A078,-0.9361496,0.07339282
A079,0.3822094,0.07339282
A080,1.1243324,0.07339282
A081,1.2758523,0.07339282
A082,0.1739859,0.07339282
A083,1.2734162,0.07339282
A084,-0.42285675,0.07339282
A085,0.8677166,0.07339282
A086,1.277961,0.07339282
A087,1.4973053,0.07339282
A088,0.25304648,0.07339282
A089,1.3327537,0.07339282
A090,-0.65424925,0.07339282
A091,0.9867957,0.07339282
A092,0.22590114,0.07339282
A093,1.615065,0.07339282
A094,-0.15748604,0.07339282
A095,1.0626495,0.07339282
A096,1.2504172,0.07339282
A097,-0.40680176,0.07339282
A098,0.7665425,0.07339282
A099,1.5797538,0.07339282
A100,0.9444509,0.07339282
A101,-0.32381263,0.07339282
A102,0.7623854,0.07339282
A103,-1.8178651,0.07339282
A104,1.6208797,0.07339282
A105,2.0030143,0.07339282
A106,0.900686,0.07339282
A107,-1.6444446,0.07339282
A108,-0.31995967,0.07339282
A109,0.48572227,0.07339282
