UID,test,SD_confidence,N_items,mean_confidence
A010,1,0.3090193484985671,72,0.7166666666666667
A010,2,0.32016232189791993,72,0.6055555555555556
A010,3,0.3397389221317858,72,0.47500000000000003
A010,4,0.3369289639680201,72,0.5166666666666667
A011,1,0.25999578665178846,72,0.8527777777777777
A011,2,0.29389990098618096,72,0.7194444444444444
A011,3,0.29728821317055415,72,0.6583333333333333
A011,4,0.2801603609649749,72,0.48055555555555557
A012,1,0.2765764319165785,72,0.7888888888888889
A012,2,0.30866464879333116,72,0.5777777777777778
A012,3,0.30936099520158106,72,0.625
A012,4,0.30437601323607916,72,0.5555555555555556
A013,1,0.3450068607423792,72,0.5611111111111111
A013,2,0.32846205860595523,72,0.55
A013,3,0.3322517664463641,72,0.5944444444444444
A013,4,0.25192529384248274,72,0.4361111111111111
A014,1,0.269454326005015,72,0.7916666666666666
A014,2,0.23361820303377986,72,0.7916666666666666
A014,3,0.28345067992495937,72,0.6722222222222222
A014,4,0.27463163548882635,72,0.625
A015,1,0.33510094711509475,72,0.7694444444444444
A015,2,0.37553300670331324,72,0.6194444444444445
A015,3,0.3797289206896648,72,0.6055555555555556
A015,4,0.3661755139851019,72,0.5333333333333333
A016,1,0.2828288798440948,72,0.7472222222222222
A016,2,0.3218564109906383,72,0.625
A016,3,0.2975118519226231,72,0.5777777777777778
A016,4,0.2448850773229387,72,0.4444444444444444
A017,1,0.37311865054770643,72,0.7222222222222222
A017,2,0.34148483653556944,72,0.8027777777777777
A017,3,0.3608371417682764,72,0.7777777777777778
A017,4,0.3951188882314356,72,0.6777777777777777
A018,1,0.38009964923554296,72,0.6444444444444444
A018,2,0.3822243603681507,72,0.5694444444444444
A018,3,0.33040971388525175,72,0.41111111111111115
A018,4,0.3122937504041204,72,0.37777777777777777
A019,1,0.17361118935835482,72,0.55
A019,2,0.1285223594169884,72,0.5194444444444444
A019,3,0.13426901732747026,72,0.5666666666666667
A019,4,0.13274518166429267,72,0.4388888888888889
A020,1,0.36355917519079983,72,0.6277777777777778
A020,2,0.3630422661494865,72,0.5944444444444444
