UID,N_ratings,full_scale,extremes_only,SD_ratings,restricted_range,unique_levels
A010,288,True,False,0.33799226728561454,False,5
A011,288,True,False,0.31200027795137364,False,5
A012,288,True,False,0.3121793748145777,False,5
A013,288,True,False,0.3204893362253202,False,5
A014,288,True,False,0.2746121398127895,False,5
A015,288,True,False,0.37270136904990886,False,5
A016,288,True,False,0.30648873796001397,False,5
A017,288,True,False,0.3694481921804211,False,5
A018,288,True,False,0.3676834966343353,False,5
A019,288,False,False,0.1509407203020317,False,4
A020,288,True,False,0.34011680715411696,False,5
A021,288,True,False,0.3058723237495135,False,5
A022,288,True,False,0.29893264118256224,False,5
A023,288,True,False,0.30257316908160187,False,5
A024,288,True,False,0.32025142561705494,False,5
A025,288,True,False,0.3341453524009654,False,5
A026,288,True,False,0.3396041967540473,False,5
A027,288,True,False,0.32758619899201313,False,5
A028,288,True,False,0.32577300192079733,False,5
A029,288,True,False,0.28390749367218376,False,5
A030,288,True,False,0.32567197275268267,False,5
A031,288,True,False,0.3487381156764921,False,5
A032,288,True,False,0.3663385449816814,False,5
A033,288,True,False,0.35016104364236134,False,5
A034,288,True,False,0.25974521451121846,False,5
A035,288,True,False,0.2976973183953644,False,5
A036,288,True,False,0.21936804317457181,False,5
A037,288,True,False,0.3439363298539695,False,5
A038,288,True,False,0.29184290345018077,False,5
A039,288,True,False,0.27046868599623436,False,5
A040,288,True,False,0.357430391415873,False,5
A041,288,True,False,0.37220243098643324,False,5
A042,288,True,False,0.2693247316389574,False,5
A043,288,True,False,0.2359556888655451,False,5
A044,288,True,False,0.26423744732991306,False,5
A045,288,True,False,0.3323679400026697,False,5
A046,288,True,False,0.25624223924302625,False,5
A047,288,True,False,0.26088016244249035,False,5
A048,288,True,False,0.32563630791560616,False,5
A049,288,True,False,0.35905344545591944,False,5
A050,288,False,False,0.350741016349312,False,4
A051,288,True,False,0.31396703654797053,False,5
A052,288,True,False,0.3213887788849919,False,5
A053,288,True,False,0.24391550487651203,False,5
A054,288,True,False,0.31321086394977943,False,5
A055,288,True,False,0.3175472200064077,False,5
A056,288,True,False,0.29725075935526596,False,5
A057,288,True,False,0.33375626479451403,False,5
A058,288,True,False,0.3508051686576885,False,5
A059,288,True,False,0.3445696199558453,False,5
A060,288,True,False,0.31170233077730036,False,5
A061,288,True,False,0.2976452950098525,False,5
A062,288,True,False,0.32876073928220173,False,5
A063,288,True,False,0.22043756858009056,False,5
A064,288,True,False,0.3356993555217463,False,5
A065,288,True,False,0.24356904721004183,False,5
A066,288,True,False,0.31139088893910455,False,5
A067,288,True,False,0.27647468256024216,False,5
A068,288,True,False,0.2960018781788463,False,5
A069,288,True,False,0.27126908124696586,False,5
A070,288,True,False,0.33901944642768833,False,5
A071,288,True,False,0.31775974313213545,False,5
A072,288,True,False,0.3128978303932585,False,5
A073,288,True,False,0.27799594607070444,False,5
A074,288,True,False,0.3634739842200547,False,5
A075,288,True,False,0.3282539832306305,False,5
A076,288,True,False,0.26816867932884547,False,5
A077,288,True,False,0.3491902030547359,False,5
A078,288,True,False,0.27069314248911264,False,5
A079,288,True,False,0.3337714890328588,False,5
A080,288,True,False,0.3000290345996325,False,5
A081,288,True,False,0.255803713948188,False,5
A082,288,True,False,0.3450888780017114,False,5
A083,288,True,False,0.31776583488897414,False,5
A084,288,True,False,0.2457054678391488,False,5
A085,288,True,False,0.3777774931109583,False,5
A086,288,True,False,0.309144881069199,False,5
A087,288,True,False,0.3548567949859988,False,5
A088,288,True,False,0.32102041018496513,False,5
A089,288,True,False,0.32888362770587587,False,5
A090,288,True,False,0.1942542347137377,False,5
A091,288,True,False,0.31054508544941856,False,5
A092,288,True,False,0.33514533629195875,False,5
A093,288,True,False,0.20023094486481274,False,5
A094,288,True,False,0.26902269318104033,False,5
A095,288,True,False,0.3265867782567054,False,5
A096,288,True,False,0.26287869279099024,False,5
A097,288,True,False,0.20273846266342296,False,5
A098,288,True,False,0.33638268401409965,False,5
A099,288,True,False,0.26572132086815675,False,5
A100,288,True,False,0.12796805338364065,True,5
A101,288,True,False,0.23093591665154703,False,5
A102,288,True,False,0.34719647601024056,False,5
A103,288,True,False,0.15020311451416743,False,5
A104,288,True,False,0.3702751119594529,False,5
A105,288,True,False,0.2985446697910166,False,5
A106,288,True,False,0.3352297967772396,False,5
A107,288,True,False,0.14280898336509362,True,5
A108,288,True,False,0.2937131621204393,False,5
A109,288,False,False,0.14474770125625552,True,4
