composite_ID,UID,test,residual
A010_1,A010,T1,1.293921658877771
A010_2,A010,T2,-0.4830635211854386
A010_3,A010,T3,-0.5741619153521295
A010_4,A010,T4,0.4398574165934676
A011_1,A011,T1,0.2992657720901371
A011_2,A011,T2,0.2071868433799392
A011_3,A011,T3,-0.4364252024472093
A011_4,A011,T4,-0.035983378893068
A012_1,A012,T1,0.5087197867412707
A012_2,A012,T2,-0.8601818850132337
A012_3,A012,T3,1.043360061868104
A012_4,A012,T4,-0.3914127418550305
A013_1,A013,T1,-0.2508421227141423
A013_2,A013,T2,-0.5799049901652449
A013_3,A013,T3,0.5681535999105535
A013_4,A013,T4,0.133074973666108
A014_1,A014,T1,-0.1777607101486639
A014_2,A014,T2,1.107379449917545
A014_3,A014,T3,0.0986939020029914
A014_4,A014,T4,-0.6036248200784238
A015_1,A015,T1,-0.1218147417977444
A015_2,A015,T2,0.5324264142696864
A015_3,A015,T3,0.7060245631954154
A015_4,A015,T4,-0.0230037953783274
A016_1,A016,T1,0.6275243715954401
A016_2,A016,T2,0.0776105464441034
A016_3,A016,T3,0.0997741251260861
A016_4,A016,T4,-0.7163539013873306
A017_1,A017,T1,-1.0053761542444908
A017_2,A017,T2,0.7999790472408552
A017_3,A017,T3,0.1222973362997183
A017_4,A017,T4,0.2811910568936415
A018_1,A018,T1,-0.2415454743864594
A018_2,A018,T2,-0.0788536042297747
A018_3,A018,T3,-0.3239108666227034
A018_4,A018,T4,0.5816397745984576
A019_1,A019,T1,-0.1758637523358127
A019_2,A019,T2,-0.414265401921461
A019_3,A019,T3,0.010713610248825
A019_4,A019,T4,-0.2256875869299706
A020_1,A020,T1,0.0653134788211426
A020_2,A020,T2,0.2205187508973382
A020_3,A020,T3,0.0952848110343405
A020_4,A020,T4,-1.0429659741937107
A021_1,A021,T1,0.0683930116451854
A021_2,A021,T2,-0.0789688942918428
A021_3,A021,T3,-0.0294622010259076
A021_4,A021,T4,0.5980738618120706
A022_1,A022,T1,-0.6270711406800415
A022_2,A022,T2,0.2330715970468012
A022_3,A022,T3,0.0509894704467443
A022_4,A022,T4,0.4055130773578439
A023_1,A023,T1,0.133630163056757
A023_2,A023,T2,-0.713384835959513
A023_3,A023,T3,0.2638340859554073
A023_4,A023,T4,0.3945137379153542
A024_1,A024,T1,-0.2953179519143389
A024_2,A024,T2,0.0374526603668866
A024_3,A024,T3,0.4929177180145169
A024_4,A024,T4,-0.259995046634411
A025_1,A025,T1,0.0854711122426891
A025_2,A025,T2,1.2523524032616111
A025_3,A025,T3,-0.1807656609696979
A025_4,A025,T4,-0.9337501030777052
A026_1,A026,T1,0.0779883991798422
A026_2,A026,T2,-0.3893242959105251
A026_3,A026,T3,0.6942473233787023
A026_4,A026,T4,-0.1027749438990985
A027_1,A027,T1,0.3771305567113621
A027_2,A027,T2,0.2820643679641003
A027_3,A027,T3,-0.4099964680571903
A027_4,A027,T4,-0.2993494016961779
A028_1,A028,T1,0.8380828949695621
A028_2,A028,T2,-0.447079405528617
A028_3,A028,T3,0.0497813860602415
A028_4,A028,T4,-0.374938172824253
A029_1,A029,T1,0.1981942927044429
A029_2,A029,T2,-0.6131644645568431
A029_3,A029,T3,0.7547476975934003
A029_4,A029,T4,0.397460999158575
A030_1,A030,T1,-0.6810677614000133
A030_2,A030,T2,0.7887947744504638
A030_3,A030,T3,-0.2638958561055702
A030_4,A030,T4,0.4676369444656434
A031_1,A031,T1,1.2629553100574835
A031_2,A031,T2,-0.3803811474822762
A031_3,A031,T3,-0.1575589574117039
A031_4,A031,T4,-0.4327895910266032
A032_1,A032,T1,-0.4904807199178239
A032_2,A032,T2,-0.624684421110198
A032_3,A032,T3,0.2807310217354277
A032_4,A032,T4,1.3919117442680786
A033_1,A033,T1,-0.5322755920214435
A033_2,A033,T2,0.1025869792461837
A033_3,A033,T3,0.8828298006447061
A033_4,A033,T4,-0.1842821505233684
A034_1,A034,T1,0.8941436554336559
A034_2,A034,T2,0.0376350104181912
A034_3,A034,T3,-0.3509924301521951
A034_4,A034,T4,-0.1587525566197842
A035_1,A035,T1,-0.5873115161776034
A035_2,A035,T2,0.9262887030613256
A035_3,A035,T3,-0.0996825650046347
A035_4,A035,T4,-0.3568506130702608
A036_1,A036,T1,0.7500838793552976
A036_2,A036,T2,-0.2667590120501358
A036_3,A036,T3,-0.0983794398365884
A036_4,A036,T4,-0.453925671728789
A037_1,A037,T1,0.0224912849810903
A037_2,A037,T2,0.586578963770759
A037_3,A037,T3,0.0164703095062352
A037_4,A037,T4,-0.1896838623768048
A038_1,A038,T1,0.0810779069187039
A038_2,A038,T2,-0.4141081181755986
A038_3,A038,T3,0.7263701801839959
A038_4,A038,T4,0.0139536977771942
A039_1,A039,T1,0.4893708152990295
A039_2,A039,T2,0.1700923311521187
A039_3,A039,T3,-0.1201697132029907
A039_4,A039,T4,0.3563650045769163
A040_1,A040,T1,-0.3934335924793686
A040_2,A040,T2,0.7796328559002619
A040_3,A040,T3,-0.6930919991674647
A040_4,A040,T4,-0.3648576213195764
A041_1,A041,T1,0.4517159041375909
A041_2,A041,T2,-1.331078589248622
A041_3,A041,T3,0.4414591532271996
A041_4,A041,T4,0.5138468913387405
A042_1,A042,T1,-0.8486483752712943
A042_2,A042,T2,-0.4046445319400074
A042_3,A042,T3,0.7414728446013074
