composite_ID,UID,TEST,TSVR_hours
A010_T1,A010,T1,1.0
A010_T2,A010,T2,21.9
A010_T3,A010,T3,80.88
A010_T4,A010,T4,145.31
A011_T1,A011,T1,1.0
A011_T2,A011,T2,24.57
A011_T3,A011,T3,72.55
A011_T4,A011,T4,148.85
A012_T1,A012,T1,1.0
A012_T2,A012,T2,25.6
A012_T3,A012,T3,166.33
A012_T4,A012,T4,166.87
A013_T1,A013,T1,1.0
A013_T2,A013,T2,24.77
A013_T3,A013,T3,79.66
A013_T4,A013,T4,147.13
A014_T1,A014,T1,1.0
A014_T2,A014,T2,25.66
A014_T3,A014,T3,70.56
A014_T4,A014,T4,148.87
A015_T1,A015,T1,1.0
A015_T2,A015,T2,23.69
A015_T3,A015,T3,70.59
A015_T4,A015,T4,146.54
A016_T1,A016,T1,1.0
A016_T2,A016,T2,32.85
A016_T3,A016,T3,80.64
A016_T4,A016,T4,150.8
A017_T1,A017,T1,1.0
A017_T2,A017,T2,20.61
A017_T3,A017,T3,61.28
A017_T4,A017,T4,140.49
A018_T1,A018,T1,1.0
A018_T2,A018,T2,34.03
A018_T3,A018,T3,83.64
A018_T4,A018,T4,150.87
A019_T1,A019,T1,1.0
A019_T2,A019,T2,28.69
A019_T3,A019,T3,83.68
A019_T4,A019,T4,154.76
A020_T1,A020,T1,1.0
A020_T2,A020,T2,26.85
A020_T3,A020,T3,78.25
A020_T4,A020,T4,145.78
A021_T1,A021,T1,1.0
A021_T2,A021,T2,30.21
A021_T3,A021,T3,74.19
A021_T4,A021,T4,140.39
A022_T1,A022,T1,1.0
A022_T2,A022,T2,24.15
A022_T3,A022,T3,74.46
A022_T4,A022,T4,141.71
A023_T1,A023,T1,1.0
A023_T2,A023,T2,25.63
A023_T3,A023,T3,72.2
A023_T4,A023,T4,145.07
A024_T1,A024,T1,1.0
A024_T2,A024,T2,29.57
A024_T3,A024,T3,91.47
A024_T4,A024,T4,145.65
A025_T1,A025,T1,1.0
A025_T2,A025,T2,23.33
A025_T3,A025,T3,72.94
A025_T4,A025,T4,137.74
A026_T1,A026,T1,1.0
A026_T2,A026,T2,26.48
A026_T3,A026,T3,75.46
A026_T4,A026,T4,147.65
A027_T1,A027,T1,1.0
A027_T2,A027,T2,28.26
A027_T3,A027,T3,74.58
A027_T4,A027,T4,145.92
A028_T1,A028,T1,1.0
A028_T2,A028,T2,22.82
A028_T3,A028,T3,72.26
A028_T4,A028,T4,138.91
A029_T1,A029,T1,1.0
A029_T2,A029,T2,28.43
A029_T3,A029,T3,93.26
A029_T4,A029,T4,143.14
A030_T1,A030,T1,1.0
A030_T2,A030,T2,32.95
A030_T3,A030,T3,71.93
A030_T4,A030,T4,150.46
A031_T1,A031,T1,1.0
A031_T2,A031,T2,32.41
A031_T3,A031,T3,71.56
A031_T4,A031,T4,143.85
A032_T1,A032,T1,1.0
A032_T2,A032,T2,57.18
A032_T3,A032,T3,80.16
A032_T4,A032,T4,144.51
A033_T1,A033,T1,1.0
A033_T2,A033,T2,29.16
A033_T3,A033,T3,72.6
A033_T4,A033,T4,168.33
A034_T1,A034,T1,1.0
A034_T2,A034,T2,26.08
A034_T3,A034,T3,74.28
A034_T4,A034,T4,145.38
A035_T1,A035,T1,1.0
A035_T2,A035,T2,44.76
A035_T3,A035,T3,79.98
A035_T4,A035,T4,152.47
A036_T1,A036,T1,1.0
A036_T2,A036,T2,21.63
A036_T3,A036,T3,71.47
A036_T4,A036,T4,143.85
A037_T1,A037,T1,1.0
A037_T2,A037,T2,23.7
A037_T3,A037,T3,72.08
A037_T4,A037,T4,143.66
A038_T1,A038,T1,1.0
A038_T2,A038,T2,71.85
A038_T3,A038,T3,72.86
A038_T4,A038,T4,152.89
A039_T1,A039,T1,1.0
A039_T2,A039,T2,28.65
A039_T3,A039,T3,98.84
A039_T4,A039,T4,246.24
A040_T1,A040,T1,1.0
A040_T2,A040,T2,26.26
A040_T3,A040,T3,71.28
A040_T4,A040,T4,143.53
A041_T1,A041,T1,1.0
A041_T2,A041,T2,31.78
A041_T3,A041,T3,75.74
A041_T4,A041,T4,141.84
A042_T1,A042,T1,1.0
A042_T2,A042,T2,28.93
A042_T3,A042,T3,72.17
A042_T4,A042,T4,146.02
A043_T1,A043,T1,1.0
A043_T2,A043,T2,25.62
A043_T3,A043,T3,64.94
A043_T4,A043,T4,149.33
A044_T1,A044,T1,1.0
A044_T2,A044,T2,47.66
A044_T3,A044,T3,91.63
A044_T4,A044,T4,155.27
A045_T1,A045,T1,1.0
A045_T2,A045,T2,24.66
A045_T3,A045,T3,72.23
A045_T4,A045,T4,151.52
A046_T1,A046,T1,1.0
A046_T2,A046,T2,24.32
A046_T3,A046,T3,73.05
A046_T4,A046,T4,147.94
A047_T1,A047,T1,1.0
A047_T2,A047,T2,23.46
A047_T3,A047,T3,76.85
A047_T4,A047,T4,144.22
A048_T1,A048,T1,1.0
A048_T2,A048,T2,23.91
A048_T3,A048,T3,81.15
A048_T4,A048,T4,146.3
A049_T1,A049,T1,1.0
A049_T2,A049,T2,27.12
A049_T3,A049,T3,111.38
A049_T4,A049,T4,168.86
A050_T1,A050,T1,1.0
A050_T2,A050,T2,24.73
A050_T3,A050,T3,93.39
A050_T4,A050,T4,148.69
A051_T1,A051,T1,1.0
A051_T2,A051,T2,17.16
A051_T3,A051,T3,65.63
A051_T4,A051,T4,146.99
A052_T1,A052,T1,1.0
A052_T2,A052,T2,31.76
A052_T3,A052,T3,80.98
A052_T4,A052,T4,153.27
A053_T1,A053,T1,1.0
A053_T2,A053,T2,32.71
A053_T3,A053,T3,78.28
A053_T4,A053,T4,148.9
A054_T1,A054,T1,1.0
A054_T2,A054,T2,16.9
A054_T3,A054,T3,72.83
A054_T4,A054,T4,136.83
A055_T1,A055,T1,1.0
A055_T2,A055,T2,23.24
A055_T3,A055,T3,74.48
