item_name,Difficulty,Overall_Discrimination,Discrim_Source,Discrim_Destination
TC_ICR-D-i1,0.5699482560157776,1.3872342,0.0,1.3872342
TC_ICR-D-i2,0.6017589569091797,2.1804233,0.0,2.1804233
TC_ICR-D-i3,0.3070843517780304,1.4364929,0.0,1.4364929
TC_ICR-D-i4,0.4338114261627197,1.8941654,0.0,1.8941654
TC_ICR-D-i5,0.782548189163208,1.7058334,0.0,1.7058334
TC_ICR-D-i6,0.5550826787948608,1.5339109,0.0,1.5339109
TC_ICR-U-i1,-0.1548417955636978,1.9057194,1.9057194,0.0
TC_ICR-U-i2,-0.3817737996578216,1.8786907,1.8786907,0.0
TC_ICR-U-i3,-0.3931148052215576,2.0035622,2.0035622,0.0
TC_ICR-U-i4,-0.4383174777030945,1.6717404,1.6717404,0.0
TC_ICR-U-i5,-0.1297312676906585,2.1961813,2.1961813,0.0
TC_ICR-U-i6,-0.0633941739797592,1.6672678,1.6672678,0.0
TC_IFR-D-i1,0.5232983827590942,1.3103482,0.0,1.3103482
TC_IFR-D-i2,0.5936444401741028,1.6313956,0.0,1.6313956
TC_IFR-D-i3,0.577566921710968,1.6642977,0.0,1.6642977
TC_IFR-D-i4,0.8387171030044556,1.5337187,0.0,1.5337187
TC_IFR-D-i5,1.3073320388793943,1.2383938,0.0,1.2383938
TC_IFR-D-i6,1.6261396408081057,1.201786,0.0,1.201786
TC_IFR-U-i1,-0.6066163182258606,1.4335068,1.4335068,0.0
TC_IFR-U-i2,0.0174183547496795,1.4879255,1.4879255,0.0
TC_IFR-U-i3,-0.1452612727880478,1.6073427,1.6073427,0.0
TC_IFR-U-i4,0.5551446676254272,1.3576201,1.3576201,0.0
TC_IFR-U-i5,0.6578572392463684,1.5042251,1.5042251,0.0
TC_IFR-U-i6,1.914250373840332,0.94821686,0.94821686,0.0
TC_IRE-D-i1,0.3198874592781067,1.3711628,0.0,1.3711628
TC_IRE-D-i2,0.4977748394012451,2.0079162,0.0,2.0079162
TC_IRE-D-i3,0.126304417848587,1.5412027,0.0,1.5412027
TC_IRE-D-i4,0.2849093079566955,1.8650525,0.0,1.8650525
TC_IRE-D-i5,0.5562148094177246,1.4190322,0.0,1.4190322
TC_IRE-D-i6,0.350063145160675,1.6199486,0.0,1.6199486
TC_IRE-U-i1,-0.561057984828949,1.7845318,1.7845318,0.0
TC_IRE-U-i2,-0.6799229383468628,1.6718501,1.6718501,0.0
TC_IRE-U-i3,-0.6711204051971436,1.8788705,1.8788705,0.0
TC_IRE-U-i4,-0.6894235014915466,1.2883085,1.2883085,0.0
TC_IRE-U-i5,-0.344606876373291,1.985325,1.985325,0.0
TC_IRE-U-i6,-0.4005522131919861,1.5737723,1.5737723,0.0
