composite_ID,theta_Source,theta_Destination
A010_T1,-0.3108989,-0.18136874
A010_T2,-0.72092354,-1.0370327
A010_T3,-0.68264925,-0.8030396
A010_T4,-0.75999975,-1.3974217
A011_T1,-0.1379392,0.19623198
A011_T2,-0.40123296,-0.36333618
A011_T3,-0.42558017,-0.13706665
A011_T4,-1.4373693,-0.79898894
A012_T1,-0.39230445,-0.20956913
A012_T2,-1.4800447,-0.682899
A012_T3,-0.3759962,-0.68401223
A012_T4,-1.0021304,-0.34032276
A013_T1,-0.8279176,-1.162997
A013_T2,-0.96569234,0.22487366
A013_T3,-1.3539978,-0.33525032
A013_T4,-1.1706959,-1.8239713
A014_T1,-0.4583765,-0.66621673
A014_T2,-0.5655716,0.06331209
A014_T3,-0.72424966,-0.88762206
A014_T4,-0.6832523,-0.806236
A015_T1,-0.35414395,-0.43783063
A015_T2,-0.18982317,-0.43825528
A015_T3,-0.28933722,-0.76876855
A015_T4,-0.586955,-0.5559466
A016_T1,-0.45088306,-0.016394353
A016_T2,-0.76128316,0.16218348
A016_T3,-1.3042711,-1.108709
A016_T4,-1.0018669,-1.155687
A017_T1,-0.30301416,-0.09132848
A017_T2,-0.14915083,-0.28459984
A017_T3,-0.005373801,-0.00015579224
A017_T4,0.030855292,-0.21775657
A018_T1,-0.43954885,-0.35127553
A018_T2,-0.4229086,-0.99143004
A018_T3,-0.53932226,-0.8327171
A018_T4,-0.93315405,-1.6075743
A019_T1,-1.0009803,-1.7753458
A019_T2,-0.9682805,-1.8774502
A019_T3,-1.2388692,-1.1914177
A019_T4,-1.1361588,-1.5443704
A020_T1,-0.42795095,-0.9351911
A020_T2,-0.44205743,-0.6846908
A020_T3,-1.6706046,-0.5802989
A020_T4,-1.7569638,-1.0889382
A021_T1,-0.89078367,-0.42247242
A021_T2,-0.8504972,-0.8099781
A021_T3,-1.0755261,-0.98360384
A021_T4,-0.29340324,-0.7452975
A022_T1,-0.4852814,-1.377575
A022_T2,-0.6951389,-2.018942
A022_T3,-0.5325074,-1.3941609
A022_T4,-0.530393,-2.2716188
A023_T1,-0.47202027,-0.8967467
A023_T2,-0.93944776,-0.16871227
A023_T3,-1.2807683,-0.5996533
A023_T4,-0.7483747,-0.77175325
A024_T1,-0.8295285,-0.87349665
A024_T2,-0.8552446,-0.5912097
A024_T3,-1.1376619,-0.99342185
A024_T4,-0.7399635,-1.4373827
A025_T1,-0.23241225,-0.58792794
A025_T2,-0.3597789,-0.4140724
A025_T3,-0.9745641,-0.8263933
A025_T4,-1.041953,-1.9701414
A026_T1,-0.65029925,0.10146481
