model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,renorm_weight
SquareRoot,1534.234283944571,1571.7111777659145,-759.1171419722855,7.0,False,0.0,0.0422001123115928,0.0422001123115928,0.04236796827602395
Exp_slow,1534.234283944571,1571.7111777659145,-759.1171419722855,7.0,False,0.0,0.0422001123115928,0.0844002246231857,0.04236796827602395
CubeRoot,1534.3321349139817,1571.8090287353248,-759.1660674569907,7.0,False,0.0978509694105014,0.040185144910612,0.1245853695337977,0.040344986102620474
Root_033,1534.332604795929,1571.8094986172723,-759.1663023979645,7.0,False,0.0983208513580393,0.0401757048825038,0.1647610744163015,0.04033550852567803
Root_067,1534.44851868752,1571.9254125088632,-759.22425934376,7.0,False,0.2142347429489746,0.0379134340982183,0.2026745085145199,0.03806423929035768
FourthRoot,1534.4783834431073,1571.9552772644506,-759.2391917215537,7.0,False,0.2440994985363431,0.0373515023071061,0.240026010821626,0.03750007234873107
LogLog,1534.8038965888743,1572.2807904102178,-759.4019482944373,7.0,False,0.569612644303561,0.0317412329706123,0.2717672437922384,0.031867487498874594
PowerLaw_10,1534.881731207738,1572.3586250290814,-759.440865603869,7.0,False,0.6474472631671233,0.0305296777306915,0.3022969215229299,0.030651113153929693
Reciprocal,1534.881731207738,1572.3586250290814,-759.440865603869,7.0,False,0.6474472631671233,0.0305296777306915,0.3328265992536214,0.030651113153929693
PowerLaw_09,1534.882129501152,1572.3590233224954,-759.4410647505761,7.0,False,0.64784555658116,0.0305235984512594,0.3633501977048809,0.03064500969344081
PowerLaw_08,1534.897723506804,1572.3746173281477,-759.4488617534021,7.0,False,0.6634395622331795,0.0302865312756001,0.3936367289804811,0.03040699955490237
PowerLaw_07,1534.9298418027774,1572.4067356241208,-759.4649209013887,7.0,False,0.6955578582064845,0.0298040399569338,0.4234407689374149,0.029922589069646503
PowerLaw_06,1534.9797672806972,1572.4566611020405,-759.4898836403486,7.0,False,0.745483336126199,0.0290692587191227,0.4525100276565377,0.02918488515209446
PowerLaw_05,1535.048715066894,1572.5256088882377,-759.5243575334471,7.0,False,0.8144311223231853,0.0280842050738795,0.4805942327304172,0.02819591333885166
PowerLaw_04,1535.1378097444697,1572.6147035658128,-759.5689048722347,7.0,False,0.9035257998984888,0.0268605853235491,0.5074548180539664,0.0269674264954725
PowerLaw_03,1535.2480624927166,1572.72495631406,-759.6240312463583,7.0,True,1.0137785481456376,0.0254199324493999,0.5328747505033664,0.0255210432532187
PowerLaw_02,1535.380348966737,1572.8572427880804,-759.6901744833685,7.0,False,1.1460650221661126,0.0237929750553897,0.5566677255587562,0.023887614442724026
Recip_sq,1535.4252905148278,1572.902184336171,-759.7126452574139,7.0,False,1.1910065702568318,0.0232642907080869,0.5799320162668431,0.023356827190567777
PowerLaw_01,1535.5353890305687,1573.012282851912,-759.7676945152843,7.0,False,1.3011050859977331,0.0220182210354849,0.601950237302328,0.02210580112768182
SquareRoot+Lin,1535.6720510682626,1577.833556617274,-758.8360255341313,8.0,False,1.4377671236916283,0.0205639454316786,0.6225141827340066,0.020645740969743927
Log2,1535.7137299805008,1573.190623801844,-759.8568649902504,7.0,False,1.4794460359298682,0.02013983842136,0.6426540211553666,0.02021994702336427
Log,1535.7137299805072,1573.1906238018505,-759.8568649902536,7.0,False,1.4794460359362347,0.0201398384212959,0.6627938595766626,0.02021994702329992
Log10,1535.7137299805408,1573.1906238018842,-759.8568649902704,7.0,False,1.479446035969886,0.020139838420957,0.6829336979976197,0.020219947022959667
Recip+Lin,1535.786277365135,1577.9477829141465,-758.8931386825675,8.0,False,1.5519934205640311,0.0194223831609255,0.7023560811585453,0.01949963799932395
