composite_ID,n_ratings,n_unique_values,uses_full_scale,uses_extremes_only,rating_mean,rating_sd,pct_extremes,unique_values
A010_T1,36,5,False,False,0.7222,0.2992,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A010_T2,36,5,False,False,0.6278,0.2987,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A010_T3,36,5,False,False,0.4611,0.2937,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A010_T4,36,5,False,False,0.5056,0.3214,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A011_T1,36,5,False,False,0.8111,0.2865,63.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A011_T2,36,5,False,False,0.7389,0.2741,47.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A011_T3,36,5,False,False,0.6667,0.2582,22.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A011_T4,36,5,False,False,0.5111,0.2558,11.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A012_T1,36,5,False,False,0.8278,0.2411,55.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A012_T2,36,5,False,False,0.5444,0.2608,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A012_T3,36,5,False,False,0.6056,0.3179,36.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A012_T4,36,5,False,False,0.5500,0.2882,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A013_T1,36,5,False,False,0.5833,0.3444,33.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A013_T2,36,5,False,False,0.5222,0.3137,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A013_T3,36,5,False,False,0.5722,0.3437,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A013_T4,36,5,False,False,0.3556,0.1892,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A014_T1,36,5,False,False,0.8333,0.2186,50.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A014_T2,36,5,False,False,0.8000,0.2357,47.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A014_T3,36,5,False,False,0.6389,0.2782,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A014_T4,36,5,False,False,0.6222,0.2615,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A015_T1,36,4,False,False,0.8833,0.2128,75.0000,"[0.2, 0.4, 0.6, 1.0]"
A015_T2,36,5,False,False,0.6944,0.3636,55.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A015_T3,36,4,False,False,0.6222,0.3583,44.4444,"[0.2, 0.4, 0.6, 1.0]"
A015_T4,36,4,False,False,0.5444,0.3515,33.3333,"[0.2, 0.4, 0.6, 1.0]"
A016_T1,36,5,False,False,0.7944,0.2426,47.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A016_T2,36,5,False,False,0.7167,0.2723,36.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A016_T3,36,5,False,False,0.6278,0.2411,16.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A016_T4,36,5,False,False,0.4889,0.2470,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A017_T1,36,3,False,False,0.7444,0.3670,66.6667,"[0.2, 0.6, 1.0]"
A017_T2,36,2,False,False,0.8000,0.3464,75.0000,"[0.2, 1.0]"
A017_T3,36,2,False,False,0.9333,0.2211,91.6667,"[0.2, 1.0]"
A017_T4,36,2,False,False,0.7333,0.3771,66.6667,"[0.2, 1.0]"
A018_T1,36,4,False,False,0.6889,0.3478,52.7778,"[0.2, 0.4, 0.6, 1.0]"
A018_T2,36,4,False,False,0.5611,0.3706,38.8889,"[0.2, 0.4, 0.6, 1.0]"
A018_T3,36,3,False,False,0.3667,0.3145,19.4444,"[0.2, 0.4, 1.0]"
A018_T4,36,4,False,False,0.2667,0.1633,2.7778,"[0.2, 0.4, 0.6, 1.0]"
A019_T1,36,4,False,False,0.5111,0.1370,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A019_T2,36,2,False,False,0.4833,0.0986,0.0000,"[0.4, 0.6]"
A019_T3,36,2,False,False,0.5222,0.0975,0.0000,"[0.4, 0.6]"
A019_T4,36,3,False,False,0.4278,0.1346,0.0000,"[0.2, 0.4, 0.6]"
A020_T1,36,5,False,False,0.5889,0.3557,36.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A020_T2,36,5,False,False,0.6556,0.3419,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A020_T3,36,5,False,False,0.4667,0.2749,8.3333,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A020_T4,36,4,False,False,0.3611,0.2151,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A021_T1,36,5,False,False,0.7222,0.2507,38.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A021_T2,36,5,False,False,0.6611,0.2821,36.1111,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A021_T3,36,5,False,False,0.6556,0.2733,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A021_T4,36,5,False,False,0.6111,0.3494,41.6667,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A022_T1,36,5,False,False,0.4167,0.3140,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A022_T2,36,5,False,False,0.3556,0.2455,2.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A022_T3,36,4,False,False,0.4333,0.3109,13.8889,"[0.2, 0.6, 0.8, 1.0]"
A022_T4,36,4,False,False,0.3111,0.1728,0.0000,"[0.2, 0.4, 0.6, 0.8]"
A023_T1,36,5,False,False,0.6833,0.3476,47.2222,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A023_T2,36,4,False,False,0.7000,0.2728,30.5556,"[0.2, 0.6, 0.8, 1.0]"
A023_T3,36,5,False,False,0.6556,0.2339,19.4444,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A023_T4,36,5,False,False,0.6611,0.2741,30.5556,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A024_T1,36,5,False,False,0.5889,0.3053,27.7778,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A024_T2,36,4,False,False,0.5889,0.3230,36.1111,"[0.2, 0.4, 0.6, 1.0]"
A024_T3,36,5,False,False,0.6167,0.2723,25.0000,"[0.2, 0.4, 0.6, 0.8, 1.0]"
A024_T4,36,5,False,False,0.4833,0.2804,13.8889,"[0.2, 0.4, 0.6, 0.8, 1.0]"
