UID,n_obs,theta_mean,theta_sd,theta_range,theta_min,theta_max
A010,8,-0.2915544225,0.3178654149362133,0.9844674800000001,-0.80998075,0.17448673
A011,8,-0.17074008875,0.4747844929661413,1.5223360000000001,-0.9402442,0.5820918
A012,8,-0.289206255,0.416591238151862,1.1868161499999998,-0.8692789,0.31753725
A013,8,-0.54293872925,0.4879828746580422,1.297655116,-1.3484422,-0.050787084
A014,8,-0.20776159024999996,0.3651196953161057,1.1415336,-0.8566756,0.284858
A015,8,0.09706131362500002,0.40298559766416714,1.1988075,-0.6451764,0.5536311
A016,8,-0.3343782555,0.3746872278758693,1.13359305,-0.9673253,0.16626775
A017,8,0.54323486,0.2256779730629299,0.6473078400000001,0.21982366,0.8671315
A018,8,-0.42175747875,0.5316451711509038,1.5021368000000002,-1.1772233,0.3249135
A019,8,-1.7071543500000002,0.0762342950486033,0.2348901000000001,-1.7895333,-1.5546432
A020,8,-0.64043272825,0.6141287406873742,1.67962225,-1.5627393,0.11688295
A021,8,-0.1815483245,0.31918039052900904,1.07339999,-0.72609866,0.34730133
A022,8,-1.061919805,0.38153168336823046,1.11406806,-1.6193532,-0.50528514
A023,8,-0.196304637375,0.22106255838384756,0.73423875,-0.5276897,0.20654905
A024,8,-0.39212325125,0.34734927271503224,1.26281573,-1.0978867,0.16492903
A025,8,-0.40940544125,0.6129303599761555,1.80778647,-1.3529526,0.45483387
A026,8,-0.14340483525000003,0.1639122472768159,0.43152584,-0.34990782,0.08161802
A027,8,-0.5103888975,0.617857386512983,1.54578309,-1.3038985,0.24188459
A028,8,-0.30305805874999997,0.5594930698590489,1.794759,-1.3177925,0.4769665
A029,8,0.141071719375,0.37128087571980734,1.0266398300000001,-0.2605461,0.76609373
A030,8,-0.2980411775,0.3442871026062583,1.0195996999999999,-0.780341,0.2392587
A031,8,-0.16115226437499997,0.6001454894452253,1.8002409,-0.9255208,0.8747201
A032,8,-0.05702183999999999,0.20689380525686982,0.6914827299999999,-0.33580983,0.3556729
A033,8,-0.27307767625,0.27124365803679895,0.88445878,-0.8157016,0.06875718
A034,8,0.15897939,0.3811710992542051,1.0691791,-0.5549027,0.5142764
A035,8,-0.48583626874999997,0.42293513110232606,1.3000108799999999,-1.2231709,0.07683998
A036,8,-1.5452305124999999,0.09927103235521977,0.34249620000000003,-1.7673868,-1.4248906
A037,8,-0.4113701775,0.4639503243906484,1.339138,-1.0604337,0.2787043
A038,8,-0.036746650625,0.15600387498459017,0.47729325,-0.28523612,0.19205713
A039,8,0.28871060374999996,0.36964682653947806,1.23755831,-0.43495274,0.80260557
A040,8,-0.3628018417125,0.24320573556913425,0.6723218963,-0.6703814,0.0019404963
A041,8,-0.08250675875000002,0.3750795808854042,1.2962704,-0.7230804,0.57319
A042,8,-1.25705006875,0.4443173563864677,1.43686535,-1.7239662,-0.28710085
A043,8,0.371785275,0.3332296273030363,1.04611177,-0.34350193,0.70260984
