UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A010,T1,Source,1.623562,1.0,0.8341061
A010,T2,Source,0.09898508,21.9,0.10672693
A010,T3,Source,-0.5057274,80.88,-0.50411737
A010,T4,Source,0.5918101,145.31,0.24549805
A011,T1,Source,0.12731029,1.0,0.9956194
A011,T2,Source,-0.20856883,24.57,0.6100838
A011,T3,Source,-0.8450841,72.55,0.25311512
A011,T4,Source,-0.13091515,148.85,-0.1358129
A012,T1,Source,1.0843484,1.0,1.2708665
A012,T2,Source,-0.13956255,25.6,0.061837696
A012,T3,Source,1.1480632,166.33,0.95731443
A012,T4,Source,-0.95036143,166.87,-0.29048738
A013,T1,Source,-0.15501398,1.0,0.02823129
A013,T2,Source,-0.8239752,24.77,-0.63382065
A013,T3,Source,0.5210637,79.66,0.071838245
A013,T4,Source,-1.5770361,147.13,-1.0986202
A014,T1,Source,0.47304404,1.0,0.8832661
A014,T2,Source,1.1207099,25.66,1.1061568
A014,T3,Source,0.04152508,70.56,0.44146854
A014,T4,Source,-1.1226914,148.87,0.31318724
A015,T1,Source,1.200968,1.0,1.6133941
A015,T2,Source,1.5226954,23.69,1.1994971
A015,T3,Source,1.1774372,70.59,1.0238174
A015,T4,Source,-0.10652651,146.54,0.45747325
A016,T1,Source,1.356192,1.0,1.1935731
A016,T2,Source,1.3373035,32.85,0.45345017
A016,T3,Source,-0.013329637,80.64,0.38719904
A016,T4,Source,-1.0709041,150.8,-0.54321486
A017,T1,Source,-0.2286647,1.0,0.9190474
A017,T2,Source,0.8418083,20.61,1.3861693
A017,T3,Source,0.1830041,61.28,2.6160455
A017,T4,Source,1.0870038,140.49,1.528282
A018,T1,Source,0.9366276,1.0,0.5263299
A018,T2,Source,0.34145153,34.03,0.32644776
A018,T3,Source,-0.39613545,83.64,-0.7368152
A018,T4,Source,0.23495352,150.87,-1.443502
A019,T1,Source,-0.8907665,1.0,-0.19832489
A019,T2,Source,-0.8944451,28.69,-0.23782247
A019,T3,Source,-0.5290039,83.68,-0.29222658
A019,T4,Source,-1.2386124,154.76,-0.6414612
A020,T1,Source,0.35700476,1.0,0.29489344
A020,T2,Source,0.35810092,26.85,0.8611098
A020,T3,Source,-0.56137884,78.25,-0.48277485
A020,T4,Source,-1.6343551,145.78,-1.0704167
A021,T1,Source,1.2139407,1.0,0.9197226
A021,T2,Source,-0.017297959,30.21,0.6847735
A021,T3,Source,0.36036015,74.19,0.79250264
A021,T4,Source,1.0062183,140.39,1.1536931
A022,T1,Source,0.1581856,1.0,-0.2812787
A022,T2,Source,0.90218073,24.15,-0.66199654
A022,T3,Source,0.64592147,74.46,-0.33129498
A022,T4,Source,0.74378496,141.71,-1.0014925
A023,T1,Source,0.8170031,1.0,0.66957635
A023,T2,Source,0.5076978,25.63,0.6646996
A023,T3,Source,0.6582759,72.2,0.37949002
A023,T4,Source,-0.32591987,145.07,0.41859582
A024,T1,Source,0.31113845,1.0,0.3095075
A024,T2,Source,0.54446435,29.57,0.8890116
A024,T3,Source,-0.2945651,91.47,0.17760481
A024,T4,Source,-1.4681152,145.65,-0.7411242
A025,T1,Source,1.0412298,1.0,1.5201635
A025,T2,Source,1.480383,23.33,0.80029917
A025,T3,Source,0.13729797,72.94,0.34703553
A025,T4,Source,-0.3094319,137.74,-1.2910038
A026,T1,Source,0.8561924,1.0,0.30597228
A026,T2,Source,-0.1953155,26.48,0.1270002
A026,T3,Source,0.7336966,75.46,0.4475891
A026,T4,Source,-0.42854974,147.65,0.34728104
A027,T1,Source,0.59530455,1.0,0.9088447
A027,T2,Source,0.7602098,28.26,0.55407584
A027,T3,Source,-0.47716057,74.58,-0.25326005
A027,T4,Source,-0.4226555,145.92,-1.0227153
A028,T1,Source,1.1920228,1.0,0.93658507
A028,T2,Source,-0.37323314,22.82,0.41178814
A028,T3,Source,0.4525285,72.26,-0.2597355
A028,T4,Source,-1.4747403,138.91,-0.7819806
A029,T1,Source,1.4011933,1.0,1.6593924
A029,T2,Source,0.22787775,28.43,1.3603114
A029,T3,Source,1.1538624,93.26,0.9016798
A029,T4,Source,-0.056302976,143.14,0.25560948
A030,T1,Source,0.77168596,1.0,0.34983945
A030,T2,Source,1.0246594,32.95,1.079581
A030,T3,Source,0.54660773,71.93,-0.025663225
A030,T4,Source,1.3088306,150.46,1.0084872
A031,T1,Source,1.2707294,1.0,1.7817703
A031,T2,Source,-0.06876846,32.41,0.496819
A031,T3,Source,-0.23774107,71.56,-0.17503846
A031,T4,Source,-1.0014096,143.85,-0.8072562
A032,T1,Source,0.95065767,1.0,1.0985742
A032,T2,Source,-0.558087,57.18,-0.80952066
A032,T3,Source,0.03167592,80.16,0.06827313
A032,T4,Source,1.2263699,144.51,0.2156567
A033,T1,Source,0.01302593,1.0,0.32084683
A033,T2,Source,0.11565804,29.16,0.22721334
A033,T3,Source,1.0797325,72.6,0.77439886
A033,T4,Source,-0.57237154,168.33,-0.099368066
A034,T1,Source,1.4213097,1.0,1.8211368
A034,T2,Source,1.3198788,26.08,1.6283642
A034,T3,Source,0.29753846,74.28,1.0441364
A034,T4,Source,0.2194541,145.38,0.6053154
A035,T1,Source,-0.58022076,1.0,0.1447713
A035,T2,Source,0.94498247,44.76,0.8905213
A035,T3,Source,-0.67052317,79.98,0.07136492
A035,T4,Source,-1.0736576,152.47,-0.3635215
A036,T1,Source,0.56033707,1.0,-0.7466725
A036,T2,Source,0.11009441,21.63,-0.86961955
A036,T3,Source,-0.44275582,71.47,-0.918497
A036,T4,Source,-1.2420775,143.85,-1.3507532
A037,T1,Source,0.971286,1.0,1.1950513
A037,T2,Source,0.94823486,23.7,0.5215914
A037,T3,Source,0.0045165215,72.08,-0.6600132
A037,T4,Source,-0.5205274,143.66,-1.3404595
A038,T1,Source,0.71647024,1.0,0.67471296
A038,T2,Source,-0.52280927,71.85,0.57769156
A038,T3,Source,1.3734354,72.86,0.50586396
A038,T4,Source,-0.27067098,152.89,0.68775254
A039,T1,Source,1.3928413,1.0,1.0134212
A039,T2,Source,0.31963685,28.65,1.1536825
A039,T3,Source,1.0655857,98.84,0.9467811
A039,T4,Source,0.74151385,246.24,0.33422208
A040,T1,Source,-0.46198902,1.0,0.037014283
A040,T2,Source,-0.335709,26.26,-0.13419348
A040,T3,Source,-1.4675875,71.28,-1.6159647
A040,T4,Source,-1.0677122,143.53,-1.7481036
A041,T1,Source,1.079175,1.0,1.5926738
A041,T2,Source,-1.0853513,31.78,-0.4118361
A041,T3,Source,-0.1782166,75.74,0.4543916
A041,T4,Source,0.9023358,141.84,0.690669
A042,T1,Source,-0.5589121,1.0,-0.6321535
A042,T2,Source,-1.3708228,28.93,-1.0748817
A042,T3,Source,-0.8300745,72.17,-1.1776452
A042,T4,Source,-1.5882493,146.02,-1.1313311
A043,T1,Source,0.66669923,1.0,0.9314749
A043,T2,Source,0.21157885,25.62,1.7443565
A043,T3,Source,-0.3631573,64.94,1.1612022
A043,T4,Source,-0.15410642,149.33,0.20009018
A044,T1,Source,-0.77502024,1.0,-1.23271
A044,T2,Source,-0.4404797,47.66,-0.5426331
A044,T3,Source,-1.4569299,91.63,-1.8462261
A044,T4,Source,-1.2631737,155.27,-1.4590483
A045,T1,Source,-0.5580017,1.0,-0.48771042
A045,T2,Source,-0.8744425,24.66,-0.75291854
A045,T3,Source,-0.7973534,72.23,-0.33701846
A045,T4,Source,-0.57261163,151.52,-0.71758026
A046,T1,Source,-0.6971506,1.0,0.053599805
A046,T2,Source,-1.4928403,24.32,-0.29500353
A046,T3,Source,-1.7452676,73.05,-0.37216565
A046,T4,Source,-0.63528097,147.94,-0.63073695
A047,T1,Source,-0.35001668,1.0,0.17156133
A047,T2,Source,-0.16671039,23.46,0.063802354
A047,T3,Source,-1.3709793,76.85,-0.05376612
A047,T4,Source,-1.6715268,144.22,-0.9707118
A048,T1,Source,1.1008136,1.0,0.6145826
A048,T2,Source,0.42243886,23.91,0.6180052
A048,T3,Source,-0.026019838,81.15,-0.16286343
A048,T4,Source,-0.17341782,146.3,-0.32606968
A049,T1,Source,1.1971763,1.0,1.6326123
A049,T2,Source,-1.2098973,27.12,-0.15065402
A049,T3,Source,0.85623467,111.38,0.37734783
A049,T4,Source,-0.14212708,168.86,-0.7039141
A050,T1,Source,0.004513393,1.0,0.4451789
A050,T2,Source,-0.64157915,24.73,0.36321643
A050,T3,Source,-0.91331995,93.39,-2.4990115
A050,T4,Source,-0.3250553,148.69,-2.7438962
A051,T1,Source,1.209352,1.0,1.0015105
A051,T2,Source,-0.22324474,17.16,1.0506754
A051,T3,Source,-0.78436285,65.63,-0.3211199
A051,T4,Source,-0.21998222,146.99,-0.10859255
A052,T1,Source,0.78120226,1.0,0.7047565
A052,T2,Source,-0.19870977,31.76,0.102837585
A052,T3,Source,0.39233577,80.98,-0.0015698769
A052,T4,Source,-0.8431323,153.27,-0.45169076
A053,T1,Source,1.0110499,1.0,0.84855944
A053,T2,Source,0.9028614,32.71,-0.7995727
A053,T3,Source,-0.8095616,78.28,-0.7742192
A053,T4,Source,-0.7212973,148.9,-0.66131234
A054,T1,Source,-0.009010122,1.0,1.8154135
A054,T2,Source,1.0112917,16.9,1.1800704
A054,T3,Source,1.1221242,72.83,1.6393541
A054,T4,Source,1.0953832,136.83,1.33212
A055,T1,Source,-0.104547046,1.0,0.574144
A055,T2,Source,0.97470355,23.24,-0.16950391
A055,T3,Source,-1.0984837,74.48,-0.89608663
A055,T4,Source,-1.8678097,149.21,-1.7656777
A056,T1,Source,0.7685593,1.0,0.45213616
A056,T2,Source,-0.08752507,33.61,-0.6433356
A056,T3,Source,0.2292436,71.46,-0.5442299
A056,T4,Source,-1.4955524,147.84,-0.9695138
A057,T1,Source,0.12942022,1.0,0.6876959
A057,T2,Source,-1.3945471,24.78,-0.57829076
A057,T3,Source,-0.56744486,73.83,-1.252599
A057,T4,Source,-1.7203946,145.06,-2.564727
A058,T1,Source,1.3013333,1.0,0.6814561
A058,T2,Source,-0.7516616,22.96,-1.621224
A058,T3,Source,0.24483971,66.28,-0.60718966
A058,T4,Source,-0.613019,143.48,-1.5838706
A059,T1,Source,0.78058815,1.0,0.23920143
A059,T2,Source,0.78051406,30.4,-0.053322088
A059,T3,Source,1.2624742,79.78,-0.57601714
A059,T4,Source,0.8706269,151.93,0.21686792
A060,T1,Source,-0.73423666,1.0,0.24117829
A060,T2,Source,0.89305395,24.87,0.6847152
A060,T3,Source,-0.4122879,94.68,0.4573826
A060,T4,Source,0.5975928,143.91,0.68922484
A061,T1,Source,1.7025199,1.0,0.4348759
A061,T2,Source,0.41044217,35.16,1.2298143
A061,T3,Source,0.69539714,82.55,0.32175243
A061,T4,Source,-0.7289813,146.56,0.582617
A062,T1,Source,0.62293416,1.0,1.2001371
A062,T2,Source,-0.07864903,44.69,0.000834527
A062,T3,Source,-0.71697104,92.72,-0.6940866
A062,T4,Source,-0.91934156,149.18,-0.8138189
A063,T1,Source,1.103137,1.0,-0.13293676
A063,T2,Source,1.1051809,21.98,-0.29875752
A063,T3,Source,0.2864874,69.99,-0.94496095
A063,T4,Source,-0.9610751,141.09,-1.0068147
A064,T1,Source,0.73301834,1.0,0.9493055
A064,T2,Source,1.187793,37.65,-0.0040088473
A064,T3,Source,-0.08421605,82.99,-0.39947373
A064,T4,Source,-1.2915661,156.21,-1.0393686
A065,T1,Source,-1.3585184,1.0,-0.3550946
A065,T2,Source,-0.18607779,32.31,-1.0237894
A065,T3,Source,-1.534947,106.41,-1.6289951
A065,T4,Source,-1.4947524,187.43,-1.3768224
A066,T1,Source,-0.03744735,1.0,-0.2739165
A066,T2,Source,-0.48925865,23.35,-0.14154133
A066,T3,Source,-0.78109145,73.79,-0.41517866
A066,T4,Source,-1.5672717,164.93,-0.7867853
A067,T1,Source,0.33184186,1.0,-0.029404351
A067,T2,Source,-1.4980056,29.91,-1.3702686
A067,T3,Source,-1.2921559,73.19,-1.6940686
A067,T4,Source,-1.626856,144.19,-2.9207146
A068,T1,Source,1.1554995,1.0,1.6339319
A068,T2,Source,-0.113646984,30.49,1.4582552
A068,T3,Source,1.1442444,82.98,1.0063742
A068,T4,Source,-0.48383042,155.59,0.3517989
A069,T1,Source,-1.0576996,1.0,-0.28594458
A069,T2,Source,-0.9050108,24.96,-1.5041404
A069,T3,Source,-0.53834414,79.75,-1.8122358
A069,T4,Source,-1.7287896,140.22,-2.0647402
A070,T1,Source,-0.16930422,1.0,0.4542324
A070,T2,Source,0.23320425,24.25,-0.31655166
A070,T3,Source,-0.75356513,81.92,-1.4130342
A070,T4,Source,-1.1904025,149.2,-2.1247447
A071,T1,Source,0.5082413,1.0,1.3271756
A071,T2,Source,0.83159643,30.92,0.4215033
A071,T3,Source,-0.4841799,79.96,-0.16301413
A071,T4,Source,0.43548703,153.27,-0.056916684
A072,T1,Source,1.1708913,1.0,1.5426162
A072,T2,Source,1.1662811,33.76,1.1772798
A072,T3,Source,-0.9678977,83.54,0.17890772
A072,T4,Source,-0.172895,154.89,-0.305306
A073,T1,Source,1.1209983,1.0,0.12170813
A073,T2,Source,0.3522422,66.66,0.0028061175
A073,T3,Source,1.3783715,66.9,0.30203983
A073,T4,Source,1.4486346,140.12,0.17517796
A074,T1,Source,1.0531274,1.0,0.98870414
A074,T2,Source,0.28312021,29.33,-0.1324366
A074,T3,Source,-0.56265223,73.02,-1.453707
A074,T4,Source,-0.6709876,147.21,-0.94918096
A075,T1,Source,1.2248234,1.0,0.25979865
A075,T2,Source,0.43895453,28.68,-0.0069382037
A075,T3,Source,-1.422566,71.37,-2.638019
A075,T4,Source,-0.6957722,244.53,-0.93872964
A076,T1,Source,0.15540236,1.0,-0.43817917
A076,T2,Source,-1.0829679,27.3,-1.2469751
A076,T3,Source,-1.1610296,74.88,-0.7288916
A076,T4,Source,-1.1055614,149.28,-1.7479918
A077,T1,Source,0.5334684,1.0,1.0310454
A077,T2,Source,-0.17786074,53.88,-0.91682047
A077,T3,Source,-0.0657532,78.36,-0.40170488
A077,T4,Source,-0.39172974,149.75,-0.10747531
A078,T1,Source,-0.5279406,1.0,-0.556103
A078,T2,Source,0.1811822,26.17,-0.4581931
A078,T3,Source,-0.7775617,72.3,-1.1432558
A078,T4,Source,-1.4361522,140.08,-1.5582061
A079,T1,Source,0.019097133,1.0,-0.14457574
A079,T2,Source,0.19691332,26.11,0.4830254
A079,T3,Source,-0.70234376,74.0,-0.5857522
A079,T4,Source,-0.62206274,194.42,-0.75935036
A080,T1,Source,0.10537331,1.0,1.0064683
A080,T2,Source,0.5328905,29.03,0.3322674
A080,T3,Source,0.045848988,72.87,0.0773038
A080,T4,Source,-0.66487795,145.77,-0.53412056
A081,T1,Source,0.37206882,1.0,0.7992755
A081,T2,Source,-0.42201942,31.39,0.55668974
A081,T3,Source,0.83210707,80.13,0.5462277
A081,T4,Source,-0.09271791,154.53,0.05126938
A082,T1,Source,0.071322605,1.0,0.7752854
A082,T2,Source,1.181799,27.97,0.18110365
A082,T3,Source,1.0123066,75.71,0.015849508
A082,T4,Source,-0.5707041,170.25,-0.8982514
A083,T1,Source,1.2475034,1.0,0.7796732
A083,T2,Source,0.6259196,25.15,0.3514038
A083,T3,Source,0.113821276,74.3,0.4812683
A083,T4,Source,0.19219941,144.91,-0.15915819
A084,T1,Source,0.8040474,1.0,-0.22959355
A084,T2,Source,0.14113443,27.25,-0.83394134
A084,T3,Source,-0.11596396,91.97,-0.64221627
A084,T4,Source,-0.59100777,162.51,-0.7588525
A085,T1,Source,-0.11570579,1.0,0.40074217
A085,T2,Source,1.1474876,24.51,1.4959512
A085,T3,Source,-0.103653476,71.4,0.5722143
A085,T4,Source,-0.4273231,170.65,-0.46485198
A086,T1,Source,0.7650894,1.0,1.0552716
A086,T2,Source,0.30255273,23.47,1.2843833
A086,T3,Source,-1.0298048,145.29,-0.3276325
A086,T4,Source,-0.8856172,169.55,-0.22770405
A087,T1,Source,-0.14446898,1.0,1.1185037
A087,T2,Source,0.79339594,31.07,0.30655718
