UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A010,T1,Source,1.623562,1.0,0.8341061,1.912719393958561,0.9039254163682574,-1.0087939775903036
A010,T2,Source,0.09898508,21.9,0.10672693,0.14126953608967047,0.12838957843293877,-0.012879957656731694
A010,T3,Source,-0.5057274,80.88,-0.50411737,-0.5613633207343357,-0.5228961135239991,0.038467207210336585
A010,T4,Source,0.5918101,145.31,0.24549805,0.7138971288209268,0.27634814154442117,-0.43754898727650565
A011,T1,Source,0.12731029,1.0,0.9956194,0.17418141385088334,1.076131822077124,0.9019504082262407
A011,T2,Source,-0.20856883,24.57,0.6100838,-0.2160862148792748,0.6650715567688722,0.881157771648147
A011,T3,Source,-0.8450841,72.55,0.25311512,-0.9556716498817136,0.2844695052137464,1.24014115509546
A011,T4,Source,-0.13091515,148.85,-0.1358129,-0.12585816630105265,-0.1302077777324017,-0.004349611431349043
A012,T1,Source,1.0843484,1.0,1.2708665,1.2861915733216247,1.369601856884096,0.08341028356247127
A012,T2,Source,-0.13956255,25.6,0.061837696,-0.13590582955764677,0.08052841998862342,0.2164342495462702
A012,T3,Source,1.1480632,166.33,0.95731443,1.3602236355439392,1.0352908436283772,-0.324932791915562
A012,T4,Source,-0.95036143,166.87,-0.29048738,-1.0779964134399316,-0.295122594380244,0.7828738190596876
A013,T1,Source,-0.15501398,1.0,0.02823129,-0.1538592913464892,0.044697077392980324,0.19855636873946952
A013,T2,Source,-0.8239752,24.77,-0.63382065,-0.9311446106656348,-0.6611864936812413,0.26995811698439354
A013,T3,Source,0.5210637,79.66,0.071838245,0.6316948479253616,0.09119106262180222,-0.5405037853035594
A013,T4,Source,-1.5770361,147.13,-1.0986202,-1.8061477717207153,-1.1567584365528099,0.6493893351679054
A014,T1,Source,0.47304404,1.0,0.8832661,0.5758994211640064,0.9563400899873828,0.38044066882337646
A014,T2,Source,1.1207099,25.66,1.1061568,1.328441048019759,1.1939874311842578,-0.13445361683550128
A014,T3,Source,0.04152508,70.56,0.44146854,0.07450510623515944,0.48529300062355174,0.4107878943883923
A014,T4,Source,-1.1226914,148.87,0.31318724,-1.2782315717047241,0.34851874368829744,1.6267503153930216
A015,T1,Source,1.200968,1.0,1.6133941,1.4216952472488982,1.7348067462157133,0.3131114989668151
A015,T2,Source,1.5226954,23.69,1.1994971,1.7955195846936283,1.2935073937556827,-0.5020121909379456
A015,T3,Source,1.1774372,70.59,1.0238174,1.3943541326296756,1.106196691212846,-0.28815744141682953
A015,T4,Source,-0.10652651,146.54,0.45747325,-0.09752030266501154,0.5023573141105077,0.5998776167755192
A016,T1,Source,1.356192,1.0,1.1935731,1.6020544860191144,1.287191191019318,-0.3148632949997965
A016,T2,Source,1.3373035,32.85,0.45345017,1.5801073935494496,0.49806788316779743,-1.0820395103816522
A016,T3,Source,-0.013329637,80.64,0.38719904,0.010767829776134854,0.42743054883402526,0.41666271905789043
A016,T4,Source,-1.0709041,150.8,-0.54321486,-1.2180584154533403,-0.5645820813367944,0.6534763341165458
A017,T1,Source,-0.2286647,1.0,0.9190474,-0.2394361853453446,0.9944903170249744,1.233926502370319
A017,T2,Source,0.8418083,20.61,1.3861693,1.0043772417282364,1.4925383627704116,0.48816112104217524
A017,T3,Source,0.1830041,61.28,2.6160455,0.2388936566471845,2.803839412707964,2.5649457560607796
A017,T4,Source,1.0870038,140.49,1.528282,1.2892769591036586,1.6440597376205472,0.35478277851688866
A018,T1,Source,0.9366276,1.0,0.5263299,1.114550518855,0.5757726687943227,-0.5387778500606774
A018,T2,Source,0.34145153,34.03,0.32644776,0.4229982916256485,0.36265718607682235,-0.06034110554882616
A018,T3,Source,-0.39613545,83.64,-0.7368152,-0.4340252758614837,-0.7709998729082284,-0.33697459704674465
A018,T4,Source,0.23495352,150.87,-1.443502,0.2992551847984642,-1.5244733874107523,-1.8237285722092165
A019,T1,Source,-0.8907665,1.0,-0.19832489,-1.0087513468950398,-0.1968584195780491,0.8118929273169907
A019,T2,Source,-0.8944451,28.69,-0.23782247,-1.0130256182431567,-0.23897096564080927,0.7740546526023475
A019,T3,Source,-0.5290039,83.68,-0.29222658,-0.5884089568552636,-0.29697693938346575,0.29143201747179787
A019,T4,Source,-1.2386124,154.76,-0.6414612,-1.4129235221600807,-0.6693328918610746,0.7435906302990061
A020,T1,Source,0.35700476,1.0,0.29489344,0.44107003776811415,0.3290137893300071,-0.11205624843810708
A020,T2,Source,0.35810092,26.85,0.8611098,0.4423436976607233,0.9327169160022846,0.4903732183415613
A020,T3,Source,-0.56137884,78.25,-0.48277485,-0.6260263326066386,-0.5001405964367401,0.1258857361698985
A020,T4,Source,-1.6343551,145.78,-1.0704167,-1.8727483696119567,-1.1266877032855804,0.7460606663263762
A021,T1,Source,1.2139407,1.0,0.9197226,1.4367686012198972,0.9952102191329409,-0.4415583820869563
A021,T2,Source,-0.017297959,30.21,0.6847735,0.0061569220871492475,0.7447061427780338,0.7385492206908846
A021,T3,Source,0.36036015,74.19,0.79250264,0.44496876210312164,0.8595675689857039,0.4145988068825822
A021,T4,Source,1.0062183,140.39,1.1536931,1.1954099586161613,1.2446709065618173,0.04926094794565605
A022,T1,Source,0.1581856,1.0,-0.2812787,0.21005632628964568,-0.28530424701118445,-0.49536057330083016
A022,T2,Source,0.90218073,24.15,-0.66199654,1.0745257079287476,-0.6912277890083034,-1.765753496937051
A022,T3,Source,0.64592147,74.46,-0.33129498,0.7767706889792367,-0.3386318912716154,-1.1154025802508523
A022,T4,Source,0.74378496,141.71,-1.0014925,0.8904810981929966,-1.0532003264047969,-1.9436814245977936
A023,T1,Source,0.8170031,1.0,0.66957635,0.9755553650239706,0.7285028543892851,-0.24705251063468547
A023,T2,Source,0.5076978,25.63,0.6646996,0.6161646235433147,0.7233032356022209,0.10713861205890618
