UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A010,T1,Destination,1.0,2.010915,0.5609358,2.4234206747488622,0.5990628992121678,-0.3419728505876689
A010,T2,Destination,21.9,1.0975147,0.5119907,1.310380390000311,0.5474706398371865,-0.0542101084806742
A010,T3,Destination,80.88,-1.186541,-0.33427307,-1.4728965661267595,-0.3445626775222551,0.21926318114851534
A010,T4,Destination,145.31,-0.4293288,-0.6992717,-0.5501820862836092,-0.729301987289175,-0.26924107962859545
A011,T1,Destination,1.0,1.1835473,1.5244261,1.415216954649631,1.6146628563657672,0.5397896713624604
A011,T2,Destination,24.57,0.07751111,0.7351063,0.06743675810294326,0.7826532813233537,0.438323923378251
A011,T3,Destination,72.55,-0.5014456,0.77250564,-0.6380613037604969,0.8220753368454206,0.662889556547123
A011,T4,Destination,148.85,-0.84890825,-0.04556107,-1.0614681352400643,-0.04023590346990604,0.2796713843425116
A012,T1,Destination,1.0,0.33868304,1.1086988,0.38569248818703544,1.1764512541653285,0.5776560709942378
A012,T2,Destination,25.6,-1.1255839,-0.038475133,-1.3986162008351717,-0.03276672883099882,0.38034064353630287
A012,T3,Destination,166.33,0.09193352,-0.3311227,0.0850114439588165,-0.341241922101035,-0.22379316631617552
A012,T4,Destination,166.87,-0.9537699,0.2555767,-1.189249175792824,0.27718867912249834,0.5017561196145603
A013,T1,Destination,1.0,-0.035398606,0.02446122,-0.07015139732849036,0.03357349006918503,0.039667003100194886
A013,T2,Destination,24.77,-0.3057711,0.16264062,-0.39961863935801034,0.17922622027260288,0.21893278813725123
A013,T3,Destination,79.66,0.9779469,0.25894642,1.1646789071359436,0.2807406479255259,-0.16853869639953598
A013,T4,Destination,147.13,-0.066024296,-0.55041754,-0.10747088005498047,-0.5723971606208265,-0.3039602125251649
A014,T1,Destination,1.0,0.7553257,1.3580784,0.8933998591226419,1.4393183645814702,0.5863235159090048
A014,T2,Destination,25.66,-0.4665811,1.1169219,-0.5955765432369718,1.1851190944203571,0.8630116222908647
A014,T3,Destination,70.56,0.12054519,0.43201923,0.11987670656485198,0.46317397228847285,0.23655815612044928
A014,T4,Destination,148.87,-0.5400671,0.2844532,-0.6851242238815173,0.30762694317429623,0.37555488289752526
A015,T1,Destination,1.0,1.0023323,1.7676098,1.194394172786401,1.8709989661329895,0.7527346567129918
A015,T2,Destination,23.69,1.4194467,0.032688364,1.7026763909428009,0.04224559304094976,-0.4616498970709972
A015,T3,Destination,70.59,0.24626894,-0.40273485,0.27307963248862904,-0.4167271620372099,-0.3216458390248228
A015,T4,Destination,146.54,-0.43521827,-0.58203745,-0.557358805369226,-0.6057272099645518,-0.19494184879312884
A016,T1,Destination,1.0,1.7207321,0.8927406,2.069813107896563,0.9488131153413377,-0.03648393874618294
A016,T2,Destination,32.85,1.479976,0.95510375,1.7764354528870883,1.0145491299830662,0.08574914181010485
A016,T3,Destination,80.64,-0.6975632,0.19462939,-0.8770439155991425,0.21294507913542313,0.37501771379616355
A016,T4,Destination,150.8,-0.8562173,0.11810487,-1.0703747089441034,0.13228178731691723,0.38307971398835117
A017,T1,Destination,1.0,-0.15520337,1.3435429,-0.21614163691653632,1.423996722861563,0.8942928668201847
A017,T2,Destination,20.61,0.41041905,1.4296864,0.47310768719356633,1.5147992300679782,0.750505645146935
A017,T3,Destination,61.28,0.22881152,2.2833974,0.2518065808728423,2.414682555329848,1.3398438711936058
A017,T4,Destination,140.49,-0.7611534,0.122321434,-0.9545328920262548,0.13672640104861272,0.35258946906983524
A018,T1,Destination,1.0,1.5116286,0.8142858,1.815006295175001,0.8661151457629265,-0.01205164169740991
A018,T2,Destination,34.03,0.4516168,-0.67492276,0.5233099428650387,-0.7036361529567113,-0.5608654893798727
A018,T3,Destination,83.64,-0.5255531,-1.7499112,-0.6674379293917514,-1.8367645441866123,-0.8832379163933676
A018,T4,Destination,150.87,-0.6034264,-1.954677,-0.7623318329806921,-2.0526049503707977,-0.9823259552445531
A019,T1,Destination,1.0,-1.1137557,0.09515804,-1.3842027360092208,0.1080938950622563,0.45857924662625443
A019,T2,Destination,28.69,0.2184492,-0.04890954,0.23917939035904942,-0.043765472982468974,-0.09390668492714632
A019,T3,Destination,83.68,-0.34441203,0.18271942,-0.4467052362533133,0.2003909672552094,0.2447567043131264
A019,T4,Destination,154.76,-0.9084577,0.019163825,-1.134033183428268,0.027989589395742146,0.34028747405511006
A020,T1,Destination,1.0,-0.39048332,0.19963156,-0.5028462313245139,0.2182177877840468,0.271215347825986
A020,T2,Destination,26.85,0.15357906,0.33070213,0.16013072013496646,0.3563772121976583,0.1626202335298879
A020,T3,Destination,78.25,-0.33567235,-0.24584635,-0.4360553427555652,-0.2513534640582136,-0.022402419277264773
A020,T4,Destination,145.78,-1.1523182,-0.77488387,-1.4311937606241856,-0.8090035853356635,-0.06418896461546625
A021,T1,Destination,1.0,0.64160866,0.6924623,0.7548279245805113,0.737702912261145,0.21569812279300477
A021,T2,Destination,30.21,0.47721207,0.25375608,0.5544995172597659,0.27526959224223296,0.0025530665754178172
A021,T3,Destination,74.19,-0.59433186,0.06773279,-0.7512495184782148,0.07918537078865776,0.26088202997594534
A021,T4,Destination,140.39,-0.99789435,-0.47202155,-1.243017814135042,-0.48976118173757877,0.06870922975097588
A022,T1,Destination,1.0,-0.42679092,-1.5716472,-0.5470895071834517,-1.648859268168754,-0.8077532236545565
