UID,test,day_label,TSVR_hours,theta_acc,theta_conf,se_conf
A010,1,Day0,1.0,2.7277744,0.9966144,0.07339282
A010,2,Day1,21.9,0.4830945,0.15345456,0.07339282
A010,3,Day3,80.88,-0.063471645,-0.33591253,0.07339282
A010,4,Day6,145.31,0.7356485,-0.29618156,0.07339282
A011,1,Day0,1.0,0.99576205,2.008585,0.07339282
A011,2,Day1,24.57,0.40040046,0.74341935,0.07339282
A011,3,Day3,72.55,-0.62277347,0.42186868,0.07339282
A011,4,Day6,148.85,-0.48618072,-0.1016792,0.07339282
A012,1,Day0,1.0,1.5109797,1.096769,0.07339282
A012,2,Day1,25.6,-0.3742091,0.21001981,0.07339282
A012,3,Day3,166.33,0.8594104,0.28759786,0.07339282
A012,4,Day6,166.87,-0.57650775,0.20642641,0.07339282
A013,1,Day0,1.0,0.2579466,0.14108829,0.07339282
A013,2,Day1,24.77,-0.576954,-0.5918755,0.07339282
A013,3,Day3,79.66,0.15941933,-0.03260356,0.07339282
A013,4,Day6,147.13,-0.50066453,-0.68100774,0.07339282
A014,1,Day0,1.0,0.9670465,1.5729513,0.07339282
A014,2,Day1,25.66,1.7351536,1.2684107,0.07339282
A014,3,Day3,70.56,0.37096328,1.0899367,0.07339282
A014,4,Day6,148.87,-0.60555935,0.5533023,0.07339282
A015,1,Day0,1.0,1.7906865,1.4229563,0.07339282
A015,2,Day1,23.69,1.9530646,0.4972281,0.07339282
A015,3,Day3,70.59,1.7458305,0.28848577,0.07339282
A015,4,Day6,146.54,0.74841046,0.38678306,0.07339282
A016,1,Day0,1.0,1.3865802,0.6762369,0.07339282
A016,2,Day1,32.85,0.23833106,0.21624197,0.07339282
A016,3,Day3,80.64,-0.063229874,-0.04119006,0.07339282
A016,4,Day6,150.8,-1.1086501,-0.40759152,0.07339282
A017,1,Day0,1.0,-0.12061626,1.2367781,0.07339282
A017,2,Day1,20.61,1.2353034,2.2045667,0.07339282
A017,3,Day3,61.28,0.18662216,2.0331683,0.07339282
A017,4,Day6,140.49,0.04002261,1.1423697,0.07339282
A018,1,Day0,1.0,0.34396127,0.4011214,0.07339282
A018,2,Day1,34.03,-0.10368377,-0.6122024,0.07339282
A018,3,Day3,83.64,-0.6740158,-0.9603171,0.07339282
A018,4,Day6,150.87,0.015628511,-1.4447218,0.07339282
A019,1,Day0,1.0,-0.44238952,-0.13678566,0.07339282
A019,2,Day1,28.69,-1.233944,-0.41609767,0.07339282
A019,3,Day3,83.68,-1.1916012,-0.15715945,0.07339282
A019,4,Day6,154.76,-1.652823,-0.49642876,0.07339282
A020,1,Day0,1.0,-0.036810145,0.4385481,0.07339282
A020,2,Day1,26.85,-0.4131784,0.025535457,0.07339282
A020,3,Day3,78.25,-0.9177355,-0.6426598,0.07339282
A020,4,Day6,145.78,-2.2843106,-1.0779264,0.07339282
A021,1,Day0,1.0,1.366235,1.2973111,0.07339282
A021,2,Day1,30.21,0.648662,0.85418165,0.07339282
A021,3,Day3,74.19,0.3772473,0.71108764,0.07339282
A021,4,Day6,140.39,0.77024406,0.59444976,0.07339282
A022,1,Day0,1.0,0.1020859,-1.0273978,0.07339282
A022,2,Day1,24.15,0.4643598,-1.6089394,0.07339282
A022,3,Day3,74.46,-0.11233316,-1.41758,0.07339282
A022,4,Day6,141.71,0.0056279004,-2.2419448,0.07339282
A023,1,Day0,1.0,0.8812526,0.8757261,0.07339282
A023,2,Day1,25.63,-0.48242265,0.7151295,0.07339282
A023,3,Day3,72.2,0.13040453,0.6461154,0.07339282
A023,4,Day6,145.07,0.004668119,0.7143073,0.07339282
A024,1,Day0,1.0,0.33348504,0.5364075,0.07339282
A024,2,Day1,29.57,0.10314593,0.20124167,0.07339282
A024,3,Day3,91.47,0.1529355,0.3713352,0.07339282
A024,4,Day6,145.65,-0.7700928,0.009039989,0.07339282
A025,1,Day0,1.0,0.99917114,0.7685537,0.07339282
A025,2,Day1,23.33,1.6789465,0.37906578,0.07339282
A025,3,Day3,72.94,-0.15189764,-0.37838924,0.07339282
A025,4,Day6,137.74,-1.1388493,-2.0631132,0.07339282
A026,1,Day0,1.0,1.0569059,0.56117547,0.07339282
A026,2,Day1,26.48,0.062489662,0.14260052,0.07339282
A026,3,Day3,75.46,0.7757372,0.47051916,0.07339282
A026,4,Day6,147.65,-0.26765063,0.6031819,0.07339282
A027,1,Day0,1.0,0.9770042,1.0715036,0.07339282
A027,2,Day1,28.26,0.3337341,0.56911445,0.07339282
A027,3,Day3,74.58,-0.7031997,-0.28420392,0.07339282
A027,4,Day6,145.92,-0.8390413,-0.9887715,0.07339282
A028,1,Day0,1.0,1.5710772,1.2547947,0.07339282
A028,2,Day1,22.82,-0.19436406,0.59293026,0.07339282
A028,3,Day3,72.26,-0.0985842,-0.35394546,0.07339282
A028,4,Day6,138.91,-0.7637951,-0.23738918,0.07339282
A029,1,Day0,1.0,1.7016916,1.6053915,0.07339282
A029,2,Day1,28.43,0.3401657,1.1294532,0.07339282
A029,3,Day3,93.26,1.2822845,0.56202656,0.07339282
A029,4,Day6,143.14,0.7683035,0.8559158,0.07339282
A030,1,Day0,1.0,0.33380765,0.23597223,0.07339282
A030,2,Day1,32.95,1.2043047,0.64555764,0.07339282
A030,3,Day3,71.93,-0.12868379,-0.12588719,0.07339282
A030,4,Day6,150.46,0.33196774,-0.024427809,0.07339282
A031,1,Day0,1.0,2.2557483,2.0878112,0.07339282
A031,2,Day1,32.41,0.018638758,0.40126973,0.07339282
A031,3,Day3,71.56,-0.04251805,-0.27508643,0.07339282
A031,4,Day6,143.85,-0.57443035,-0.800131,0.07339282
A032,1,Day0,1.0,0.8067235,0.3052368,0.07339282
A032,2,Day1,57.18,-0.12246857,-0.49530542,0.07339282
A032,3,Day3,80.16,0.6580906,-0.23620081,0.07339282
A032,4,Day6,144.51,1.5530372,0.30469647,0.07339282
A033,1,Day0,1.0,0.43369794,0.77137077,0.07339282
A033,2,Day1,29.16,0.5100616,0.4549792,0.07339282
A033,3,Day3,72.6,0.9657034,0.41117167,0.07339282
A033,4,Day6,168.33,-0.40873924,-0.64959884,0.07339282
A034,1,Day0,1.0,2.0359054,2.0106363,0.07339282
A034,2,Day1,26.08,0.65717703,1.7898816,0.07339282
A034,3,Day3,74.28,-0.10081277,1.2632637,0.07339282
A034,4,Day6,145.38,-0.1552254,0.6997216,0.07339282
A035,1,Day0,1.0,-0.06479133,0.8264408,0.07339282
A035,2,Day1,44.76,0.7425775,0.7271903,0.07339282
A035,3,Day3,79.98,-0.4961729,0.063205935,0.07339282
A035,4,Day6,152.47,-0.98961914,-0.33424705,0.07339282
A036,1,Day0,1.0,1.3283472,-0.8724763,0.07339282
A036,2,Day1,21.63,-0.15242939,-1.4847412,0.07339282
A036,3,Day3,71.47,-0.39740184,-1.3907819,0.07339282
A036,4,Day6,143.85,-1.0100961,-1.6291748,0.07339282
A037,1,Day0,1.0,1.1801162,0.981827,0.07339282
A037,2,Day1,23.7,1.2522094,0.40132684,0.07339282
A037,3,Day3,72.08,0.29365978,-0.5773718,0.07339282
A037,4,Day6,143.66,-0.16601759,-0.9496738,0.07339282
A038,1,Day0,1.0,1.2059275,1.2398889,0.07339282
A038,2,Day1,71.85,-0.16850944,0.9916787,0.07339282
A038,3,Day3,72.86,0.9667946,1.0252008,0.07339282
A038,4,Day6,152.89,-0.017467948,0.66296256,0.07339282
A039,1,Day0,1.0,2.174663,2.2039258,0.07339282
A039,2,Day1,28.65,1.3026897,1.7605134,0.07339282
A039,3,Day3,98.84,0.567675,0.9264932,0.07339282
A039,4,Day6,246.24,0.72307914,0.4581183,0.07339282
A040,1,Day0,1.0,-0.5069201,0.10722337,0.07339282
A040,2,Day1,26.26,0.14172223,0.08675729,0.07339282
A040,3,Day3,71.28,-1.6828778,-1.4581342,0.07339282
A040,4,Day6,143.53,-1.6119773,-2.264335,0.07339282
A041,1,Day0,1.0,1.1962991,1.1639924,0.07339282
A041,2,Day1,31.78,-1.1736511,-0.3599962,0.07339282
A041,3,Day3,75.74,0.2872409,0.55802584,0.07339282
A041,4,Day6,141.84,0.1290578,0.12782939,0.07339282
A042,1,Day0,1.0,-0.8806226,-0.26355729,0.07339282
A042,2,Day1,28.93,-0.99250966,-0.74814,0.07339282
A042,3,Day3,72.17,-0.17139933,-0.6204812,0.07339282
A042,4,Day6,146.02,-1.260689,-1.0438489,0.07339282
A043,1,Day0,1.0,1.0349586,2.2976968,0.07339282
A043,2,Day1,25.62,0.5667534,1.9961102,0.07339282
A043,3,Day3,64.94,0.56906503,1.3940244,0.07339282
A043,4,Day6,149.33,-0.36708274,0.8008104,0.07339282
A044,1,Day0,1.0,-0.0888245,-0.48998752,0.07339282
A044,2,Day1,47.66,-0.37333766,-0.78027636,0.07339282
A044,3,Day3,91.63,-1.308094,-1.2760453,0.07339282
A044,4,Day6,155.27,-1.7971689,-1.6953964,0.07339282
A045,1,Day0,1.0,-0.9017756,-0.1593461,0.07339282
A045,2,Day1,24.66,-1.0143217,-0.27718532,0.07339282
A045,3,Day3,72.23,-1.1242429,-0.045916285,0.07339282
A045,4,Day6,151.52,-1.2476392,-1.021972,0.07339282
A046,1,Day0,1.0,-0.7687857,0.676205,0.07339282
A046,2,Day1,24.32,-1.3034526,-0.12228983,0.07339282
A046,3,Day3,73.05,-1.624248,-0.17526035,0.07339282
A046,4,Day6,147.94,-1.154563,-0.0935051,0.07339282
A047,1,Day0,1.0,-0.7466336,0.3895279,0.07339282
