bin_center,count,distribution
-0.01543142508434664,1,difference
-0.014007964338300719,1,difference
-0.012584503592254801,1,difference
-0.01116104284620888,2,difference
-0.00973758210016296,4,difference
-0.008314121354117038,4,difference
-0.00689066060807112,4,difference
-0.0054671998620252,5,difference
-0.004043739115979279,13,difference
-0.0026202783699333593,8,difference
-0.0011968176238874402,12,difference
0.00022664312215847984,7,difference
0.0016501038682044007,5,difference
0.00307356461425032,8,difference
0.004497025360296239,8,difference
0.00592048610634216,7,difference
0.007343946852388081,4,difference
0.008767407598434002,1,difference
0.01019086834447992,3,difference
0.01161432909052584,2,difference
0.009367213251813465,1,ratio
0.09409175977516299,0,ratio
0.17881630629851253,0,ratio
0.263540852821862,1,ratio
0.3482653993452116,2,ratio
0.4329899458685611,3,ratio
0.5177144923919106,2,ratio
0.6024390389152602,2,ratio
0.6871635854386097,7,ratio
0.7718881319619593,5,ratio
0.8566126784853088,2,ratio
0.9413372250086582,1,ratio
1.0260617715320077,3,ratio
1.1107863180553572,3,ratio
1.195510864578707,2,ratio
1.2802354111020564,1,ratio
1.364959957625406,1,ratio
1.4496845041487554,1,ratio
1.5344090506721049,1,ratio
1.6191335971954546,2,ratio
