UID,acc_rate,conf_rate,difference,ratio
A010,-0.0156698907182231,-0.0105799306020968,0.0050899601161263,0.6751757745057511
A011,-0.0113777324225512,-0.0168563974160331,-0.0054786649934819,1.4815252099463097
A012,-0.0142857037952101,-0.0063392599846431,0.0079464438105669,0.4437485247852235
A013,-0.005892850705405,-0.0066440428709413,-0.0007511921655363,
A014,-0.0120721723355253,-0.0081436647018265,0.0039285076336988,0.6745815480004157
A015,-0.0081291660776414,-0.008408126963187,-0.0002789608855455,
A016,-0.0189079495422768,-0.0085447228511313,0.0103632266911454,0.4519116592746324
A017,0.0013072335298127,-0.0007993129009948,-0.0021065464308076,
A018,-0.0024868244082562,-0.0145455235594022,-0.0120586991511459,
A019,-0.0089360001989564,-0.0027623431123864,0.00617365708657,
A020,-0.0176212546997501,-0.0123701737308166,0.0052510809689335,0.7020030038492094
A021,-0.0048534845590019,-0.0059550758502435,-0.0011015912912416,
A022,-0.0007781420782486,-0.0101938589952744,-0.0094157169170257,
A023,-0.006906624327466,-0.0013232131787822,0.0055834111486837,
A024,-0.008660244347861,-0.0043057042189815,0.0043545401288794,
A025,-0.0177485096013453,-0.0244565869146446,-0.0067080773132993,1.3779515837651437
A026,-0.0102526006927041,0.0003382851751129,0.010590885867817,-0.0329950600098613
A027,-0.0142247293685133,-0.0167898241623906,-0.0025650947938772,1.180326439078348
A028,-0.0192182123147746,-0.0127783813551053,0.0064398309596693,0.6649099898475721
A029,-0.0074540372907673,-0.0062271668849653,0.001226870405802,
A030,-1.3973886596072206e-05,-0.0020576207289578,-0.0020436468423617,
A031,-0.0224894698739831,-0.0238757768732659,-0.0013863069992828,1.0616424934447466
A032,0.0059031641803013,-4.446580672350458e-06,-0.0059076107609737,
A033,-0.0057149091023865,-0.0100290602008053,-0.0043141510984187,
A034,-0.0172268899248223,-0.0107230086278195,0.0065038812970028,0.6224576040489256
A035,-0.0069307441623979,-0.009049781055948,-0.0021190368935501,
A036,-0.0185819895671135,-0.0062559301035647,0.0123260594635488,0.3366663231065687
A037,-0.0107110394458346,-0.0159897595176915,-0.0052787200718568,1.4928298601224603
A038,-0.0091428857047611,-0.004485805558748,0.0046570801460131,
A039,-0.0067188730561985,-0.008407256678167,-0.0016883836219684,
A040,-0.0088008391979021,-0.0196506442101299,-0.0108498050122278,
A041,-0.0086016589550841,-0.0086886304786281,-8.697152354401883e-05,
A042,-0.0029749329985216,-0.0063544548149204,-0.0033795218163988,
A043,-0.0107294493775025,-0.0119181570865072,-0.0011887077090047,1.1107892555509156
A044,-0.0125701239863723,-0.0092278848471104,0.0033422391392618,0.7341124763060973
A045,-0.0026082923073909,-0.006768267943552,-0.004159975636161,
A046,-0.0029801782872267,-0.0061863773806544,-0.0032061990934276,
A047,-0.0067652497422695,-0.0117552891168253,-0.0049900393745558,
A048,-0.0076583930908198,-0.0100048369582084,-0.0023464438673886,
A049,-0.0139771629433499,-0.0117641701004927,0.0022129928428572,0.8416708131810017
A050,-0.0056824607687123,-0.0152214270989081,-0.0095389663301958,
A051,-0.0174408645233777,-0.01336070564738,0.0040801588759976,0.7660575328402658
A052,-0.010554760228378,-0.0072933770553093,0.0032613831730686,0.69100357540099
A053,-0.0117997270703978,-0.0094023398548103,0.0023973872155874,0.7968268925811142
A054,0.005942236219177,-0.0082143493950648,-0.0141565856142419,
A055,-0.0069347313761959,-0.0113181679864713,-0.0043834366102753,
A056,-0.0114575165750661,-0.0063379413938872,0.0051195751811788,0.5531688610147772
A057,-0.0124689959890715,-0.0207171853445889,-0.0082481893555173,1.6614958704571292
A058,-0.0166388471755713,-0.0202633101078729,-0.0036244629323015,1.2178313734152753
A059,-0.0046086397985429,-0.00653496348128,-0.0019263236827371,
A060,0.0019393817984132,-0.0006306502635381,-0.0025700320619513,
A061,-0.0220070339693903,-0.0146782409039758,0.0073287930654144,0.6669795177483653
A062,-0.0172574948912493,-0.0168614887270738,0.0003960061641755,0.9770530910383578
A063,-0.0117043945166715,-0.0125743313148909,-0.0008699367982194,1.074325655802216
A064,-0.0085226128601913,-0.0076123151107568,0.0009102977494345,
A065,-0.0008335585609188,-0.0108216417941645,-0.0099880832332457,
A066,-0.0121094592601244,-0.0120463318594338,6.312740069063308e-05,0.9947869347974516
A067,-0.0145744583597551,-0.0163292510279153,-0.0017547926681601,1.120401913048498
A068,-0.0124423380120792,-0.0160692451325741,-0.0036269071204948,1.2914972344404865
A069,-0.0075357166702998,-0.0154868908681107,-0.0079511741978109,
A070,-0.0125902219458289,-0.0206990175838245,-0.0081087956379956,1.6440550192748618
A071,-0.0071113357950767,-0.0140643518175914,-0.0069530160225146,
A072,-0.0081209439449938,-0.0093975611972611,-0.0012766172522673,
A073,0.0008229717184353,-0.0032212819698738,-0.0040442536883091,
A074,-0.0177169116650969,-0.0092115821050597,0.0085053295600372,0.5199315929991851
A075,-0.0050351879939886,-0.0047646205042214,0.0002705674897671,
A076,-0.016244793321718,-0.0143489842763496,0.0018958090453684,0.8832974351951985
A077,-0.0050946921962343,-0.0084301010600197,-0.0033354088637854,
A078,-0.0091803698999158,-0.0067575059760027,0.002422863923913,
A079,-0.0082681403502712,-0.0069395986183626,0.0013285417319086,
A080,-0.0090973615736263,-0.0160835803119247,-0.0069862187382984,
A081,-0.0028445273141493,-0.0043878412445076,-0.0015433139303583,
A082,-0.0037584332972889,-0.0072128765991234,-0.0034544433018345,
A083,-0.0153599665858387,-0.0057066072490849,0.0096533593367537,0.3715247176609247
A084,-0.0028193319397815,-0.0044551336957156,-0.0016358017559341,
A085,-0.0053907751937687,-0.0099011564872137,-0.0045103812934449,
A086,-0.0138133262653751,-0.0104145745139559,0.0033987517514192,0.7539512434496966
A087,-0.007024566057799,-0.0105507609774702,-0.0035261949196712,
A088,-0.0062652592246268,0.0005288191922977,0.0067940784169246,
A089,-0.0096334136619729,-0.0108544061382684,-0.0012209924762955,
A090,-0.0106769087204533,-0.0062946856676726,0.0043822230527806,0.5895606895668426
A091,-0.0115969317294802,-0.0093638813763493,0.0022330503531309,0.8074447271725891
A092,-0.0085879064619565,-0.0060566965541249,0.0025312099078315,
A093,-0.0003784119588632,-0.0165215674162328,-0.0161431554573696,
A094,-0.0035802945832748,-0.0083206457102397,-0.0047403511269649,
A095,-0.0176577882447219,-0.0118070331465725,0.0058507550981493,0.6686586668124641
A096,-0.0079260007855085,-0.0036457166418885,0.00428028414362,
A097,-0.0012359917881528,-0.0060530306251711,-0.0048170388370182,
A098,-0.0101041963860983,-0.0025413725184035,0.0075628238676948,0.2515165403851424
A099,-0.0021677152250584,-0.0022246349367061,-5.691971164779007e-05,
A100,0.001023833799084,-0.0070740606138667,-0.0080978944129508,
A101,-0.0009771010933355,-0.0112671133901746,-0.010290012296839,
A102,-0.0034802630371488,-0.0079453528827398,-0.0044650898455909,
A103,-0.0208319292564729,-0.0086905272456707,0.0121414020108021,0.4171734234826308
A104,-0.0276388465489878,-0.028424896456058,-0.0007860499070701,1.028440040204896
A105,-0.0024638512453973,-0.0131833872441467,-0.0107195359987493,
A106,-0.0014491073205754,-0.0078592827307042,-0.0064101754101287,
A107,-0.0041782953055508,-0.0014382790827669,0.0027400162227838,
A108,-0.0048226193054138,-0.0023782726889614,0.0024443466164524,
A109,-0.0079518304585036,-0.0021950511951412,0.0057567792633623,
