composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_What_conf,theta_Where_conf
A010_1,A010,1,1.0,1.9723079,2.4439983,-0.26977536,-0.35840303
A010_2,A010,2,21.9,0.5321417,0.59148264,-0.5346923,-0.60747373
A010_3,A010,3,80.88,-0.24620515,-0.091231495,-0.7171626,-0.6976981
A010_4,A010,4,145.31,0.76564074,0.47084022,-0.6071539,-0.8171049
A011_1,A011,1,1.0,1.1758701,0.9860436,-0.30443364,0.1822105
A011_2,A011,2,24.57,0.58703774,0.20441371,-0.4066074,-0.41067916
A011_3,A011,3,72.55,-0.32275462,-0.74633425,-0.5674898,-0.40114135
A011_4,A011,4,148.85,-0.6501544,-0.26116142,-0.9975038,-0.8926102
A012_1,A012,1,1.0,1.317989,1.4285018,-0.33598834,-0.13544692
A012_2,A012,2,25.6,-0.16549101,-0.31520778,-0.56394285,-0.6886631
A012_3,A012,3,166.33,0.5725235,1.0647037,-0.29332557,-0.65423065
A012_4,A012,4,166.87,-0.5827313,-0.45238903,-0.94255686,-0.75222445
A013_1,A013,1,1.0,0.085204296,0.09202722,-0.49705088,-0.69894737
A013_2,A013,2,24.77,-0.30207354,-0.6685766,-0.97502846,-0.72977465
A013_3,A013,3,79.66,0.38999763,0.24629961,-0.58987004,-0.72450304
A013_4,A013,4,147.13,-0.5718052,-0.42889243,-1.2679931,-1.3667862
A014_1,A014,1,1.0,0.990247,0.840902,-0.5086821,-0.26887542
A014_2,A014,2,25.66,2.0772517,1.7318953,-0.2328896,-0.3245419
A014_3,A014,3,70.56,0.39994225,0.22653097,-0.53111595,-0.5947845
A014_4,A014,4,148.87,-0.48348227,-0.64632875,-0.9879353,-0.8250754
A015_1,A015,1,1.0,1.7676418,1.7240337,-0.14761224,0.1364241
A015_2,A015,2,23.69,1.9235327,1.980908,-0.2955845,-0.3898742
A015_3,A015,3,70.59,1.7069992,1.7067914,-0.26376593,-0.3012806
A015_4,A015,4,146.54,0.48828286,0.8411193,-0.48598427,-0.62505066
A016_1,A016,1,1.0,1.0766052,1.42478,-0.29475248,-0.35686523
A016_2,A016,2,32.85,-0.39004326,0.5182861,-0.67557615,-0.5745343
A016_3,A016,3,80.64,0.09681583,0.08904186,-0.6243887,-0.94173694
A016_4,A016,4,150.8,-1.1568888,-1.0289922,-1.6620972,-0.9995266
A017_1,A017,1,1.0,-0.40713716,0.014488589,-0.36066896,-0.04159507
A017_2,A017,2,20.61,1.0619187,0.9758614,-0.07389383,0.13028155
A017_3,A017,3,61.28,0.66992927,0.13619477,0.34846318,0.20525199
A017_4,A017,4,140.49,0.20140322,-0.036762077,0.0537432,-0.077853166
A018_1,A018,1,1.0,0.32558995,0.33654568,-0.3622402,-0.17650345
A018_2,A018,2,34.03,-0.36246425,0.034030903,-0.5451845,-0.3196287
A018_3,A018,3,83.64,-0.91410375,-0.6435525,-0.8140488,-0.8628611
A018_4,A018,4,150.87,0.16954863,-0.09666681,-0.70174134,-1.062314
A019_1,A019,1,1.0,-0.015733648,-0.6979575,-1.7392304,-2.5336318
A019_2,A019,2,28.69,-1.1935377,-1.2111,-2.012755,-2.4748008
A019_3,A019,3,83.68,-0.94285613,-1.4745452,-1.9219693,-2.7013297
A019_4,A019,4,154.76,-1.264995,-1.8336661,-2.2403193,-2.283211
A020_1,A020,1,1.0,-0.01839159,-0.079359196,-0.42148626,-0.37285313
A020_2,A020,2,26.85,-0.5171829,-0.15119976,-0.37508157,-0.5112881
A020_3,A020,3,78.25,-0.46821594,-0.95550704,-1.0575523,-0.89992255
A020_4,A020,4,145.78,-2.2787354,-2.1095285,-1.3997948,-1.3165435
A021_1,A021,1,1.0,1.0875474,1.2243092,-0.58914065,-0.41147396
A021_2,A021,2,30.21,0.8355286,0.61569417,-0.54050285,-0.558847
A021_3,A021,3,74.19,0.29306138,0.43332618,-0.5408941,-0.3880754
A021_4,A021,4,140.39,0.7857295,0.7931139,-0.15621644,-0.43092597
