UID,test_num,TSVR_hours,TSVR_hours_c,domain,measure,theta
A010,1,1.0,-63.95325000000001,what,accuracy,1.9723079
A010,2,21.9,-43.05325000000001,what,accuracy,0.5321417
A010,3,80.88,15.926749999999984,what,accuracy,-0.24620515
A010,4,145.31,80.35674999999999,what,accuracy,0.76564074
A011,1,1.0,-63.95325000000001,what,accuracy,1.1758701
A011,2,24.57,-40.38325000000001,what,accuracy,0.58703774
A011,3,72.55,7.596749999999986,what,accuracy,-0.32275462
A011,4,148.85,83.89674999999998,what,accuracy,-0.6501544
A012,1,1.0,-63.95325000000001,what,accuracy,1.317989
A012,2,25.6,-39.35325000000001,what,accuracy,-0.16549101
A012,3,166.33,101.37675,what,accuracy,0.5725235
A012,4,166.87,101.91675,what,accuracy,-0.5827313
A013,1,1.0,-63.95325000000001,what,accuracy,0.085204296
A013,2,24.77,-40.183250000000015,what,accuracy,-0.30207354
A013,3,79.66,14.706749999999985,what,accuracy,0.38999763
A013,4,147.13,82.17674999999998,what,accuracy,-0.5718052
A014,1,1.0,-63.95325000000001,what,accuracy,0.990247
A014,2,25.66,-39.293250000000015,what,accuracy,2.0772517
A014,3,70.56,5.606749999999991,what,accuracy,0.39994225
A014,4,148.87,83.91675,what,accuracy,-0.48348227
A015,1,1.0,-63.95325000000001,what,accuracy,1.7676418
A015,2,23.69,-41.26325000000001,what,accuracy,1.9235327
A015,3,70.59,5.636749999999992,what,accuracy,1.7069992
A015,4,146.54,81.58674999999998,what,accuracy,0.48828286
A016,1,1.0,-63.95325000000001,what,accuracy,1.0766052
A016,2,32.85,-32.10325000000001,what,accuracy,-0.39004326
A016,3,80.64,15.68674999999999,what,accuracy,0.09681583
A016,4,150.8,85.84675,what,accuracy,-1.1568888
A017,1,1.0,-63.95325000000001,what,accuracy,-0.40713716
A017,2,20.61,-44.34325000000001,what,accuracy,1.0619187
A017,3,61.28,-3.67325000000001,what,accuracy,0.66992927
A017,4,140.49,75.53675,what,accuracy,0.20140322
A018,1,1.0,-63.95325000000001,what,accuracy,0.32558995
A018,2,34.03,-30.92325000000001,what,accuracy,-0.36246425
A018,3,83.64,18.68674999999999,what,accuracy,-0.91410375
A018,4,150.87,85.91675,what,accuracy,0.16954863
A019,1,1.0,-63.95325000000001,what,accuracy,-0.015733648
A019,2,28.69,-36.26325000000001,what,accuracy,-1.1935377
A019,3,83.68,18.726749999999996,what,accuracy,-0.94285613
A019,4,154.76,89.80674999999998,what,accuracy,-1.264995
