measure,location,TSVR_hours,mean_theta,se_mean,n,ci_lower,ci_upper
accuracy,destination,1.0,0.39484602676,0.08805111078924054,100,0.22226584961308857,0.5674262039069115
accuracy,destination,26.0,0.08932148010199999,0.07601274151479519,100,-0.05966349326699859,0.23830645347099855
accuracy,destination,74.0,-0.09745790847000001,0.07119928786111682,100,-0.23700851267778894,0.04209269573778894
accuracy,destination,148.0,-0.2980291321,0.07689514748512621,100,-0.4487436211708474,-0.1473146430291526
accuracy,source,1.0,0.43475460259000004,0.07171963025667609,100,0.2941841272869149,0.5753250778930852
accuracy,source,26.0,0.156586449545,0.07822466120741209,100,0.0032661135784723128,0.3099067855115277
accuracy,source,74.0,-0.163934244235,0.07974644021117841,100,-0.32023726704890965,-0.007631221421090323
accuracy,source,148.0,-0.51779416636,0.08434551453290833,100,-0.6831113748445004,-0.35247695787549965
confidence,destination,1.0,-0.5976431980670001,0.05176605504698921,100,-0.6991046659590989,-0.4961817301749012
confidence,destination,26.0,-0.7763431773899999,0.0639223322288729,100,-0.9016309485585908,-0.651055406221409
confidence,destination,74.0,-0.9325441567324,0.057750111207759344,100,-1.0457343746996084,-0.8193539387651917
confidence,destination,148.0,-1.10531568839,0.0588344990939894,100,-1.2206313066142191,-0.9900000701657807
confidence,source,1.0,-0.635039344194,0.03939063407651089,100,-0.7122449869839613,-0.5578337014040387
confidence,source,26.0,-0.7637625581999999,0.04068139669621329,100,-0.843498095724578,-0.6840270206754219
confidence,source,74.0,-0.84053524811,0.03826957584610126,100,-0.9155436167683585,-0.7655268794516416
confidence,source,148.0,-0.87940863918,0.039784830610335345,100,-0.9573869071762573,-0.8014303711837427
