composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours
A010_T1,free_recall,2.2559497,-0.10090725,A010,T1,0.0
A010_T2,free_recall,0.063646406,-0.59867835,A010,T2,24.0
A010_T3,free_recall,-0.63363457,-0.85798013,A010,T3,72.0
A010_T4,free_recall,0.530237,-0.5768663,A010,T4,144.0
A011_T1,free_recall,1.0253187,0.013049793,A011,T1,0.0
A011_T2,free_recall,0.29738232,-0.3668552,A011,T2,24.0
A011_T3,free_recall,0.05539917,-0.47526985,A011,T3,72.0
A011_T4,free_recall,-0.5692055,-0.99886817,A011,T4,144.0
A012_T1,free_recall,1.1145911,-0.22546089,A012,T1,0.0
A012_T2,free_recall,-0.40524608,-0.63915443,A012,T2,24.0
A012_T3,free_recall,0.7902062,-0.40780258,A012,T3,72.0
A012_T4,free_recall,-0.7995365,-0.6528868,A012,T4,144.0
A013_T1,free_recall,-0.5856965,-0.6972882,A013,T1,0.0
A013_T2,free_recall,-0.4070654,-0.6062502,A013,T2,24.0
A013_T3,free_recall,0.7922385,-0.7212178,A013,T3,72.0
A013_T4,free_recall,-1.0692434,-1.0883394,A013,T4,144.0
A014_T1,free_recall,0.18263546,-0.3735988,A014,T1,0.0
A014_T2,free_recall,1.2276359,-0.17555101,A014,T2,24.0
A014_T3,free_recall,0.35754204,-0.57598865,A014,T3,72.0
A014_T4,free_recall,-0.58439595,-0.8750866,A014,T4,144.0
A015_T1,free_recall,1.5247837,-0.068641454,A015,T1,0.0
A015_T2,free_recall,1.7857077,-0.21705914,A015,T2,24.0
A015_T3,free_recall,1.7846233,-0.22687851,A015,T3,72.0
A015_T4,free_recall,-0.09274579,-0.5862706,A015,T4,144.0
A016_T1,free_recall,1.8982425,-0.3271766,A016,T1,0.0
A016_T2,free_recall,1.1705568,-0.56220376,A016,T2,24.0
A016_T3,free_recall,-0.06720384,-0.860986,A016,T3,72.0
A016_T4,free_recall,-0.7857009,-1.2751333,A016,T4,144.0
A017_T1,free_recall,-0.07584843,0.053590354,A017,T1,0.0
A017_T2,free_recall,1.0087,0.19406986,A017,T2,24.0
A017_T3,free_recall,0.22324428,0.35307437,A017,T3,72.0
A017_T4,free_recall,1.0260882,-0.029758565,A017,T4,144.0
A018_T1,free_recall,0.8998065,-0.29802382,A018,T1,0.0
A018_T2,free_recall,0.46910602,-0.45788598,A018,T2,24.0
A018_T3,free_recall,-0.8570981,-0.9335735,A018,T3,72.0
A018_T4,free_recall,0.042763263,-0.9365713,A018,T4,144.0
A019_T1,free_recall,-0.457872,-2.0756469,A019,T1,0.0
A019_T2,free_recall,-0.7839532,-2.373974,A019,T2,24.0
A019_T3,free_recall,-0.731604,-2.2976873,A019,T3,72.0
A019_T4,free_recall,-0.75950915,-2.2863612,A019,T4,144.0
A020_T1,free_recall,0.072841056,-0.378014,A020,T1,0.0
A020_T2,free_recall,-0.20886408,-0.5136545,A020,T2,24.0
A020_T3,free_recall,-0.7968719,-1.018064,A020,T3,72.0
A020_T4,free_recall,-2.0479772,-1.5175667,A020,T4,144.0
A021_T1,free_recall,1.2711351,-0.3466501,A021,T1,0.0
A021_T2,free_recall,0.36641207,-0.40947,A021,T2,24.0
A021_T3,free_recall,0.2283193,-0.29831088,A021,T3,72.0
A021_T4,free_recall,1.0181938,-0.20864159,A021,T4,144.0
A022_T1,free_recall,0.16907588,-1.2396909,A022,T1,0.0
A022_T2,free_recall,0.4875518,-1.40694,A022,T2,24.0
