composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours,z_accuracy,z_confidence,calibration
A010_T1,free_recall,2.2559497,-0.10090725,A010,T1,0.0,2.464176112250882,1.1128764401737634,-1.3512996720771187
A010_T2,free_recall,0.063646406,-0.59867835,A010,T2,24.0,0.02363461262752511,0.27251421273450704,0.24887960010698193
A010_T3,free_recall,-0.63363457,-0.85798013,A010,T3,72.0,-0.7526006662607972,-0.16525210479530528,0.587348561465492
A010_T4,free_recall,0.530237,-0.5768663,A010,T4,144.0,0.5430580478371757,0.3093384135027244,-0.2337196343344513
A011_T1,free_recall,1.0253187,0.013049793,A011,T1,0.0,1.094198685111646,1.305264456448455,0.21106577133680893
A011_T2,free_recall,0.29738232,-0.3668552,A011,T2,24.0,0.283836839039632,0.663889723900151,0.38005288486051897
A011_T3,free_recall,0.05539917,-0.47526985,A011,T3,72.0,0.014453528162490435,0.4808586544767807,0.46640512631429026
A011_T4,free_recall,-0.5692055,-0.99886817,A011,T4,144.0,-0.6808761838192094,-0.40310638583723624,0.2777697979819732
A012_T1,free_recall,1.1145911,-0.22546089,A012,T1,0.0,1.1935795497790767,0.9025987154403121,-0.29098083433876454
A012_T2,free_recall,-0.40524608,-0.63915443,A012,T2,24.0,-0.4983513617020668,0.20418045702468468,0.7025318187267515
A012_T3,free_recall,0.7902062,-0.40780258,A012,T3,72.0,0.8324639995411758,0.5947602958063912,-0.23770370373478455
A012_T4,free_recall,-0.7995365,-0.6528868,A012,T4,144.0,-0.9372879520668866,0.18099677874119258,1.1182847308080792
A013_T1,free_recall,-0.5856965,-0.6972882,A013,T1,0.0,-0.6992344876088532,0.10603610021762738,0.8052705878264805
A013_T2,free_recall,-0.4070654,-0.6062502,A013,T2,24.0,-0.5003766863791983,0.25973103441853834,0.7601077207977367
A013_T3,free_recall,0.7922385,-0.7212178,A013,T3,72.0,0.8347264203035124,0.06563694494780473,-0.7690894753557077
A013_T4,free_recall,-1.0692434,-1.0883394,A013,T4,144.0,-1.2375342199926085,-0.5541562200572823,0.6833779999353262
A014_T1,free_recall,0.18263546,-0.3735988,A014,T1,0.0,0.1560969982302375,0.6525048389259944,0.49640784069575694
A014_T2,free_recall,1.2276359,-0.17555101,A014,T2,24.0,1.319424603459237,0.9868590871815119,-0.332565516277725
A014_T3,free_recall,0.35754204,-0.57598865,A014,T3,72.0,0.3508085457681452,0.310820106411196,-0.03998843935694918
A014_T4,free_recall,-0.58439595,-0.8750866,A014,T4,144.0,-0.6977866741352239,-0.19413210854165153,0.5036545655935724
A015_T1,free_recall,1.5247837,-0.068641454,A015,T1,0.0,1.6502189508501968,1.1673491811518166,-0.48286976969838014
A015_T2,free_recall,1.7857077,-0.21705914,A015,T2,24.0,1.9406878161712213,0.9167829727111495,-1.023904843460072
A015_T3,free_recall,1.7846233,-0.22687851,A015,T3,72.0,1.9394806277272527,0.9002054179972455,-1.039275209730007
A015_T4,free_recall,-0.09274579,-0.5862706,A015,T4,144.0,-0.15046613593214472,0.2934616008562953,0.44392773678844
A016_T1,free_recall,1.8982425,-0.3271766,A016,T1,0.0,2.065965121689796,0.7308771337310377,-1.335087987958758
A016_T2,free_recall,1.1705568,-0.56220376,A016,T2,24.0,1.2558823405376764,0.33409245160239953,-0.9217898889352769
A016_T3,free_recall,-0.06720384,-0.860986,A016,T3,72.0,-0.12203202778346409,-0.17032676583648043,-0.048294738053016345
A016_T4,free_recall,-0.7857009,-1.2751333,A016,T4,144.0,-0.9218857237052351,-0.8695110847251301,0.05237463898010508
A017_T1,free_recall,-0.07584843,0.053590354,A017,T1,0.0,-0.13165545931320255,1.3737070722282723,1.5053625315414747
A017_T2,free_recall,1.0087,0.19406986,A017,T2,24.0,1.075698221635268,1.6108716456069325,0.5351734239716646
