statistic,value
correlation_min,0.3268453645994866
correlation_max,0.5985927584337971
correlation_mean,0.4318094055055189
correlation_sd,0.07769383297724687
all_r_above_0.50,False
bonferroni_significant_count,9
interaction_terms_count,2
all_interaction_p_above_0.05,True
pooled_d,0.1054041631098562
pooled_d_CI_lower,-0.128069400810294
pooled_d_CI_upper,0.3388777270300064
pooled_d_negligible,True
bootstrap_agreement_rate,1.0
primary_hypothesis_supported,False
secondary1_hypothesis_supported,True
secondary2_hypothesis_supported,False
overall_convergent_null_confirmed,False
