UID,intercept,slope,se_intercept,se_slope
A010,0.7389081957783624,0.0726166074337396,0.1,0.1
A011,0.0199869837611887,0.0337650426589692,0.1,0.1
A012,0.3510269764052463,-0.0079830290790954,0.1,0.1
A013,-0.1224164369136843,-0.0466293389601535,0.1,0.1
A014,0.470925766171013,0.0321386296063656,0.1,0.1
A015,1.264731358814232,-0.0062104305746091,0.1,0.1
A016,0.0627703331088967,0.0711481887003287,0.1,0.1
A017,0.2651422597868714,-0.0610174440450535,0.1,0.1
A018,-0.0542043606065005,-0.0341495692326591,0.1,0.1
A019,-0.9223736380599468,-0.0107954690884985,0.1,0.1
A020,-0.7896512625683927,0.046610723886714,0.1,0.1
A021,0.6538403322681631,-0.0185259382349414,0.1,0.1
A022,0.104065316387514,-0.0554420597859976,0.1,0.1
A023,0.1055087336086143,-0.0249339091214767,0.1,0.1
A024,-0.0169011248840768,-0.0222329347444759,0.1,0.1
A025,0.2147626827315842,0.072590308414876,0.1,0.1
A026,0.3292992711543436,-0.0104571406525589,0.1,0.1
A027,-0.0860587785889274,0.0496631057977219,0.1,0.1
A028,0.0411105263936002,0.0607373480212985,0.1,0.1
A029,0.8668309768735538,-0.030167673507801,0.1,0.1
A030,0.3880275276885942,-0.0529285483876774,0.1,0.1
A031,0.2792279603278534,0.1031272301668271,0.1,0.1
A032,0.6870458321208179,-0.088520087573732,0.1,0.1
A033,0.3334426936339302,-0.0418557404255027,0.1,0.1
A034,0.4436966372829014,0.0754993467704741,0.1,0.1
A035,-0.1237299191259152,-0.0244994873843747,0.1,0.1
A036,-0.1164630456000898,0.0641522065955892,0.1,0.1
A037,0.4899070407171217,0.0218058375372067,0.1,0.1
A038,0.4681680080789741,-0.0002717818187856,0.1,0.1
A039,1.021488464456959,0.0237982953494017,0.1,0.1
A040,-0.7817330882456038,0.0118598888141708,0.1,0.1
A041,0.0953728437533726,-0.0132894697189125,0.1,0.1
A042,-0.6498955912860107,-0.0753344505082417,0.1,0.1
A043,0.3425875916200291,0.0074718058785598,0.1,0.1
A044,-0.7033074115032565,0.0266360415207723,0.1,0.1
A045,-0.869378361172418,-0.0584350167123525,0.1,0.1
A046,-0.9939908267193124,-0.0465476980138653,0.1,0.1
A047,-0.8547732896944803,-0.022047522631485,0.1,0.1
A048,0.2532947006166552,-0.0148360829742425,0.1,0.1
A049,0.4189808675963135,0.0350126285440029,0.1,0.1
A050,-0.6363917052505572,-0.0344933160719944,0.1,0.1
A051,-0.1182289575717662,0.0606213272764392,0.1,0.1
A052,0.0581299791218248,0.0030845580396915,0.1,0.1
A053,0.3589703480876781,0.0430834156490418,0.1,0.1
A054,0.8566714587982741,-0.1061702059770082,0.1,0.1
A055,0.0684307228119956,-0.0092309692933369,0.1,0.1
A056,-0.0708493838913012,0.0190634051426469,0.1,0.1
A057,-0.4507125832573198,0.0151597335671475,0.1,0.1
A058,-0.2605113302276715,0.0326901890509056,0.1,0.1
A059,0.8449541184508945,-0.0460990189808051,0.1,0.1
A060,0.2208560733700757,-0.0512599633950703,0.1,0.1
A061,0.6681468126368569,0.1066534632384244,0.1,0.1
A062,0.0741707106613651,0.0765069850387981,0.1,0.1
A063,0.1984228174055466,0.0169590549548629,0.1,0.1
A064,0.2801248912987986,-0.0046543453792655,0.1,0.1
A065,-1.5333424116813783,-0.0669251737520354,0.1,0.1
A066,-0.4855727189547559,0.0314704434527077,0.1,0.1
A067,-0.71556096141867,0.046970426359251,0.1,0.1
A068,0.3054371352940586,0.0200144575303066,0.1,0.1
A069,-0.9614034620607927,-0.0480077655563956,0.1,0.1
A070,-0.1987491675887751,0.0239960049836977,0.1,0.1
A071,0.1570067532537717,0.0173205341921542,0.1,0.1
A072,0.0672851734948841,0.0214068223718364,0.1,0.1
A073,0.3377757516551558,-0.0396262367663166,0.1,0.1
A074,-0.2594987871209848,0.0720166620526299,0.1,0.1
A075,-0.2245220299494682,0.0175915980735194,0.1,0.1
A076,-1.0391414523211906,0.0379694583746245,0.1,0.1
A077,0.4485558440698328,-0.0126440746752821,0.1,0.1
A078,-0.4365917760762605,0.0075490618835147,0.1,0.1
A079,-0.3664723372628234,0.0154426548748516,0.1,0.1
A080,0.0424894856117831,-0.0150893036406077,0.1,0.1
A081,0.3430281889508405,-0.0688033849138007,0.1,0.1
A082,0.426263760811743,-0.0355248351028159,0.1,0.1
A083,0.5674404665617411,0.0577234369994966,0.1,0.1
A084,0.0340196749597888,-0.0575689240552888,0.1,0.1
A085,0.2695147147197873,-0.0021073188616212,0.1,0.1
A086,-0.346494667600129,0.0590457972694684,0.1,0.1
A087,0.4683477633357614,0.0071326229870003,0.1,0.1
A088,1.2518856489843144,0.0264976275236584,0.1,0.1
A089,0.7107315284174947,0.0120620937995023,0.1,0.1
A090,-0.6405939173180363,0.0268669060430437,0.1,0.1
A091,-0.3521538172029839,0.0278180613969281,0.1,0.1
A092,-0.6117265141924754,-0.0264851101405324,0.1,0.1
A093,0.4098436591248115,-0.0731087353383657,0.1,0.1
A094,-0.7804957695277642,-0.0227529895181714,0.1,0.1
A095,-0.0527019503074823,0.0727864344228771,0.1,0.1
A096,-1.1177241658668822,-0.0002614006616629,0.1,0.1
A097,0.1435396891800265,-0.0859325049622254,0.1,0.1
A098,0.2967162607470561,-0.0280597237225931,0.1,0.1
A099,0.6234992476448163,-0.0180310694107874,0.1,0.1
A100,0.2569334017085135,-0.0774843972629301,0.1,0.1
A101,-0.8836177389055238,-0.0567700800320638,0.1,0.1
A102,0.020203653065071,-0.0294336595181134,0.1,0.1
A103,-0.4704894814946388,0.1155891230071014,0.1,0.1
A104,-0.0436308112673979,0.1145839677195971,0.1,0.1
A105,0.2270035388313981,-0.0344877253594347,0.1,0.1
A106,0.5503592946929239,-0.0509796963910209,0.1,0.1
A107,-0.9403135125685016,-0.0545859744851139,0.1,0.1
A108,-0.6214935003014448,-0.053557920393936,0.1,0.1
A109,-0.5930464027399966,-0.0370629161776615,0.1,0.1
