model,test_type,test_name,statistic,p_value,assumption_met,status,remedial_action
intercept,Multicollinearity,VIF 1,1.2289339118620104,,1,PASS,None needed
intercept,Multicollinearity,VIF 2,1.1377895828275169,,1,PASS,None needed
intercept,Multicollinearity,VIF 3,1.4985001024705034,,1,PASS,None needed
intercept,Multicollinearity,VIF 4,1.0768684080341442,,1,PASS,None needed
intercept,Multicollinearity,VIF 5,1.3785527099670585,,1,PASS,None needed
intercept,Outliers,Cook's Distance,0.1378975006192698,,0,FAIL,Check for influential observations
intercept,Autocorrelation,Durbin-Watson,1.582446329786366,,1,PASS,None needed
intercept,Normality,Shapiro-Wilk,0.9898550012315056,0.673167902019048,1,PASS,None needed
slope,Multicollinearity,VIF 1,1.2289339118620104,,1,PASS,None needed
slope,Multicollinearity,VIF 2,1.1377895828275169,,1,PASS,None needed
slope,Multicollinearity,VIF 3,1.4985001024705034,,1,PASS,None needed
slope,Multicollinearity,VIF 4,1.0768684080341442,,1,PASS,None needed
slope,Multicollinearity,VIF 5,1.3785527099670585,,1,PASS,None needed
slope,Outliers,Cook's Distance,0.1295355491792581,,0,FAIL,Check for influential observations
slope,Autocorrelation,Durbin-Watson,2.109662492654021,,1,PASS,None needed
slope,Normality,Shapiro-Wilk,0.9849234271467334,0.3340750741617935,1,PASS,None needed
