domain,predictor,bootstrap_mean,bootstrap_se,bootstrap_ci_lower,bootstrap_ci_upper,model_beta,model_se
What,intercept,-0.007365392182609894,0.05411035299739173,-0.11531793871244737,0.09186545582135838,-0.0072221286636249896,0.05438437579614612
What,RAVLT_T,0.10320966199280437,0.06586150165215099,-0.029392233315495203,0.2207856049703268,0.1083560020138749,0.059525053881333216
What,RAVLT_Pct_Ret_T,0.12636393354500147,0.058928883934169916,0.01508771011352294,0.23996702561311767,0.12613433571668797,0.05854861810148643
What,BVMT_T,0.07009913007305561,0.07271539722212934,-0.07530465179623741,0.22247638076910278,0.061120086619067066,0.06658463440463067
What,BVMT_Pct_Ret_T,0.08002428534676201,0.07744388808464303,-0.09341158698610702,0.21154934773560094,0.08490342550124448,0.056253045555581124
What,RPM_T,0.16766393406862404,0.06737049468954412,0.04821167267989978,0.3086080440883901,0.16478181100912412,0.06476274747677045
Where,intercept,0.036171251260013755,0.05801883801426099,-0.07597860520827616,0.1433934189830642,0.036789546436750004,0.05847344089700714
Where,RAVLT_T,0.058498837455769774,0.06948068529875762,-0.08114386977136523,0.18779071578701162,0.06386130471829607,0.06400063748213423
Where,RAVLT_Pct_Ret_T,0.14023944545330336,0.05978709783957555,0.02843721986179851,0.25738556342827246,0.13960871581792453,0.06295078522168703
Where,BVMT_T,0.06954116574341482,0.07503393221356722,-0.07841991687107092,0.2330914687020869,0.06254524942270198,0.0715910153883554
Where,BVMT_Pct_Ret_T,0.04841644372607224,0.07513972054872532,-0.12408110851890095,0.1738567277022098,0.055014916349518515,0.06048261263309407
Where,RPM_T,0.19941861006458664,0.0776738143845698,0.05895725367493276,0.3564758552046745,0.1945371872714973,0.06963214400226855
When,intercept,0.10844033359139564,0.02752620088484796,0.05084015979396143,0.16254322210980343,0.10869476563825002,0.027645041026502993
When,RAVLT_T,0.0342373020411152,0.0300905050673737,-0.021896660894761878,0.09513686207571016,0.03209732430969318,0.030258185969119267
When,RAVLT_Pct_Ret_T,0.006541043028922326,0.03176735798417455,-0.05837635012783686,0.0683908730809987,0.00631454917673382,0.02976183739844168
When,BVMT_T,0.028410299804217908,0.035100383866437684,-0.03862551216722733,0.09889589086519217,0.028414260243207277,0.03384676063490204
When,BVMT_Pct_Ret_T,-0.004263866419394519,0.03390246078623896,-0.07527222114935288,0.056362539465998146,-0.003566956201129328,0.028594936127960185
When,RPM_T,0.046304807511063285,0.028001731110671706,-0.010267781376683525,0.09996214599371228,0.04669172469615716,0.03292064650508032
