domain,predictor,semi_partial_r2
What,RAVLT_T,0.02432981240701204
What,RAVLT_Pct_Ret_T,0.034077345707905216
What,BVMT_T,0.0061866036379808476
What,BVMT_Pct_Ret_T,0.0167259484609521
What,RPM_T,0.047533568894011724
Where,RAVLT_T,0.0076377869991089975
Where,RAVLT_Pct_Ret_T,0.03772969802169035
Where,BVMT_T,0.005855071209159846
Where,BVMT_Pct_Ret_T,0.006346881592758313
Where,RPM_T,0.05987510633327364
When,RAVLT_T,0.010885487827620888
When,RAVLT_Pct_Ret_T,0.00043547299845481113
When,BVMT_T,0.006817646810500788
When,BVMT_Pct_Ret_T,0.0001505266176127229
When,RPM_T,0.019459834070156834
