Variable1,Variable2,r,ci_lower,ci_upper,p_uncorrected,p_bonferroni,p_fdr
Age,theta_all,-0.19328923000638878,-0.3748149136879093,-0.01532901966651244,0.054004170721372896,1.0,0.07088047407180192
Age,RAVLT_T,-0.187983711027852,-0.3797206454852778,0.027577593240789615,0.061077065459240375,1.0,0.07125657636911377
Age,BVMT_T,-0.5454815482953167,-0.6648713351476654,-0.40789600584595737,4.3941197761427484e-09,9.227651529899772e-08,9.227651529899772e-08
Age,RPM_T,-0.2933639503234079,-0.46161655938481655,-0.12081319332352522,0.0030542580061364093,0.06413941812886459,0.008017427266108075
Age,RAVLT_Pct_Ret_T,-0.18816886156122875,-0.3658012650500731,-0.0012582039359488274,0.060818107710179675,1.0,0.07125657636911377
Age,BVMT_Pct_Ret_T,-0.21847993433387852,-0.40438219685244453,0.042137511767450356,0.028978010905786472,0.6085382290215159,0.04681063300165507
theta_all,RAVLT_T,0.278636116841512,0.1036374961318775,0.44624032779347356,0.004998194392044928,0.10496208223294348,0.010496208223294348
theta_all,BVMT_T,0.36353804043827953,0.19079045441040116,0.5215143502086589,0.00020103021466954962,0.004221634508060542,0.0007036057513434237
theta_all,RPM_T,0.4569094103691042,0.28927117266053404,0.6095162826872305,1.766724844573676e-06,3.7101221736047197e-05,1.2367073912015733e-05
theta_all,RAVLT_Pct_Ret_T,0.3652830928916,0.17358292441508041,0.5276664403087332,0.0001863010181608887,0.003912321381378663,0.0007036057513434237
theta_all,BVMT_Pct_Ret_T,0.19547922242637034,-0.014455700302190119,0.39269915941696104,0.0512879309199602,1.0,0.07088047407180192
RAVLT_T,BVMT_T,0.3807333432863998,0.23451181325412968,0.5262575598274377,9.317661889602414e-05,0.001956708996816507,0.0004891772492041268
RAVLT_T,RPM_T,0.28211817978691156,0.08682592054081656,0.4599986147335585,0.004459056829611546,0.09364019342184247,0.010404465935760275
RAVLT_T,RAVLT_Pct_Ret_T,0.19401646021257896,0.006638789673973079,0.3751595257410279,0.05308937472044059,1.0,0.07088047407180192
RAVLT_T,BVMT_Pct_Ret_T,0.04413827854202414,-0.21037357823013378,0.3053971733447794,0.6628032663908336,1.0,0.6628032663908336
BVMT_T,RPM_T,0.48813967917454837,0.36498653467822395,0.6028610444373725,2.5804911595471283e-07,5.4190314350489694e-06,2.7095157175244847e-06
BVMT_T,RAVLT_Pct_Ret_T,0.26962237298294606,0.05230889176920494,0.45087275081125794,0.006672582180859715,0.140124225798054,0.012738565981641274
BVMT_T,BVMT_Pct_Ret_T,0.23775169268872842,-0.10066187940822159,0.5017351135992411,0.01722420906259438,0.36170839031448193,0.030142365859540162
RPM_T,RAVLT_Pct_Ret_T,0.34152709131688475,0.11657243990310862,0.519835696332497,0.000506094967292057,0.010627994313133196,0.0015182849018761711
RPM_T,BVMT_Pct_Ret_T,0.16893037177641276,-0.018530050879126455,0.3582279395876487,0.09292555114753451,1.0,0.10270718811043288
RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,0.11401394970530179,-0.08789995443414199,0.31011012527900805,0.2586900338009752,1.0,0.271624535491024
