model,fold,train_r2,test_r2,rmse,mae
Model_1_Age_Only,1,-0.07776716066729876,-0.17551063085689,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,2,-0.0608375932886516,-0.045201713066554655,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,3,-0.0754770378163804,0.14098935036250992,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,4,-0.07306932366039237,-0.24629648187247521,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,5,-0.06386493208258122,-0.06388160861560722,0.6742592222043534,0.5379300418352367
Model_2_Age_Plus_Cognitive,1,0.01821869628331704,0.0587580905021199,0.6287894305871329,0.490174809073995
Model_2_Age_Plus_Cognitive,2,0.07232404875386092,-0.16923983205909296,0.6287894305871329,0.490174809073995
Model_2_Age_Plus_Cognitive,3,0.025023300199938793,-0.055344842739362396,0.6287894305871329,0.490174809073995
Model_2_Age_Plus_Cognitive,4,0.04052348853794334,-0.04245624161093564,0.6287894305871329,0.490174809073995
Model_2_Age_Plus_Cognitive,5,0.011713122435146123,0.5139610491127458,0.6287894305871329,0.490174809073995
