test_name,age_c,age_group,test_c,test_level,predicted_theta
RAVLT,-15,Younger,-10,Low,-0.059629504536670014
RAVLT,-15,Younger,0,Average,0.10812965564122
RAVLT,-15,Younger,10,High,0.27588881581911
RAVLT,0,Average,-10,Low,-0.163153816780242
RAVLT,0,Average,0,Average,0.006527427556888
RAVLT,0,Average,10,High,0.176208671894018
RAVLT,15,Older,-10,Low,-0.266678129023814
RAVLT,15,Older,0,Average,-0.095074800527444
RAVLT,15,Older,10,High,0.07652852796892598
BVMT,-15,Younger,-10,Low,-0.45769058451956535
BVMT,-15,Younger,0,Average,-0.0667652591073814
BVMT,-15,Younger,10,High,0.32416006630480254
BVMT,0,Average,-10,Low,-0.33945987931475236
BVMT,0,Average,0,Average,-0.0438475909562734
BVMT,0,Average,10,High,0.2517646974022056
BVMT,15,Older,-10,Low,-0.2212291741099394
BVMT,15,Older,0,Average,-0.0209299228051654
BVMT,15,Older,10,High,0.17936932849960854
NART,-15,Younger,-10,Low,0.04340084878866751
NART,-15,Younger,0,Average,0.1841520104420555
NART,-15,Younger,10,High,0.3249031720954435
NART,0,Average,-10,Low,-0.078086930368569
NART,0,Average,0,Average,0.029824144740974
NART,0,Average,10,High,0.137735219850517
NART,15,Older,-10,Low,-0.19957470952580547
NART,15,Older,0,Average,-0.1245037209601075
NART,15,Older,10,High,-0.04943273239440951
RPM,-15,Younger,-10,Low,-0.23303197381236163
RPM,-15,Younger,0,Average,0.0537663984805964
RPM,-15,Younger,10,High,0.3405647707735544
RPM,0,Average,-10,Low,-0.2870026738515101
RPM,0,Average,0,Average,0.0086906279395529
RPM,0,Average,10,High,0.3043839297306159
RPM,15,Older,-10,Low,-0.3409733738906586
RPM,15,Older,0,Average,-0.0363851426014906
RPM,15,Older,10,High,0.2682030886876774
RAVLT_Pct_Ret,-15,Younger,-10,Low,-0.13456539460513633
RAVLT_Pct_Ret,-15,Younger,0,Average,0.0961170648914461
RAVLT_Pct_Ret,-15,Younger,10,High,0.32679952438802856
RAVLT_Pct_Ret,0,Average,-10,Low,-0.2246111460014569
RAVLT_Pct_Ret,0,Average,0,Average,0.0062037330530131
RAVLT_Pct_Ret,0,Average,10,High,0.23701861210748312
RAVLT_Pct_Ret,15,Older,-10,Low,-0.31465689739777747
RAVLT_Pct_Ret,15,Older,0,Average,-0.0837095987854199
RAVLT_Pct_Ret,15,Older,10,High,0.14723769982693768
BVMT_Pct_Ret,-15,Younger,-10,Low,0.0318343336464516
BVMT_Pct_Ret,-15,Younger,0,Average,0.1187252764491575
BVMT_Pct_Ret,-15,Younger,10,High,0.20561621925186338
BVMT_Pct_Ret,0,Average,-10,Low,-0.0912473242876165
BVMT_Pct_Ret,0,Average,0,Average,0.0089843212687265
BVMT_Pct_Ret,0,Average,10,High,0.10921596682506951
BVMT_Pct_Ret,15,Older,-10,Low,-0.2143289822216846
BVMT_Pct_Ret,15,Older,0,Average,-0.10075663391170449
BVMT_Pct_Ret,15,Older,10,High,0.012815714398275634
